id,complex_order_id,t,p,q
1,1,18,3238,-77
2,1,24,551,-61
3,1,17,3015,-145
4,1,2,-117,-85
5,2,24,3529,-18
6,2,6,339,-47
7,3,9,2166,-137
8,3,18,1564,-55
9,3,20,-15,-94
10,4,16,-410,-145
11,4,13,1028,-15
12,5,3,3359,-68
13,5,13,14,-91
14,5,3,1265,-57
15,6,15,3837,-26
16,6,9,3204,-108
17,6,21,1363,-70
18,6,16,2639,-105
19,7,24,3703,-131
20,7,18,2901,-112
21,7,5,-487,-59
22,8,23,3380,-56
23,8,15,125,-137
24,9,15,1785,89
25,9,13,2724,68
26,9,23,203,144
27,10,4,1126,-63
28,10,14,2763,-79
29,10,2,-180,-93
30,11,10,2357,59
31,11,2,2133,91
32,11,12,3895,41
33,12,24,1759,102
34,12,12,-464,68
35,13,23,-407,20
36,13,4,3685,82
37,13,23,3887,22
38,14,24,386,-24
39,14,14,1236,-23
40,14,9,1512,-60
41,15,17,359,101
42,15,2,3176,99
43,15,5,3084,89
44,16,4,3981,109
45,16,2,1728,22
46,16,19,3634,143
47,17,9,1770,-102
48,17,18,1430,-14
49,18,21,-105,140
50,18,6,2927,125
51,18,5,3850,66
52,19,15,3159,134
53,19,22,-364,136
54,19,15,-4,53
55,20,18,3708,75
56,20,20,264,90
57,21,7,404,-111
58,21,19,1067,-118
59,22,16,1467,-75
60,22,5,21,-97
61,22,12,3598,-77
62,23,22,2364,-132
63,23,1,3009,-37
64,23,21,236,-30
65,23,20,898,-124
66,24,8,-298,14
67,24,5,394,15
68,24,11,43,110
69,25,3,2890,134
70,25,23,-109,69
71,25,13,3292,34
72,25,14,580,14
73,26,12,2335,-78
74,26,16,1353,-69
75,26,15,669,-18
76,27,23,1273,31
77,27,17,3505,100
78,28,17,-369,56
79,28,9,200,37
80,29,9,2383,31
81,29,19,2338,21
82,29,21,3123,51
83,30,9,1910,53
84,30,4,1791,107
85,30,6,-405,83
86,31,10,3569,-112
87,31,6,-187,-31
88,31,10,3619,-118
89,32,5,3880,88
90,32,17,2587,134
91,33,22,-334,-25
92,33,24,-29,-109
93,33,5,2692,-113
94,33,4,215,-31
95,34,12,285,-39
96,34,3,1471,-74
97,34,15,-33,-30
98,35,17,2137,29
99,35,17,-62,22
100,35,8,2857,106
101,35,24,2184,146
102,36,17,1228,-42
103,36,20,-73,-122
104,37,7,3436,142
105,37,11,1231,76
106,38,3,1280,-12
107,38,12,2059,-107
108,39,22,270,-10
109,39,4,-160,-108
110,40,3,1081,-72
111,40,19,2661,-137
112,40,7,3180,-118
113,40,15,1908,-133
114,41,11,215,139
115,41,15,292,37
116,41,17,1045,107
117,42,19,3221,-50
118,42,9,-335,-123
119,42,5,3338,-122
120,43,10,1382,-14
121,43,5,-39,-85
122,43,17,-330,-122
123,44,18,2577,-90
124,44,13,1213,-122
125,44,21,1152,-85
126,45,1,2878,-28
127,45,17,1886,-73
128,45,3,308,-30
129,45,10,3269,-21
130,46,22,1470,-75
131,46,3,3644,-43
132,47,6,1378,-147
133,47,23,-168,-100
134,48,17,3905,-63
135,48,19,-21,-18
136,48,23,3801,-132
137,48,6,233,-10
138,49,19,2012,86
139,49,4,-496,21
140,49,3,55,107
141,50,12,1994,-25
142,50,7,3715,-115
143,50,16,340,-99
144,51,1,2902,-82
145,51,3,2438,-56
146,51,17,2157,-149
147,52,15,1665,-30
148,52,19,612,-92
149,53,12,-117,103
150,53,7,-7,11
151,54,19,3428,-51
152,54,17,-55,-123
153,55,1,2191,108
154,55,5,415,38
155,55,23,2898,29
156,56,15,2222,-84
157,56,8,600,-52
158,56,16,977,-120
159,56,10,3174,-93
160,57,14,189,79
161,57,15,1134,27
162,58,11,1612,122
163,58,14,-179,148
164,58,14,1712,112
165,59,8,2287,-95
166,59,3,1753,-33
167,59,24,493,-104
168,60,17,1014,142
169,60,14,-470,147
170,60,2,2946,42
171,61,2,2959,17
172,61,8,1819,112
173,62,13,1409,133
174,62,8,364,99
175,62,17,2256,63
176,63,20,1678,-90
177,63,2,749,-13
178,64,19,2722,-21
179,64,21,3417,-10
180,65,23,2047,-149
181,65,8,1312,-139
182,66,14,2880,-61
183,66,13,1217,-136
184,67,2,2705,-32
185,67,20,3715,-36
186,67,23,3698,-30
187,67,19,523,-43
188,68,5,-76,-136
189,68,3,3124,-69
190,68,16,466,-77
191,68,9,-175,-77
192,69,12,499,-144
193,69,7,3524,-136
194,69,10,2352,-59
195,69,22,248,-24
196,70,13,280,91
197,70,12,3024,11
198,70,19,892,113
199,70,8,-9,69
200,71,2,218,-88
201,71,15,-174,-26
202,71,5,1367,-79
203,72,22,-248,-145
204,72,22,977,-80
205,73,22,3188,82
206,73,21,3300,45
207,73,17,1094,35
208,73,9,-367,31
209,74,6,2391,95
210,74,18,899,49
211,74,15,67,41
212,75,20,2542,142
213,75,10,131,92
214,75,2,754,142
215,76,21,-342,62
216,76,22,3901,87
217,77,22,2652,-37
218,77,16,2014,-143
219,78,6,2720,144
220,78,20,604,45
221,78,2,1663,117
222,78,17,1151,18
223,79,3,-253,-33
224,79,7,-441,-29
225,79,13,-370,-111
226,79,13,3372,-130
227,80,8,1903,-116
228,80,7,1371,-113
229,80,9,-402,-41
230,80,16,674,-42
231,81,1,-459,-19
232,81,17,-220,-41
233,81,19,2889,-124
234,82,7,3361,-102
235,82,10,2145,-129
236,82,21,221,-141
237,83,24,2560,-129
238,83,17,-425,-107
239,84,24,3564,-141
240,84,8,3593,-72
241,84,12,2989,-60
242,84,8,3848,-145
243,85,24,2407,-25
244,85,24,3017,-50
245,85,10,3258,-62
246,85,4,2380,-51
247,86,23,199,141
248,86,9,2993,24
249,86,19,311,118
250,86,13,-47,27
251,87,4,89,50
252,87,12,-193,70
253,87,7,-307,139
254,87,10,2979,40
255,88,11,3964,101
256,88,22,1873,78
257,88,23,2959,62
258,89,2,3027,139
259,89,8,3852,75
260,89,10,675,96
261,90,8,3172,-74
262,90,22,3462,-149
263,90,22,3867,-145
264,90,14,2130,-33
265,91,24,2519,51
266,91,19,-409,46
267,91,20,1699,91
268,91,6,2558,98
269,92,19,-48,86
270,92,13,2745,44
271,92,1,-174,69
272,92,9,-62,107
273,93,12,2332,18
274,93,23,3886,36
275,93,5,5,64
276,94,5,-409,-87
277,94,13,1561,-73
278,95,20,-128,-47
279,95,12,2231,-140
280,96,9,984,-76
281,96,22,3382,-148
282,97,23,-486,-15
283,97,6,455,-77
284,97,10,-95,-27
285,97,5,1273,-103
286,98,5,206,-20
287,98,19,-216,-60
288,98,16,1734,-141
289,98,11,1174,-22
290,99,8,2699,-102
291,99,17,2024,-34
292,99,6,301,-109
293,99,3,2910,-101
294,100,8,3,-70
295,100,3,1410,-138
296,100,21,-140,-59
297,101,10,-330,99
298,101,14,3834,10
299,102,24,1063,84
300,102,19,3298,44
301,102,1,3792,75
302,103,14,3779,-33
303,103,1,3320,-43
304,104,8,1702,88
305,104,13,-94,59
306,104,5,2151,24
307,105,11,1042,60
308,105,3,631,79
309,105,13,3245,133
310,105,5,2293,48
311,106,8,1627,-24
312,106,15,1495,-123
313,106,10,2788,-104
314,107,24,2358,88
315,107,21,1622,75
316,107,22,-44,40
317,107,2,-317,44
318,108,12,1413,83
319,108,18,3528,97
320,108,20,-318,119
321,108,2,3487,114
322,109,20,-445,-54
323,109,10,-177,-127
324,109,1,313,-56
325,110,19,-351,75
326,110,12,3684,52
327,111,10,-114,-30
328,111,14,-208,-49
329,111,1,2159,-133
330,112,14,1786,63
331,112,22,1154,122
332,112,19,-414,132
333,112,23,-152,46
334,113,18,651,111
335,113,13,2216,50
336,113,5,-147,132
337,113,24,2188,36
338,114,16,1491,84
339,114,15,3942,137
340,114,24,-101,72
341,115,18,3441,-55
342,115,14,1909,-135
343,116,11,3448,94
344,116,19,45,116
345,116,6,3058,140
346,116,3,1545,107
347,117,23,1677,53
348,117,21,1743,16
349,118,11,1286,143
350,118,19,3368,76
351,119,22,2345,13
352,119,18,862,25
353,120,12,-377,91
354,120,7,3198,123
355,120,6,432,144
356,120,10,2342,115
357,121,11,1025,-45
358,121,7,1901,-69
359,121,4,975,-63
360,121,5,-11,-48
361,122,4,-341,-78
362,122,8,-451,-116
363,122,8,969,-107
364,122,9,-260,-106
365,123,14,-179,-131
366,123,19,1273,-53
367,123,18,2664,-110
368,123,2,297,-34
369,124,3,1996,-82
370,124,12,3920,-87
371,124,21,3901,-86
372,124,9,735,-104
373,125,19,138,-85
374,125,1,2426,-59
375,125,10,1882,-126
376,125,16,1021,-144
377,126,11,1098,-25
378,126,17,2240,-90
379,126,11,212,-110
380,127,20,-491,146
381,127,19,3523,83
382,127,10,585,99
383,127,8,-296,128
384,128,23,-195,-73
385,128,18,2851,-16
386,129,11,63,-121
387,129,19,-226,-43
388,130,1,150,-13
389,130,15,1149,-37
390,130,9,-82,-12
391,131,22,2927,-34
392,131,23,1360,-111
393,131,15,-56,-112
394,132,7,1350,138
395,132,22,2840,88
396,132,8,625,47
397,133,8,1323,-31
398,133,14,1898,-19
399,134,2,3956,-137
400,134,14,110,-33
401,134,7,1306,-85
402,134,14,1148,-100
403,135,7,2930,-79
404,135,9,1928,-116
405,136,16,1667,109
406,136,24,-81,140
407,136,20,2074,54
408,136,24,254,82
409,137,20,2079,-70
410,137,24,712,-108
411,137,16,1437,-62
412,137,23,3245,-121
413,138,7,1492,44
414,138,22,1902,131
415,138,8,3090,57
416,139,6,2812,-43
417,139,18,886,-22
418,139,24,-495,-149
419,139,3,-363,-11
420,140,1,3013,31
421,140,3,1821,17
422,141,10,11,61
423,141,13,298,109
424,142,18,2198,-148
425,142,16,994,-133
426,143,18,3712,-113
427,143,1,2038,-119
428,144,6,1919,112
429,144,2,-329,43
430,144,2,-458,123
431,144,23,1876,88
432,145,12,-238,35
433,145,6,-296,121
434,146,20,1786,89
435,146,16,3740,13
436,147,13,1082,65
437,147,17,2159,53
438,148,9,2600,109
439,148,1,-321,117
440,148,16,-382,123
441,148,19,2384,108
442,149,8,-202,-140
443,149,9,930,-97
444,150,11,3244,58
445,150,11,2719,17
446,151,22,-38,44
447,151,7,3509,143
448,151,12,2998,69
449,152,10,3727,46
450,152,12,2271,78
451,152,7,2451,137
452,153,3,3010,46
453,153,8,3138,128
454,153,10,997,52
455,153,14,1960,34
456,154,2,1535,16
457,154,13,3528,115
458,154,13,3915,54
459,154,9,2305,72
460,155,10,564,106
461,155,1,-43,38
462,155,24,2678,140
463,155,9,1027,142
464,156,1,1804,49
465,156,11,3455,58
466,156,23,2468,33
467,157,8,587,-78
468,157,18,3799,-130
469,157,22,2385,-125
470,157,7,-194,-144
471,158,16,2242,-68
472,158,18,346,-74
473,158,17,83,-51
474,159,13,2440,-77
475,159,9,-456,-71
476,160,3,623,137
477,160,23,2171,35
478,160,16,417,85
479,160,8,2057,82
480,161,8,1686,53
481,161,1,2855,36
482,161,23,514,102
483,162,21,764,-47
484,162,4,1086,-27
485,163,11,3176,-23
486,163,20,-353,-56
487,163,16,1041,-101
488,164,20,-125,-37
489,164,5,2829,-101
490,164,12,-461,-26
491,165,24,2373,-75
492,165,13,-47,-136
493,166,2,-316,149
494,166,4,3694,76
495,167,14,679,-149
496,167,5,-52,-91
497,167,11,2142,-85
498,168,18,243,-134
499,168,21,-359,-99
500,169,5,3203,-138
501,169,20,3647,-59
502,170,9,1193,45
503,170,13,436,114
504,170,8,105,98
505,170,6,3996,10
506,171,7,2756,101
507,171,13,3390,69
508,171,21,3232,28
509,172,8,1156,-22
510,172,3,-442,-21
511,172,12,344,-36
512,172,2,1898,-62
513,173,13,-98,47
514,173,16,246,31
515,173,15,-420,55
516,173,14,3169,20
517,174,7,3542,-50
518,174,4,3693,-99
519,174,2,284,-135
520,174,10,3048,-111
521,175,18,3780,-89
522,175,13,273,-148
523,176,7,-21,-15
524,176,15,-118,-32
525,176,4,-455,-136
526,177,15,3010,-147
527,177,6,-71,-14
528,177,2,-223,-17
529,177,16,187,-21
530,178,14,1985,130
531,178,24,2890,106
532,178,19,-453,101
533,179,15,3411,76
534,179,17,-187,102
535,179,1,170,87
536,180,1,759,-51
537,180,6,174,-54
538,181,18,36,52
539,181,2,-26,31
540,181,12,641,68
541,181,22,2036,43
542,182,22,-286,125
543,182,20,3053,127
544,183,14,2376,-36
545,183,18,1482,-19
546,184,15,3808,56
547,184,14,3220,115
548,185,21,2413,-40
549,185,1,-165,-119
550,185,3,2938,-12
551,186,15,-366,52
552,186,7,1801,39
553,186,1,62,142
554,187,5,-272,-98
555,187,2,641,-78
556,187,2,-367,-41
557,188,18,960,-96
558,188,2,3674,-21
559,188,6,1154,-43
560,189,19,-463,-68
561,189,11,-303,-77
562,189,7,228,-136
563,190,20,3152,-87
564,190,16,644,-56
565,190,19,-197,-63
566,190,3,1778,-96
567,191,8,2811,-34
568,191,4,-264,-105
569,191,22,2699,-126
570,192,8,965,-108
571,192,6,3311,-120
572,192,24,3861,-68
573,193,2,2643,-62
574,193,6,3075,-124
575,193,19,3798,-127
576,193,3,2563,-46
577,194,10,1767,-137
578,194,18,1816,-32
579,194,18,-241,-50
580,194,14,3775,-111
581,195,12,2632,22
582,195,4,285,128
583,195,8,1975,119
584,195,15,297,48
585,196,10,-295,131
586,196,18,923,127
587,196,5,2471,19
588,197,6,204,-114
589,197,14,516,-116
590,198,21,1871,-42
591,198,16,729,-55
592,199,2,2366,83
593,199,9,-254,109
594,199,16,3403,126
595,200,14,-157,-115
596,200,1,2855,-72
597,201,21,-367,-119
598,201,19,3558,-118
599,201,20,2483,-87
600,201,18,1982,-41
601,202,10,1944,-60
602,202,2,1063,-17
603,203,20,-404,-120
604,203,13,3751,-128
605,203,7,1115,-133
606,203,24,794,-11
607,204,16,1885,49
608,204,4,2223,45
609,204,11,-181,39
610,204,3,1717,77
611,205,18,-111,-67
612,205,17,-326,-109
613,205,19,3238,-119
614,205,19,599,-142
615,206,21,-359,-61
616,206,2,1409,-111
617,206,24,2789,-71
618,206,18,3657,-73
619,207,10,2040,-40
620,207,11,2997,-89
621,207,13,2554,-36
622,207,22,3945,-62
623,208,10,3885,122
624,208,22,1483,146
625,209,12,3898,36
626,209,6,1593,18
627,210,5,-279,91
628,210,21,-1,18
629,211,24,1577,56
630,211,6,3968,138
631,211,1,2356,139
632,211,24,3195,110
633,212,3,-241,145
634,212,15,2674,84
635,212,7,47,118
636,213,16,2137,-65
637,213,21,-252,-134
638,213,1,707,-148
639,214,11,8,133
640,214,12,800,10
641,215,12,-384,-119
642,215,5,3481,-18
643,215,13,3598,-18
644,215,23,425,-24
645,216,23,-410,100
646,216,2,-25,48
647,217,6,1339,-77
648,217,6,221,-62
649,218,22,3087,109
650,218,21,1704,80
651,219,14,2951,28
652,219,18,-352,72
653,220,22,299,-116
654,220,11,3619,-35
655,221,12,3496,-51
656,221,14,2552,-75
657,222,5,1407,-134
658,222,19,3952,-22
659,223,24,2951,31
660,223,19,389,30
661,223,18,2672,64
662,224,22,3701,76
663,224,7,425,148
664,224,11,2408,48
665,225,10,2142,-27
666,225,2,2977,-12
667,225,19,306,-52
668,226,3,-362,110
669,226,14,1564,88
670,226,20,3957,82
671,226,5,1929,103
672,227,23,1857,132
673,227,6,1260,131
674,228,17,2712,-66
675,228,17,-399,-52
676,229,10,439,-121
677,229,1,1001,-33
678,229,12,662,-25
679,229,4,-194,-103
680,230,22,-333,22
681,230,12,2635,38
682,231,21,-88,-56
683,231,24,3424,-67
684,232,3,1706,145
685,232,18,1205,81
686,233,7,859,-84
687,233,18,3267,-109
688,234,24,3724,-92
689,234,22,3696,-48
690,235,9,2703,-109
691,235,3,3895,-18
692,236,23,3750,46
693,236,20,3119,75
694,237,8,794,-91
695,237,8,3367,-29
696,238,8,-427,-24
697,238,10,-154,-78
698,239,20,2475,32
699,239,19,3831,98
700,239,18,1615,49
701,239,9,876,147
