id,step_orders,fixed_term,condition,load_gradient,MAP1,MAP2,MAP3,MAP4,MAP5,MAP6,MAP7,MAP8,MAP9,MAP10,MAP11,MAP12,MAP13,MAP14,MAP15,MAP16,MAP17,MAP18,MAP19,MAP20,MAP21,MAP22,MAP23,MAP24
1,"1, 2, 3",30,MIC,,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"4, 5, 6",50,MIC,,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"7, 8, 9, 10",40,MIC,,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"11, 12, 13",100,load gradient,10.0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0
5,"14, 15, 16",60,load gradient,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-40,-10,0,0,0
6,"17, 18, 19",70,MP,,0,0,0,0,0,0,0,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"20, 21, 22",80,MP,,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0
8,"23, 24, 25",150,MP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30,0,0,0,0,0,0,0,0
9,"26, 27, 28",70,load gradient,30.0,0,0,0,0,0,0,0,0,0,0,0,10,20,25,0,0,0,0,0,0,0,0,0,0
10,"29, 30, 31",100,load gradient,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0
