id,block_type,code_prm,p,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,MAR
1,normal,,2470,0,0,0,62,0,0,0,0,75,0,0,85,34,3,0,0,0,0,0,0,0,59,54,0,0
2,normal,,206,0,0,0,0,0,0,0,0,72,38,60,32,0,0,99,0,0,32,0,0,0,0,48,64,0.8
3,normal,,3959,-19,0,-19,0,0,-4,0,-46,-78,0,0,0,0,0,0,0,0,-34,-66,0,0,-33,-29,-95,1
4,normal,,1123,-20,-33,-62,-24,0,0,0,0,-98,0,-79,-17,0,-92,0,0,0,0,-82,0,0,0,-53,-77,0.8
5,normal,,-241,0,0,0,0,8,16,0,0,87,0,9,98,0,93,84,3,27,0,0,0,0,0,0,39,0
6,normal,,2447,0,0,0,0,73,0,0,8,64,51,42,58,0,38,5,93,12,80,0,12,0,45,6,0,0
7,normal,,2227,0,0,-1,-39,0,-37,0,0,-99,-8,-33,0,-26,0,0,-7,0,-82,-21,-39,0,0,-44,-22,0.8
8,normal,,1473,53,0,0,0,14,2,0,0,21,0,0,81,0,86,88,35,71,86,90,0,66,0,0,0,0.8
9,normal,,2109,0,-35,0,0,-38,-74,0,-65,-11,-66,-25,-10,-46,0,0,-49,-93,-53,-6,-48,0,-82,-14,-17,0
10,normal,,1190,-40,0,0,0,-92,-53,0,0,-45,-9,0,0,0,-2,-21,-22,0,-77,0,-94,0,0,-18,0,1
11,normal,,-296,-39,-71,-82,-42,0,-25,0,-99,0,-88,-3,0,-96,0,-89,0,0,0,0,-49,-20,-53,0,-94,0.8
12,normal,,2169,73,52,0,61,96,0,0,29,0,16,77,30,90,97,38,81,47,73,84,0,0,0,0,72,0.5
13,normal,,2490,46,0,41,87,17,0,0,0,3,61,60,3,4,0,41,17,88,0,0,32,0,88,0,31,0.5
14,normal,,2368,0,0,2,0,0,82,64,68,0,46,0,0,0,0,75,0,0,0,90,17,0,0,0,0,0.8
15,normal,,49,0,0,-61,0,0,0,0,-66,-84,-36,-30,0,0,-30,0,0,-52,0,0,0,0,0,0,0,0
16,normal,,1430,0,42,0,95,0,61,0,64,0,75,0,0,14,51,0,92,0,0,20,14,79,0,0,14,1
17,normal,,1949,99,54,0,0,0,53,12,39,0,0,0,6,0,0,27,49,21,0,0,0,0,0,75,29,0.8
18,normal,,516,-66,0,0,0,-74,0,0,0,-19,-38,-58,0,0,-90,-90,0,0,-48,0,-42,-15,0,0,0,0
19,normal,,239,-29,-54,-96,-20,-97,-76,0,-9,0,0,0,0,-51,-48,0,-63,0,-50,0,-95,-70,0,-52,0,1
20,normal,,2395,96,85,0,57,71,40,0,0,0,0,0,0,75,38,67,0,61,76,3,83,0,0,0,88,1
21,normal,,3168,-58,-52,-43,0,0,0,0,-15,0,-47,0,0,-76,-15,-13,0,-92,0,-53,-66,-69,-56,0,0,0.5
22,normal,,1427,0,0,-76,-56,0,0,0,-24,0,0,0,0,0,-57,0,0,0,-19,-90,0,0,-1,0,0,1
