id,step_orders,fixed_term,condition,load_gradient,MAP1,MAP2,MAP3,MAP4,MAP5,MAP6,MAP7,MAP8,MAP9,MAP10,MAP11,MAP12,MAP13,MAP14,MAP15,MAP16,MAP17,MAP18,MAP19,MAP20,MAP21,MAP22,MAP23,MAP24
1,"1, 2, 3",30,MIC,,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"4, 5, 6",50,MIC,,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"7, 8, 9, 10",40,MIC,,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"11, 12, 13",100,load gradient,10,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0
5,"14, 15, 16",60,load gradient,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-40,-10,0,0,0
6,"17, 18, 19",70,MP,,0,0,0,0,0,0,0,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"20, 21, 22",80,MP,,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0
8,"23, 24, 25",150,MP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30,0,0,0,0,0,0,0,0
9,"26, 27, 28",70,load gradient,30,0,0,0,0,0,0,0,0,0,0,0,10,20,25,0,0,0,0,0,0,0,0,0,0
10,"29, 30, 31",100,load gradient,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0
11,"32, 33, 34",50,MIC,,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,151,0,0,0,0,191
12,"35, 36, 37, 38, 39",50,MP,,0,-127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,0,0,0,0,0
13,"40, 41, 42",30,MP,,0,0,0,0,0,0,0,0,0,0,0,-48,0,-113,0,0,0,0,0,-193,0,0,0,-100
14,"43, 44, 45",40,load gradient,20,0,0,0,0,0,-160,0,0,-155,0,0,-179,0,0,0,0,0,0,0,0,0,-80,-135,0
15,"46, 47, 48, 49",50,MP,,0,0,0,0,0,0,0,0,0,0,0,0,-155,0,-50,0,-83,0,0,0,0,0,0,0
16,"50, 51, 52, 53, 54, 55",100,MP,,0,0,0,0,0,0,-177,0,0,-112,0,0,0,0,0,-169,0,0,0,0,0,0,-26,0
17,"56, 57, 58, 59, 60",50,load gradient,,0,0,0,0,0,0,122,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0
18,"61, 62, 63, 64",100,load gradient,10,0,0,0,127,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"65, 66, 67",50,load gradient,10,0,0,0,-26,0,0,0,0,0,0,0,0,0,0,-12,0,0,0,0,0,0,0,0,0
20,"68, 69, 70, 71",30,MP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,0,0,0,0,0,0,0,0
21,"72, 73, 74, 75, 76",100,load gradient,10,0,0,0,0,0,0,0,0,0,0,0,0,-91,0,0,0,0,0,0,0,0,0,0,0
22,"77, 78, 79, 80, 81",40,MP,,0,-115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"82, 83, 84, 85, 86",40,load gradient,20,0,0,0,0,0,0,0,-12,0,0,0,0,-190,-38,0,0,0,0,0,0,0,0,0,0
24,"87, 88, 89, 90, 91",60,MP,,-96,0,0,-129,-106,0,0,0,0,0,0,0,-137,0,-94,0,0,0,0,0,0,0,0,0
25,"92, 93, 94, 95, 96",40,load gradient,20,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"97, 98, 99, 100, 101, 102",100,MP,,-88,0,0,0,0,0,-66,0,0,0,0,0,0,0,0,-156,-146,0,0,0,0,0,0,0
27,"103, 104, 105, 106, 107, 108",40,load gradient,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-93,0,-186,0,0,0
28,"109, 110, 111, 112, 113, 114",40,MIC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0
29,"115, 116, 117, 118",30,load gradient,,0,0,0,0,0,0,0,0,0,0,186,0,0,68,0,0,0,0,0,0,0,0,0,0
30,"119, 120, 121",50,load gradient,20,0,0,0,100,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
