id,scalable_order_id,t,p,q
1,1,1,1,50
2,1,1,4,70
3,1,1,10,100
4,2,5,5,100
5,2,5,7,120
6,2,5,10,150
7,3,10,2,60
8,3,10,5,80
9,3,10,8,120
10,3,10,15,200
11,4,12,5,60
12,4,13,8,80
13,4,14,15,120
14,5,19,15,-120
15,5,20,10,-70
16,5,21,8,-50
17,6,8,10,-100
18,6,8,8,-80
19,6,8,6,-50
20,7,13,15,-120
21,7,13,10,-70
22,7,13,8,-50
23,8,16,25,-80
24,8,16,20,-50
25,8,16,15,-30
26,9,12,2,50
27,9,13,3,70
28,9,14,5,100
29,10,16,7,60
30,10,17,9,80
31,10,18,10,120
32,11,19,-199,151
33,11,19,1628,121
34,11,15,3568,191
35,12,14,1085,-81
36,12,16,241,-170
37,12,20,-179,-164
38,12,7,152,-129
39,12,21,-411,-16
40,13,21,-122,-107
41,13,24,441,-216
42,13,2,-212,-217
43,14,10,1538,-240
44,14,24,1526,-185
45,14,8,868,-27
46,15,20,3926,-64
47,15,3,28,-105
48,15,20,1954,-277
49,15,23,2392,-238
50,16,3,1602,-83
51,16,20,1340,-67
52,16,15,3204,-252
53,16,2,495,-201
54,16,24,2279,-38
55,16,21,1400,-193
56,17,9,1292,256
57,17,18,506,283
58,17,21,2626,294
59,17,8,1641,46
60,17,21,3686,257
61,18,8,2193,139
62,18,14,3446,137
63,18,20,3487,193
64,18,24,2596,224
65,19,4,2797,-46
66,19,1,-100,-271
67,19,12,2724,-224
68,20,12,149,-204
69,20,5,3588,-131
70,20,19,2559,-141
71,20,20,1888,-144
72,21,17,2833,-144
73,21,18,2026,-166
74,21,19,-400,-242
75,21,12,804,-52
76,21,10,1153,-272
77,22,15,1068,-271
78,22,11,1967,-178
79,22,17,1733,-241
80,22,24,3348,-19
81,22,12,2204,-81
82,23,9,3272,-16
83,23,24,2838,-234
84,23,24,2153,-220
85,23,2,1129,-219
86,23,5,527,-144
87,24,9,1099,-129
88,24,21,3451,-121
89,24,23,3938,-48
90,24,14,1063,-215
91,24,23,2710,-124
92,25,21,3388,190
93,25,15,3450,50
94,25,20,29,63
95,25,3,2764,230
96,25,11,3371,275
97,26,22,1575,-198
98,26,4,1957,-247
99,26,22,370,-70
100,26,11,1865,-85
101,26,2,2853,-31
102,26,5,3704,-153
103,27,10,3744,-300
104,27,13,911,-22
105,27,17,1037,-88
106,27,7,15,-162
107,27,2,1703,-110
108,27,18,2066,-252
109,28,2,1737,277
