id,t,p,q
b1t1l1,1,22.8,-38.4714
b1t1l2,1,20.73,-2.6532
b1t1l3,1,18.65,-2.6532
b1t2l1,2,22.8,-36.1746
b1t2l2,2,20.73,-2.4947999999999997
b1t2l3,2,18.65,-2.4947999999999997
b1t3l1,3,22.8,-34.452
b1t3l2,3,20.73,-2.376
b1t3l3,3,18.65,-2.376
b1t4l1,4,22.8,-33.8778
b1t4l2,4,20.73,-2.3364
b1t4l3,4,18.65,-2.3364
b1t5l1,5,22.8,-33.8778
b1t5l2,5,20.73,-2.3364
b1t5l3,5,18.65,-2.3364
b1t6l1,6,22.8,-34.452
b1t6l2,6,20.73,-2.376
b1t6l3,6,18.65,-2.376
b1t7l1,7,22.8,-42.49079999999999
b1t7l2,7,20.73,-2.9303999999999997
b1t7l3,7,18.65,-2.9303999999999997
b1t8l1,8,22.8,-49.3812
b1t8l2,8,20.73,-3.4055999999999997
b1t8l3,8,18.65,-3.4055999999999997
b1t9l1,9,22.8,-54.54899999999999
b1t9l2,9,20.73,-3.7619999999999996
b1t9l3,9,18.65,-3.7619999999999996
b1t10l1,10,22.8,-55.1232
b1t10l2,10,20.73,-3.8015999999999996
b1t10l3,10,18.65,-3.8015999999999996
b1t11l1,11,22.8,-55.1232
b1t11l2,11,20.73,-3.8015999999999996
b1t11l3,11,18.65,-3.8015999999999996
b1t12l1,12,22.8,-54.54899999999999
b1t12l2,12,20.73,-3.7619999999999996
b1t12l3,12,18.65,-3.7619999999999996
b1t13l1,13,22.8,-54.54899999999999
b1t13l2,13,20.73,-3.7619999999999996
b1t13l3,13,18.65,-3.7619999999999996
b1t14l1,14,22.8,-54.54899999999999
b1t14l2,14,20.73,-3.7619999999999996
b1t14l3,14,18.65,-3.7619999999999996
b1t15l1,15,22.8,-53.400600000000004
b1t15l2,15,20.73,-3.6828000000000003
b1t15l3,15,18.65,-3.6828000000000003
b1t16l1,16,22.8,-53.9748
b1t16l2,16,20.73,-3.7224
b1t16l3,16,18.65,-3.7224
b1t17l1,17,22.8,-56.8458
b1t17l2,17,20.73,-3.9204
b1t17l3,17,18.65,-3.9204
b1t18l1,18,22.8,-57.42
b1t18l2,18,20.73,-3.96
b1t18l3,18,18.65,-3.96
b1t19l1,19,22.8,-57.42
b1t19l2,19,20.73,-3.96
b1t19l3,19,18.65,-3.96
b1t20l1,20,22.8,-55.1232
b1t20l2,20,20.73,-3.8015999999999996
b1t20l3,20,18.65,-3.8015999999999996
b1t21l1,21,22.8,-52.2522
b1t21l2,21,20.73,-3.6036
b1t21l3,21,18.65,-3.6036
b1t22l1,22,22.8,-47.6586
b1t22l2,22,20.73,-3.2868
b1t22l3,22,18.65,-3.2868
b1t23l1,23,22.8,-41.916599999999995
b1t23l2,23,20.73,-2.8907999999999996
b1t23l3,23,18.65,-2.8907999999999996
b1t24l1,24,22.8,-36.1746
b1t24l2,24,20.73,-2.4947999999999997
b1t24l3,24,18.65,-2.4947999999999997
b2t1l1,1,22.81,-34.55313961407492
b2t1l2,1,20.74,-2.3827207718501704
b2t1l3,1,18.66,-2.3827207718501704
b2t2l1,2,22.81,-32.490265607264476
b2t2l2,2,20.74,-2.2404687854710557
b2t2l3,2,18.66,-2.2404687854710557
b2t3l1,3,22.81,-30.94311010215664
b2t3l2,3,20.74,-2.1337797956867193
b2t3l3,3,18.66,-2.1337797956867193
b2t4l1,4,22.81,-30.42739160045403
b2t4l2,4,20.74,-2.098216799091941
b2t4l3,4,18.66,-2.098216799091941
b2t5l1,5,22.81,-30.42739160045403
b2t5l2,5,20.74,-2.098216799091941
b2t5l3,5,18.66,-2.098216799091941
b2t6l1,6,22.81,-30.94311010215664
b2t6l2,6,20.74,-2.1337797956867193
b2t6l3,6,18.66,-2.1337797956867193
b2t7l1,7,22.81,-38.16316912599319
b2t7l2,7,20.74,-2.6316617480136206
b2t7l3,7,18.66,-2.6316617480136206
b2t8l1,8,22.81,-44.35179114642452
b2t8l2,8,20.74,-3.058417707150965
b2t8l3,8,18.66,-3.058417707150965
b2t9l1,9,22.81,-48.99325766174801
b2t9l2,9,20.74,-3.378484676503972
b2t9l3,9,18.66,-3.378484676503972
b2t10l1,10,22.81,-49.508976163450626
b2t10l2,10,20.74,-3.4140476730987515
b2t10l3,10,18.66,-3.4140476730987515
b2t11l1,11,22.81,-49.508976163450626
b2t11l2,11,20.74,-3.4140476730987515
b2t11l3,11,18.66,-3.4140476730987515
b2t12l1,12,22.81,-48.99325766174801
b2t12l2,12,20.74,-3.378484676503972
b2t12l3,12,18.66,-3.378484676503972
b2t13l1,13,22.81,-48.99325766174801
b2t13l2,13,20.74,-3.378484676503972
b2t13l3,13,18.66,-3.378484676503972
b2t14l1,14,22.81,-48.99325766174801
b2t14l2,14,20.74,-3.378484676503972
b2t14l3,14,18.66,-3.378484676503972
b2t15l1,15,22.81,-47.9618206583428
b2t15l2,15,20.74,-3.3073586833144155
b2t15l3,15,18.66,-3.3073586833144155
b2t16l1,16,22.81,-48.47753916004541
b2t16l2,16,20.74,-3.342921679909194
b2t16l3,16,18.66,-3.342921679909194
b2t17l1,17,22.81,-51.05613166855846
b2t17l2,17,20.74,-3.520736662883087
b2t17l3,17,18.66,-3.520736662883087
b2t18l1,18,22.81,-51.57185017026107
b2t18l2,18,20.74,-3.556299659477866
b2t18l3,18,18.66,-3.556299659477866
b2t19l1,19,22.81,-51.57185017026107
b2t19l2,19,20.74,-3.556299659477866
b2t19l3,19,18.66,-3.556299659477866
b2t20l1,20,22.81,-49.508976163450626
b2t20l2,20,20.74,-3.4140476730987515
b2t20l3,20,18.66,-3.4140476730987515
b2t21l1,21,22.81,-46.93038365493758
b2t21l2,21,20.74,-3.2362326901248584
b2t21l3,21,18.66,-3.2362326901248584
b2t22l1,22,22.81,-42.804635641316686
b2t22l2,22,20.74,-2.9517287173666285
b2t22l3,22,18.66,-2.9517287173666285
b2t23l1,23,22.81,-37.647450624290585
b2t23l2,23,20.74,-2.5960987514188423
b2t23l3,23,18.66,-2.5960987514188423
b2t24l1,24,22.81,-32.490265607264476
b2t24l2,24,20.74,-2.2404687854710557
b2t24l3,24,18.66,-2.2404687854710557
b3t1l1,1,22.56,-64.119
b3t1l2,1,20.51,-4.422
b3t1l3,1,18.46,-4.422
b3t2l1,2,22.56,-60.291
b3t2l2,2,20.51,-4.1579999999999995
b3t2l3,2,18.46,-4.1579999999999995
b3t3l1,3,22.56,-57.42
b3t3l2,3,20.51,-3.96
b3t3l3,3,18.46,-3.96
b3t4l1,4,22.56,-56.462999999999994
b3t4l2,4,20.51,-3.8939999999999997
b3t4l3,4,18.46,-3.8939999999999997
b3t5l1,5,22.56,-56.462999999999994
b3t5l2,5,20.51,-3.8939999999999997
b3t5l3,5,18.46,-3.8939999999999997
b3t6l1,6,22.56,-57.42
b3t6l2,6,20.51,-3.96
b3t6l3,6,18.46,-3.96
b3t7l1,7,22.56,-70.81800000000001
b3t7l2,7,20.51,-4.884
b3t7l3,7,18.46,-4.884
b3t8l1,8,22.56,-82.302
b3t8l2,8,20.51,-5.676
b3t8l3,8,18.46,-5.676
b3t9l1,9,22.56,-90.91499999999999
b3t9l2,9,20.51,-6.27
b3t9l3,9,18.46,-6.27
b3t10l1,10,22.56,-91.872
b3t10l2,10,20.51,-6.335999999999999
b3t10l3,10,18.46,-6.335999999999999
b3t11l1,11,22.56,-91.872
b3t11l2,11,20.51,-6.335999999999999
b3t11l3,11,18.46,-6.335999999999999
b3t12l1,12,22.56,-90.91499999999999
b3t12l2,12,20.51,-6.27
b3t12l3,12,18.46,-6.27
b3t13l1,13,22.56,-90.91499999999999
b3t13l2,13,20.51,-6.27
b3t13l3,13,18.46,-6.27
b3t14l1,14,22.56,-90.91499999999999
b3t14l2,14,20.51,-6.27
b3t14l3,14,18.46,-6.27
b3t15l1,15,22.56,-89.001
b3t15l2,15,20.51,-6.138000000000001
b3t15l3,15,18.46,-6.138000000000001
b3t16l1,16,22.56,-89.95799999999998
b3t16l2,16,20.51,-6.203999999999999
b3t16l3,16,18.46,-6.203999999999999
b3t17l1,17,22.56,-94.74300000000001
b3t17l2,17,20.51,-6.534
b3t17l3,17,18.46,-6.534
b3t18l1,18,22.56,-95.7
b3t18l2,18,20.51,-6.6
b3t18l3,18,18.46,-6.6
b3t19l1,19,22.56,-95.7
b3t19l2,19,20.51,-6.6
b3t19l3,19,18.46,-6.6
b3t20l1,20,22.56,-91.872
b3t20l2,20,20.51,-6.335999999999999
b3t20l3,20,18.46,-6.335999999999999
