id,step_orders,fixed_term,variable_term,condition,load_gradient
9497313,"9497313_01_01,9497313_01_02,9497313_01_03,9497313_01_04,9497313_01_05,9497313_01_06,9497313_02_01,9497313_02_02,9497313_02_03,9497313_02_04,9497313_02_05,9497313_02_06,9497313_03_01,9497313_03_02,9497313_03_03,9497313_03_04,9497313_03_05,9497313_03_06,9497313_04_01,9497313_04_02,9497313_04_03,9497313_04_04,9497313_04_05,9497313_04_06,9497313_05_01,9497313_05_02,9497313_05_03,9497313_05_04,9497313_05_05,9497313_05_06,9497313_06_01,9497313_06_02,9497313_06_03,9497313_06_04,9497313_06_05,9497313_06_06,9497313_07_01,9497313_07_02,9497313_07_03,9497313_07_04,9497313_07_05,9497313_07_06,9497313_08_01,9497313_08_02,9497313_08_03,9497313_08_04,9497313_08_05,9497313_08_06,9497313_09_01,9497313_09_02,9497313_09_03,9497313_09_04,9497313_09_05,9497313_09_06,9497313_10_01,9497313_10_02,9497313_10_03,9497313_10_04,9497313_10_05,9497313_10_06,9497313_11_01,9497313_11_02,9497313_11_03,9497313_11_04,9497313_11_05,9497313_11_06,9497313_12_01,9497313_12_02,9497313_12_03,9497313_12_04,9497313_12_05,9497313_12_06,9497313_13_01,9497313_13_02,9497313_13_03,9497313_13_04,9497313_13_05,9497313_13_06,9497313_14_01,9497313_14_02,9497313_14_03,9497313_14_04,9497313_14_05,9497313_14_06,9497313_15_01,9497313_15_02,9497313_15_03,9497313_15_04,9497313_15_05,9497313_15_06,9497313_16_01,9497313_16_02,9497313_16_03,9497313_16_04,9497313_16_05,9497313_16_06,9497313_17_01,9497313_17_02,9497313_17_03,9497313_17_04,9497313_17_05,9497313_17_06,9497313_18_01,9497313_18_02,9497313_18_03,9497313_18_04,9497313_18_05,9497313_18_06,9497313_19_01,9497313_19_02,9497313_19_03,9497313_19_04,9497313_19_05,9497313_19_06,9497313_20_01,9497313_20_02,9497313_20_03,9497313_20_04,9497313_20_05,9497313_20_06,9497313_21_01,9497313_21_02,9497313_21_03,9497313_21_04,9497313_21_05,9497313_21_06,9497313_22_01,9497313_22_02,9497313_22_03,9497313_22_04,9497313_22_05,9497313_22_06,9497313_23_01,9497313_23_02,9497313_23_03,9497313_23_04,9497313_23_05,9497313_23_06,9497313_24_01,9497313_24_02,9497313_24_03,9497313_24_04,9497313_24_05,9497313_24_06",24000.0,127.5,MIC,0.0
9509053,"9509053_01_01,9509053_02_01,9509053_03_01,9509053_04_01,9509053_05_01,9509053_06_01,9509053_07_01,9509053_08_01,9509053_09_01,9509053_10_01,9509053_11_01,9509053_12_01,9509053_13_01,9509053_14_01,9509053_15_01,9509053_16_01,9509053_17_01,9509053_18_01,9509053_19_01,9509053_20_01,9509053_20_02,9509053_21_01,9509053_21_02,9509053_22_01,9509053_22_02,9509053_23_01,9509053_24_01",0.0,195.0,MIC,0.0
9501034,"9501034_01_01,9501034_01_02,9501034_02_01,9501034_02_02,9501034_03_01,9501034_03_02,9501034_04_01,9501034_04_02,9501034_05_01,9501034_05_02,9501034_06_01,9501034_06_02,9501034_07_01,9501034_07_02,9501034_08_01,9501034_08_02,9501034_09_01,9501034_09_02,9501034_10_01,9501034_10_02,9501034_11_01,9501034_11_02,9501034_12_01,9501034_12_02,9501034_13_01,9501034_13_02,9501034_14_01,9501034_14_02,9501034_15_01,9501034_15_02,9501034_16_01,9501034_16_02,9501034_17_01,9501034_17_02,9501034_18_01,9501034_18_02,9501034_19_01,9501034_19_02,9501034_20_01,9501034_20_02,9501034_21_01,9501034_21_02,9501034_22_01,9501034_22_02,9501034_23_01,9501034_23_02,9501034_24_01,9501034_24_02",0.0,48.0,MIC,0.0
9509595,"9509595_01_01,9509595_02_01,9509595_03_01,9509595_04_01,9509595_05_01,9509595_06_01,9509595_07_01,9509595_08_01,9509595_09_01,9509595_10_01,9509595_11_01,9509595_12_01,9509595_13_01,9509595_14_01,9509595_15_01,9509595_16_01,9509595_17_01,9509595_18_01,9509595_19_01,9509595_20_01,9509595_20_02,9509595_20_03,9509595_21_01,9509595_21_02,9509595_21_03,9509595_22_01,9509595_22_02,9509595_22_03,9509595_23_01,9509595_24_01",70066.0,198.59,MIC,0.0
9509597,"9509597_01_01,9509597_02_01,9509597_03_01,9509597_04_01,9509597_05_01,9509597_06_01,9509597_07_01,9509597_08_01,9509597_09_01,9509597_10_01,9509597_11_01,9509597_12_01,9509597_13_01,9509597_14_01,9509597_15_01,9509597_16_01,9509597_17_01,9509597_18_01,9509597_19_01,9509597_20_01,9509597_20_02,9509597_20_03,9509597_21_01,9509597_21_02,9509597_21_03,9509597_22_01,9509597_22_02,9509597_22_03,9509597_23_01,9509597_24_01",83239.0,194.15,MIC,0.0
9509763,"9509763_01_01,9509763_02_01,9509763_03_01,9509763_04_01,9509763_05_01,9509763_06_01,9509763_07_01,9509763_08_01,9509763_09_01,9509763_10_01,9509763_11_01,9509763_12_01,9509763_13_01,9509763_14_01,9509763_15_01,9509763_16_01,9509763_17_01,9509763_18_01,9509763_19_01,9509763_20_01,9509763_21_01,9509763_22_01,9509763_23_01,9509763_24_01",59062.0,161.15,MIC,0.0
9507924,"9507924_01_01,9507924_02_01,9507924_03_01,9507924_04_01,9507924_05_01,9507924_05_02,9507924_06_01,9507924_06_02,9507924_07_01,9507924_07_02,9507924_07_03,9507924_07_04,9507924_07_05,9507924_07_06,9507924_07_07,9507924_08_01,9507924_08_02,9507924_08_03,9507924_08_04,9507924_08_05,9507924_08_06,9507924_08_07,9507924_09_01,9507924_09_02,9507924_09_03,9507924_09_04,9507924_09_05,9507924_09_06,9507924_09_07,9507924_10_01,9507924_10_02,9507924_10_03,9507924_10_04,9507924_10_05,9507924_10_06,9507924_10_07,9507924_11_01,9507924_11_02,9507924_11_03,9507924_11_04,9507924_11_05,9507924_11_06,9507924_11_07,9507924_12_01,9507924_12_02,9507924_12_03,9507924_12_04,9507924_12_05,9507924_12_06,9507924_12_07,9507924_13_01,9507924_13_02,9507924_13_03,9507924_13_04,9507924_13_05,9507924_13_06,9507924_13_07,9507924_14_01,9507924_14_02,9507924_14_03,9507924_14_04,9507924_14_05,9507924_14_06,9507924_14_07,9507924_15_01,9507924_15_02,9507924_15_03,9507924_15_04,9507924_15_05,9507924_15_06,9507924_15_07,9507924_16_01,9507924_16_02,9507924_16_03,9507924_16_04,9507924_16_05,9507924_16_06,9507924_16_07,9507924_17_01,9507924_17_02,9507924_17_03,9507924_17_04,9507924_17_05,9507924_17_06,9507924_17_07,9507924_18_01,9507924_18_02,9507924_18_03,9507924_18_04,9507924_18_05,9507924_18_06,9507924_18_07,9507924_19_01,9507924_19_02,9507924_19_03,9507924_19_04,9507924_19_05,9507924_19_06,9507924_19_07,9507924_20_01,9507924_20_02,9507924_20_03,9507924_20_04,9507924_20_05,9507924_20_06,9507924_20_07,9507924_21_01,9507924_21_02,9507924_21_03,9507924_21_04,9507924_21_05,9507924_21_06,9507924_21_07,9507924_22_01,9507924_22_02,9507924_22_03,9507924_22_04,9507924_22_05,9507924_22_06,9507924_22_07,9507924_23_01,9507924_23_02,9507924_23_03,9507924_23_04,9507924_23_05,9507924_23_06,9507924_23_07,9507924_24_01,9507924_24_02,9507924_24_03,9507924_24_04,9507924_24_05,9507924_24_06,9507924_24_07",0.0,134.45,MIC,0.0
9507928,"9507928_01_01,9507928_01_02,9507928_01_03,9507928_01_04,9507928_01_05,9507928_01_06,9507928_01_07,9507928_01_08,9507928_02_01,9507928_02_02,9507928_02_03,9507928_02_04,9507928_02_05,9507928_02_06,9507928_02_07,9507928_02_08,9507928_03_01,9507928_03_02,9507928_03_03,9507928_03_04,9507928_03_05,9507928_03_06,9507928_03_07,9507928_03_08,9507928_04_01,9507928_04_02,9507928_04_03,9507928_04_04,9507928_04_05,9507928_04_06,9507928_04_07,9507928_04_08,9507928_05_01,9507928_05_02,9507928_05_03,9507928_05_04,9507928_05_05,9507928_05_06,9507928_05_07,9507928_05_08,9507928_05_09,9507928_06_01,9507928_06_02,9507928_06_03,9507928_06_04,9507928_06_05,9507928_06_06,9507928_06_07,9507928_06_08,9507928_06_09,9507928_07_01,9507928_07_02,9507928_07_03,9507928_07_04,9507928_07_05,9507928_07_06,9507928_07_07,9507928_07_08,9507928_07_09,9507928_07_10,9507928_07_11,9507928_07_12,9507928_07_13,9507928_07_14,9507928_07_15,9507928_08_01,9507928_08_02,9507928_08_03,9507928_08_04,9507928_08_05,9507928_08_06,9507928_08_07,9507928_08_08,9507928_08_09,9507928_08_10,9507928_08_11,9507928_08_12,9507928_08_13,9507928_08_14,9507928_08_15,9507928_09_01,9507928_09_02,9507928_09_03,9507928_09_04,9507928_09_05,9507928_09_06,9507928_09_07,9507928_09_08,9507928_09_09,9507928_09_10,9507928_09_11,9507928_09_12,9507928_09_13,9507928_09_14,9507928_09_15,9507928_10_01,9507928_10_02,9507928_10_03,9507928_10_04,9507928_10_05,9507928_10_06,9507928_10_07,9507928_10_08,9507928_10_09,9507928_10_10,9507928_10_11,9507928_10_12,9507928_10_13,9507928_10_14,9507928_10_15,9507928_11_01,9507928_11_02,9507928_11_03,9507928_11_04,9507928_11_05,9507928_11_06,9507928_11_07,9507928_11_08,9507928_11_09,9507928_11_10,9507928_11_11,9507928_11_12,9507928_11_13,9507928_11_14,9507928_12_01,9507928_12_02,9507928_12_03,9507928_12_04,9507928_12_05,9507928_12_06,9507928_12_07,9507928_12_08,9507928_12_09,9507928_12_10,9507928_12_11,9507928_12_12,9507928_12_13,9507928_12_14,9507928_13_01,9507928_13_02,9507928_13_03,9507928_13_04,9507928_13_05,9507928_13_06,9507928_13_07,9507928_13_08,9507928_13_09,9507928_13_10,9507928_13_11,9507928_13_12,9507928_13_13,9507928_13_14,9507928_14_01,9507928_14_02,9507928_14_03,9507928_14_04,9507928_14_05,9507928_14_06,9507928_14_07,9507928_14_08,9507928_14_09,9507928_14_10,9507928_14_11,9507928_14_12,9507928_14_13,9507928_14_14,9507928_15_01,9507928_15_02,9507928_15_03,9507928_15_04,9507928_15_05,9507928_15_06,9507928_15_07,9507928_15_08,9507928_15_09,9507928_15_10,9507928_15_11,9507928_15_12,9507928_15_13,9507928_15_14,9507928_16_01,9507928_16_02,9507928_16_03,9507928_16_04,9507928_16_05,9507928_16_06,9507928_16_07,9507928_16_08,9507928_16_09,9507928_16_10,9507928_16_11,9507928_16_12,9507928_16_13,9507928_16_14,9507928_17_01,9507928_17_02,9507928_17_03,9507928_17_04,9507928_17_05,9507928_17_06,9507928_17_07,9507928_17_08,9507928_17_09,9507928_17_10,9507928_17_11,9507928_17_12,9507928_17_13,9507928_17_14,9507928_18_01,9507928_18_02,9507928_18_03,9507928_18_04,9507928_18_05,9507928_18_06,9507928_18_07,9507928_18_08,9507928_18_09,9507928_18_10,9507928_18_11,9507928_18_12,9507928_18_13,9507928_18_14,9507928_19_01,9507928_19_02,9507928_19_03,9507928_19_04,9507928_19_05,9507928_19_06,9507928_19_07,9507928_19_08,9507928_19_09,9507928_19_10,9507928_19_11,9507928_19_12,9507928_19_13,9507928_19_14,9507928_20_01,9507928_20_02,9507928_20_03,9507928_20_04,9507928_20_05,9507928_20_06,9507928_20_07,9507928_20_08,9507928_20_09,9507928_20_10,9507928_20_11,9507928_20_12,9507928_20_13,9507928_20_14,9507928_21_01,9507928_21_02,9507928_21_03,9507928_21_04,9507928_21_05,9507928_21_06,9507928_21_07,9507928_21_08,9507928_21_09,9507928_21_10,9507928_21_11,9507928_21_12,9507928_21_13,9507928_21_14,9507928_22_01,9507928_22_02,9507928_22_03,9507928_22_04,9507928_22_05,9507928_22_06,9507928_22_07,9507928_22_08,9507928_22_09,9507928_22_10,9507928_22_11,9507928_22_12,9507928_22_13,9507928_22_14,9507928_23_01,9507928_23_02,9507928_23_03,9507928_23_04,9507928_23_05,9507928_23_06,9507928_23_07,9507928_23_08,9507928_23_09,9507928_23_10,9507928_23_11,9507928_23_12,9507928_23_13,9507928_23_14,9507928_24_01,9507928_24_02,9507928_24_03,9507928_24_04,9507928_24_05,9507928_24_06,9507928_24_07,9507928_24_08,9507928_24_09,9507928_24_10,9507928_24_11,9507928_24_12,9507928_24_13,9507928_24_14",0.0,132.81,MIC,0.0
9507939,"9507939_01_01,9507939_01_02,9507939_02_01,9507939_02_02,9507939_03_01,9507939_03_02,9507939_04_01,9507939_04_02,9507939_05_01,9507939_05_02,9507939_05_03,9507939_06_01,9507939_06_02,9507939_06_03,9507939_07_01,9507939_07_02,9507939_07_03,9507939_07_04,9507939_07_05,9507939_07_06,9507939_07_07,9507939_07_08,9507939_07_09,9507939_08_01,9507939_08_02,9507939_08_03,9507939_08_04,9507939_08_05,9507939_08_06,9507939_08_07,9507939_08_08,9507939_08_09,9507939_09_01,9507939_09_02,9507939_09_03,9507939_09_04,9507939_09_05,9507939_09_06,9507939_09_07,9507939_09_08,9507939_09_09,9507939_10_01,9507939_10_02,9507939_10_03,9507939_10_04,9507939_10_05,9507939_10_06,9507939_10_07,9507939_10_08,9507939_10_09,9507939_11_01,9507939_11_02,9507939_11_03,9507939_11_04,9507939_11_05,9507939_11_06,9507939_11_07,9507939_11_08,9507939_11_09,9507939_12_01,9507939_12_02,9507939_12_03,9507939_12_04,9507939_12_05,9507939_12_06,9507939_12_07,9507939_12_08,9507939_12_09,9507939_13_01,9507939_13_02,9507939_13_03,9507939_13_04,9507939_13_05,9507939_13_06,9507939_13_07,9507939_13_08,9507939_13_09,9507939_14_01,9507939_14_02,9507939_14_03,9507939_14_04,9507939_14_05,9507939_14_06,9507939_14_07,9507939_14_08,9507939_14_09,9507939_15_01,9507939_15_02,9507939_15_03,9507939_15_04,9507939_15_05,9507939_15_06,9507939_15_07,9507939_15_08,9507939_15_09,9507939_16_01,9507939_16_02,9507939_16_03,9507939_16_04,9507939_16_05,9507939_16_06,9507939_16_07,9507939_16_08,9507939_16_09,9507939_17_01,9507939_17_02,9507939_17_03,9507939_17_04,9507939_17_05,9507939_17_06,9507939_17_07,9507939_17_08,9507939_17_09,9507939_18_01,9507939_18_02,9507939_18_03,9507939_18_04,9507939_18_05,9507939_18_06,9507939_18_07,9507939_18_08,9507939_18_09,9507939_19_01,9507939_19_02,9507939_19_03,9507939_19_04,9507939_19_05,9507939_19_06,9507939_19_07,9507939_19_08,9507939_19_09,9507939_20_01,9507939_20_02,9507939_20_03,9507939_20_04,9507939_20_05,9507939_20_06,9507939_20_07,9507939_20_08,9507939_20_09,9507939_21_01,9507939_21_02,9507939_21_03,9507939_21_04,9507939_21_05,9507939_21_06,9507939_21_07,9507939_21_08,9507939_21_09,9507939_22_01,9507939_22_02,9507939_22_03,9507939_22_04,9507939_22_05,9507939_22_06,9507939_22_07,9507939_22_08,9507939_22_09,9507939_23_01,9507939_23_02,9507939_23_03,9507939_23_04,9507939_23_05,9507939_23_06,9507939_23_07,9507939_23_08,9507939_23_09,9507939_24_01,9507939_24_02,9507939_24_03,9507939_24_04,9507939_24_05,9507939_24_06,9507939_24_07,9507939_24_08,9507939_24_09",0.0,130.69,MIC,0.0
9507905,"9507905_01_01,9507905_01_02,9507905_02_01,9507905_02_02,9507905_03_01,9507905_03_02,9507905_04_01,9507905_04_02,9507905_05_01,9507905_05_02,9507905_05_03,9507905_05_04,9507905_06_01,9507905_06_02,9507905_06_03,9507905_06_04,9507905_07_01,9507905_07_02,9507905_07_03,9507905_07_04,9507905_07_05,9507905_07_06,9507905_07_07,9507905_07_08,9507905_07_09,9507905_08_01,9507905_08_02,9507905_08_03,9507905_08_04,9507905_08_05,9507905_08_06,9507905_08_07,9507905_08_08,9507905_08_09,9507905_09_01,9507905_09_02,9507905_09_03,9507905_09_04,9507905_09_05,9507905_09_06,9507905_09_07,9507905_09_08,9507905_09_09,9507905_10_01,9507905_10_02,9507905_10_03,9507905_10_04,9507905_10_05,9507905_10_06,9507905_10_07,9507905_10_08,9507905_10_09,9507905_11_01,9507905_11_02,9507905_11_03,9507905_11_04,9507905_11_05,9507905_11_06,9507905_11_07,9507905_11_08,9507905_11_09,9507905_12_01,9507905_12_02,9507905_12_03,9507905_12_04,9507905_12_05,9507905_12_06,9507905_12_07,9507905_12_08,9507905_12_09,9507905_13_01,9507905_13_02,9507905_13_03,9507905_13_04,9507905_13_05,9507905_13_06,9507905_13_07,9507905_13_08,9507905_13_09,9507905_14_01,9507905_14_02,9507905_14_03,9507905_14_04,9507905_14_05,9507905_14_06,9507905_14_07,9507905_14_08,9507905_14_09,9507905_15_01,9507905_15_02,9507905_15_03,9507905_15_04,9507905_15_05,9507905_15_06,9507905_15_07,9507905_15_08,9507905_15_09,9507905_16_01,9507905_16_02,9507905_16_03,9507905_16_04,9507905_16_05,9507905_16_06,9507905_16_07,9507905_16_08,9507905_16_09,9507905_17_01,9507905_17_02,9507905_17_03,9507905_17_04,9507905_17_05,9507905_17_06,9507905_17_07,9507905_17_08,9507905_17_09,9507905_18_01,9507905_18_02,9507905_18_03,9507905_18_04,9507905_18_05,9507905_18_06,9507905_18_07,9507905_18_08,9507905_18_09,9507905_19_01,9507905_19_02,9507905_19_03,9507905_19_04,9507905_19_05,9507905_19_06,9507905_19_07,9507905_19_08,9507905_19_09,9507905_20_01,9507905_20_02,9507905_20_03,9507905_20_04,9507905_20_05,9507905_20_06,9507905_20_07,9507905_20_08,9507905_20_09,9507905_21_01,9507905_21_02,9507905_21_03,9507905_21_04,9507905_21_05,9507905_21_06,9507905_21_07,9507905_21_08,9507905_21_09,9507905_22_01,9507905_22_02,9507905_22_03,9507905_22_04,9507905_22_05,9507905_22_06,9507905_22_07,9507905_22_08,9507905_22_09,9507905_23_01,9507905_23_02,9507905_23_03,9507905_23_04,9507905_23_05,9507905_23_06,9507905_23_07,9507905_23_08,9507905_23_09,9507905_24_01,9507905_24_02,9507905_24_03,9507905_24_04,9507905_24_05,9507905_24_06,9507905_24_07,9507905_24_08,9507905_24_09",0.0,230.27,MIC,0.0
