id,complex_order_id,t,p,q
9497313_01_01,9497313,1,-0.01,185.8
9497313_01_02,9497313,1,130.91,3.0
9497313_01_03,9497313,1,131.91,5.0
9497313_01_04,9497313,1,146.91,5.0
9497313_01_05,9497313,1,311.91,5.0
9497313_01_06,9497313,1,999.99,11.2
9497313_02_01,9497313,2,-0.01,185.4
9497313_02_02,9497313,2,130.91,4.0
9497313_02_03,9497313,2,131.91,5.0
9497313_02_04,9497313,2,146.91,5.0
9497313_02_05,9497313,2,311.91,5.0
9497313_02_06,9497313,2,999.99,10.6
9497313_03_01,9497313,3,-0.01,185.0
9497313_03_02,9497313,3,130.91,5.0
9497313_03_03,9497313,3,131.91,5.0
9497313_03_04,9497313,3,146.91,5.0
9497313_03_05,9497313,3,311.91,5.0
9497313_03_06,9497313,3,999.99,10.0
9497313_04_01,9497313,4,5.0,185.0
9497313_04_02,9497313,4,130.91,5.0
9497313_04_03,9497313,4,131.91,5.0
9497313_04_04,9497313,4,146.91,5.0
9497313_04_05,9497313,4,311.91,5.0
9497313_04_06,9497313,4,999.99,10.0
9497313_05_01,9497313,5,5.0,185.0
9497313_05_02,9497313,5,130.91,5.0
9497313_05_03,9497313,5,131.91,5.0
9497313_05_04,9497313,5,146.91,5.0
9497313_05_05,9497313,5,311.91,5.0
9497313_05_06,9497313,5,999.99,10.0
9497313_06_01,9497313,6,5.0,185.0
9497313_06_02,9497313,6,130.91,5.0
9497313_06_03,9497313,6,131.91,5.0
9497313_06_04,9497313,6,146.91,5.0
9497313_06_05,9497313,6,311.91,5.0
9497313_06_06,9497313,6,999.99,10.0
9497313_07_01,9497313,7,5.0,185.0
9497313_07_02,9497313,7,130.91,5.0
9497313_07_03,9497313,7,131.91,5.0
9497313_07_04,9497313,7,146.91,5.0
9497313_07_05,9497313,7,311.91,5.0
9497313_07_06,9497313,7,999.99,10.0
9497313_08_01,9497313,8,5.0,185.0
9497313_08_02,9497313,8,130.91,5.0
9497313_08_03,9497313,8,131.91,5.0
9497313_08_04,9497313,8,146.91,5.0
9497313_08_05,9497313,8,311.91,5.0
9497313_08_06,9497313,8,999.99,10.0
9497313_09_01,9497313,9,5.0,185.0
9497313_09_02,9497313,9,130.91,5.0
9497313_09_03,9497313,9,131.91,5.0
9497313_09_04,9497313,9,146.91,5.0
9497313_09_05,9497313,9,311.91,5.0
9497313_09_06,9497313,9,999.99,10.0
9497313_10_01,9497313,10,5.0,185.0
9497313_10_02,9497313,10,130.91,5.0
9497313_10_03,9497313,10,131.12,5.0
9497313_10_04,9497313,10,146.12,5.0
9497313_10_05,9497313,10,311.12,5.0
9497313_10_06,9497313,10,999.99,10.0
9497313_11_01,9497313,11,5.0,185.0
9497313_11_02,9497313,11,130.91,5.0
9497313_11_03,9497313,11,131.12,5.0
9497313_11_04,9497313,11,146.12,5.0
9497313_11_05,9497313,11,311.12,5.0
9497313_11_06,9497313,11,999.99,10.0
9497313_12_01,9497313,12,5.0,185.0
9497313_12_02,9497313,12,130.91,5.0
9497313_12_03,9497313,12,131.12,5.0
9497313_12_04,9497313,12,146.12,5.0
9497313_12_05,9497313,12,311.12,5.0
9497313_12_06,9497313,12,999.99,10.0
9497313_13_01,9497313,13,5.0,185.0
9497313_13_02,9497313,13,130.91,5.0
9497313_13_03,9497313,13,131.12,5.0
9497313_13_04,9497313,13,146.12,5.0
9497313_13_05,9497313,13,311.12,5.0
9497313_13_06,9497313,13,999.99,10.0
9497313_14_01,9497313,14,5.0,185.0
9497313_14_02,9497313,14,130.91,5.0
9497313_14_03,9497313,14,131.12,5.0
9497313_14_04,9497313,14,146.12,5.0
9497313_14_05,9497313,14,311.12,5.0
9497313_14_06,9497313,14,999.99,10.0
9497313_15_01,9497313,15,5.0,185.0
9497313_15_02,9497313,15,130.91,5.0
9497313_15_03,9497313,15,131.91,5.0
9497313_15_04,9497313,15,146.91,5.0
9497313_15_05,9497313,15,311.91,5.0
9497313_15_06,9497313,15,999.99,10.0
9497313_16_01,9497313,16,5.0,185.0
9497313_16_02,9497313,16,130.91,5.0
9497313_16_03,9497313,16,131.91,5.0
9497313_16_04,9497313,16,146.91,5.0
9497313_16_05,9497313,16,311.91,5.0
9497313_16_06,9497313,16,999.99,10.0
9497313_17_01,9497313,17,5.0,185.0
9497313_17_02,9497313,17,130.91,5.0
9497313_17_03,9497313,17,131.91,5.0
9497313_17_04,9497313,17,146.91,5.0
9497313_17_05,9497313,17,311.91,5.0
9497313_17_06,9497313,17,999.99,10.0
9497313_18_01,9497313,18,5.0,185.0
9497313_18_02,9497313,18,130.91,5.0
9497313_18_03,9497313,18,131.91,5.0
9497313_18_04,9497313,18,146.91,5.0
9497313_18_05,9497313,18,311.91,5.0
9497313_18_06,9497313,18,999.99,10.0
9497313_19_01,9497313,19,5.0,185.0
9497313_19_02,9497313,19,130.91,5.0
9497313_19_03,9497313,19,131.91,5.0
9497313_19_04,9497313,19,146.91,5.0
9497313_19_05,9497313,19,311.91,5.0
9497313_19_06,9497313,19,999.99,10.0
9497313_20_01,9497313,20,5.0,185.0
9497313_20_02,9497313,20,130.91,5.0
9497313_20_03,9497313,20,131.12,5.0
9497313_20_04,9497313,20,146.12,5.0
9497313_20_05,9497313,20,311.12,5.0
9497313_20_06,9497313,20,999.99,10.0
9497313_21_01,9497313,21,5.0,185.0
9497313_21_02,9497313,21,130.91,5.0
9497313_21_03,9497313,21,131.12,5.0
9497313_21_04,9497313,21,146.12,5.0
9497313_21_05,9497313,21,311.12,5.0
9497313_21_06,9497313,21,999.99,10.0
9497313_22_01,9497313,22,5.0,185.0
9497313_22_02,9497313,22,130.91,5.0
9497313_22_03,9497313,22,131.12,5.0
9497313_22_04,9497313,22,146.12,5.0
9497313_22_05,9497313,22,311.12,5.0
9497313_22_06,9497313,22,999.99,10.0
9497313_23_01,9497313,23,5.0,185.0
9497313_23_02,9497313,23,130.91,5.0
9497313_23_03,9497313,23,131.12,5.0
9497313_23_04,9497313,23,146.12,5.0
9497313_23_05,9497313,23,311.12,5.0
9497313_23_06,9497313,23,999.99,10.0
9497313_24_01,9497313,24,5.0,185.0
9497313_24_02,9497313,24,130.91,5.0
9497313_24_03,9497313,24,131.91,5.0
9497313_24_04,9497313,24,146.91,5.0
9497313_24_05,9497313,24,311.91,5.0
9497313_24_06,9497313,24,999.99,10.0
9509053_01_01,9509053,1,275.0,421.0
9509053_02_01,9509053,2,275.0,421.0
9509053_03_01,9509053,3,275.0,421.0
9509053_04_01,9509053,4,275.0,421.0
9509053_05_01,9509053,5,275.0,421.0
9509053_06_01,9509053,6,275.0,421.0
9509053_07_01,9509053,7,275.0,421.0
9509053_08_01,9509053,8,275.0,421.0
9509053_09_01,9509053,9,275.0,421.0
9509053_10_01,9509053,10,275.0,421.0
9509053_11_01,9509053,11,275.0,421.0
9509053_12_01,9509053,12,275.0,421.0
9509053_13_01,9509053,13,275.0,421.0
9509053_14_01,9509053,14,275.0,421.0
9509053_15_01,9509053,15,275.0,421.0
9509053_16_01,9509053,16,275.0,421.0
9509053_17_01,9509053,17,275.0,421.0
9509053_18_01,9509053,18,275.0,421.0
9509053_19_01,9509053,19,275.0,421.0
9509053_20_01,9509053,20,125.0,400.0
9509053_20_02,9509053,20,275.0,21.0
9509053_21_01,9509053,21,125.0,400.0
9509053_21_02,9509053,21,275.0,21.0
9509053_22_01,9509053,22,125.0,400.0
9509053_22_02,9509053,22,275.0,21.0
9509053_23_01,9509053,23,275.0,421.0
9509053_24_01,9509053,24,275.0,421.0
9501034_01_01,9501034,1,2.06,17.7
9501034_01_02,9501034,1,57.0,14.0
9501034_02_01,9501034,2,1.71,17.7
9501034_02_02,9501034,2,57.0,14.0
9501034_03_01,9501034,3,1.55,17.7
9501034_03_02,9501034,3,57.0,14.0
9501034_04_01,9501034,4,1.42,17.7
9501034_04_02,9501034,4,57.0,14.0
9501034_05_01,9501034,5,1.41,17.7
9501034_05_02,9501034,5,57.0,14.0
9501034_06_01,9501034,6,1.55,17.7
9501034_06_02,9501034,6,57.0,14.0
9501034_07_01,9501034,7,1.45,17.7
9501034_07_02,9501034,7,57.0,14.0
9501034_08_01,9501034,8,-5.0,17.7
9501034_08_02,9501034,8,57.0,14.0
9501034_09_01,9501034,9,-5.0,17.7
9501034_09_02,9501034,9,57.0,14.0
9501034_10_01,9501034,10,-5.0,17.7
9501034_10_02,9501034,10,57.0,14.0
9501034_11_01,9501034,11,-5.0,17.7
9501034_11_02,9501034,11,57.0,13.9
9501034_12_01,9501034,12,-5.0,17.7
9501034_12_02,9501034,12,57.0,13.9
9501034_13_01,9501034,13,-5.0,17.7
9501034_13_02,9501034,13,57.0,13.7
9501034_14_01,9501034,14,-5.0,17.7
9501034_14_02,9501034,14,57.0,13.5
9501034_15_01,9501034,15,-5.0,17.7
9501034_15_02,9501034,15,57.0,13.4
9501034_16_01,9501034,16,-5.0,17.7
9501034_16_02,9501034,16,57.0,13.3
9501034_17_01,9501034,17,-5.0,17.7
9501034_17_02,9501034,17,57.0,13.3
9501034_18_01,9501034,18,-5.0,17.7
9501034_18_02,9501034,18,57.0,13.4
9501034_19_01,9501034,19,-5.0,17.7
9501034_19_02,9501034,19,57.0,13.4
9501034_20_01,9501034,20,0.62,17.7
9501034_20_02,9501034,20,57.0,13.7
9501034_21_01,9501034,21,1.41,17.7
9501034_21_02,9501034,21,57.0,13.8
9501034_22_01,9501034,22,2.35,17.7
9501034_22_02,9501034,22,57.0,13.9
9501034_23_01,9501034,23,2.86,17.7
9501034_23_02,9501034,23,57.0,14.0
9501034_24_01,9501034,24,2.31,17.7
9501034_24_02,9501034,24,57.0,14.0
9509595_01_01,9509595,1,300.0,395.8
9509595_02_01,9509595,2,300.0,396.1
9509595_03_01,9509595,3,300.0,397.3
9509595_04_01,9509595,4,300.0,397.6
9509595_05_01,9509595,5,300.0,397.6
9509595_06_01,9509595,6,300.0,397.3
9509595_07_01,9509595,7,300.0,396.6
9509595_08_01,9509595,8,300.0,396.3
9509595_09_01,9509595,9,300.0,395.6
9509595_10_01,9509595,10,300.0,394.5
9509595_11_01,9509595,11,300.0,393.8
9509595_12_01,9509595,12,300.0,393.0
9509595_13_01,9509595,13,300.0,392.5
9509595_14_01,9509595,14,300.0,391.4
9509595_15_01,9509595,15,300.0,390.9
9509595_16_01,9509595,16,300.0,390.3
9509595_17_01,9509595,17,300.0,389.8
9509595_18_01,9509595,18,300.0,389.6
9509595_19_01,9509595,19,300.0,389.8
9509595_20_01,9509595,20,82.89,210.0
9509595_20_02,9509595,20,101.98,131.6
9509595_20_03,9509595,20,128.34,49.0
9509595_21_01,9509595,21,82.89,210.0
9509595_21_02,9509595,21,101.98,132.1
9509595_21_03,9509595,21,128.34,49.0
9509595_22_01,9509595,22,82.89,210.0
9509595_22_02,9509595,22,101.98,132.4
9509595_22_03,9509595,22,128.34,49.0
9509595_23_01,9509595,23,300.0,391.4
9509595_24_01,9509595,24,300.0,391.6
9509597_01_01,9509597,1,300.0,418.4
9509597_02_01,9509597,2,300.0,418.4
9509597_03_01,9509597,3,300.0,418.4
9509597_04_01,9509597,4,300.0,418.4
9509597_05_01,9509597,5,300.0,418.4
9509597_06_01,9509597,6,300.0,418.4
9509597_07_01,9509597,7,300.0,418.4
9509597_08_01,9509597,8,300.0,418.4
9509597_09_01,9509597,9,300.0,418.4
9509597_10_01,9509597,10,300.0,418.4
9509597_11_01,9509597,11,300.0,418.4
9509597_12_01,9509597,12,300.0,418.4
9509597_13_01,9509597,13,300.0,418.4
9509597_14_01,9509597,14,300.0,418.4
9509597_15_01,9509597,15,300.0,418.4
9509597_16_01,9509597,16,300.0,418.4
9509597_17_01,9509597,17,300.0,418.4
9509597_18_01,9509597,18,300.0,418.4
9509597_19_01,9509597,19,300.0,418.4
9509597_20_01,9509597,20,81.4,210.0
9509597_20_02,9509597,20,98.73,174.4
9509597_20_03,9509597,20,128.34,34.0
9509597_21_01,9509597,21,81.4,210.0
9509597_21_02,9509597,21,98.73,174.4
9509597_21_03,9509597,21,128.34,34.0
9509597_22_01,9509597,22,81.4,210.0
9509597_22_02,9509597,22,98.73,174.4
9509597_22_03,9509597,22,128.34,34.0
9509597_23_01,9509597,23,300.0,418.4
9509597_24_01,9509597,24,300.0,418.4
9509763_01_01,9509763,1,161.15,274.4
9509763_02_01,9509763,2,161.15,274.6
9509763_03_01,9509763,3,161.15,274.6
9509763_04_01,9509763,4,161.15,274.6
9509763_05_01,9509763,5,161.15,274.6
9509763_06_01,9509763,6,161.15,274.4
9509763_07_01,9509763,7,161.15,274.4
9509763_08_01,9509763,8,161.15,273.6
9509763_09_01,9509763,9,161.15,273.6
9509763_10_01,9509763,10,161.15,273.2
9509763_11_01,9509763,11,161.15,273.2
9509763_12_01,9509763,12,161.15,272.4
9509763_13_01,9509763,13,161.15,271.6
9509763_14_01,9509763,14,161.15,271.6
9509763_15_01,9509763,15,161.15,271.6
9509763_16_01,9509763,16,161.15,270.8
9509763_17_01,9509763,17,161.15,270.8
9509763_18_01,9509763,18,161.15,271.6
9509763_19_01,9509763,19,161.15,271.6
9509763_20_01,9509763,20,161.15,272.4
9509763_21_01,9509763,21,161.15,272.4
9509763_22_01,9509763,22,161.15,272.4
9509763_23_01,9509763,23,161.15,273.2
9509763_24_01,9509763,24,161.15,273.2
9507924_01_01,9507924,1,407.58,378.9
9507924_02_01,9507924,2,407.58,378.9
9507924_03_01,9507924,3,407.58,378.9
9507924_04_01,9507924,4,407.58,378.9
9507924_05_01,9507924,5,0.1,15.0
9507924_05_02,9507924,5,407.58,363.9
9507924_06_01,9507924,6,0.1,110.0
9507924_06_02,9507924,6,407.58,268.9
9507924_07_01,9507924,7,0.1,170.0
9507924_07_02,9507924,7,134.55,25.0
9507924_07_03,9507924,7,134.65,25.0
9507924_07_04,9507924,7,134.75,25.0
9507924_07_05,9507924,7,134.85,25.0
9507924_07_06,9507924,7,134.95,25.0
9507924_07_07,9507924,7,135.05,83.9
9507924_08_01,9507924,8,0.1,170.0
9507924_08_02,9507924,8,134.55,25.0
9507924_08_03,9507924,8,134.65,25.0
9507924_08_04,9507924,8,134.75,25.0
9507924_08_05,9507924,8,134.85,25.0
9507924_08_06,9507924,8,134.95,25.0
9507924_08_07,9507924,8,135.05,83.9
9507924_09_01,9507924,9,0.1,170.0
9507924_09_02,9507924,9,134.55,25.0
9507924_09_03,9507924,9,134.65,25.0
9507924_09_04,9507924,9,134.75,25.0
9507924_09_05,9507924,9,134.85,25.0
9507924_09_06,9507924,9,134.95,25.0
9507924_09_07,9507924,9,135.05,83.9
9507924_10_01,9507924,10,0.1,170.0
9507924_10_02,9507924,10,134.55,25.0
9507924_10_03,9507924,10,134.65,25.0
9507924_10_04,9507924,10,134.75,25.0
9507924_10_05,9507924,10,134.85,25.0
9507924_10_06,9507924,10,134.95,25.0
9507924_10_07,9507924,10,135.05,83.9
9507924_11_01,9507924,11,0.1,170.0
9507924_11_02,9507924,11,134.55,25.0
9507924_11_03,9507924,11,134.65,25.0
9507924_11_04,9507924,11,134.75,25.0
9507924_11_05,9507924,11,134.85,25.0
9507924_11_06,9507924,11,134.95,25.0
9507924_11_07,9507924,11,135.05,83.9
9507924_12_01,9507924,12,0.1,170.0
9507924_12_02,9507924,12,134.55,25.0
9507924_12_03,9507924,12,134.65,25.0
9507924_12_04,9507924,12,134.75,25.0
9507924_12_05,9507924,12,134.85,25.0
9507924_12_06,9507924,12,134.95,25.0
9507924_12_07,9507924,12,135.05,83.9
9507924_13_01,9507924,13,0.1,170.0
9507924_13_02,9507924,13,134.55,25.0
9507924_13_03,9507924,13,134.65,25.0
9507924_13_04,9507924,13,134.75,25.0
9507924_13_05,9507924,13,134.85,25.0
9507924_13_06,9507924,13,134.95,25.0
9507924_13_07,9507924,13,135.05,83.9
9507924_14_01,9507924,14,0.1,170.0
9507924_14_02,9507924,14,134.55,25.0
9507924_14_03,9507924,14,134.65,25.0
9507924_14_04,9507924,14,134.75,25.0
9507924_14_05,9507924,14,134.85,25.0
9507924_14_06,9507924,14,134.95,25.0
9507924_14_07,9507924,14,135.05,83.9
9507924_15_01,9507924,15,0.1,170.0
9507924_15_02,9507924,15,134.55,25.0
9507924_15_03,9507924,15,134.65,25.0
9507924_15_04,9507924,15,134.75,25.0
9507924_15_05,9507924,15,134.85,25.0
9507924_15_06,9507924,15,134.95,25.0
9507924_15_07,9507924,15,135.05,83.9
9507924_16_01,9507924,16,0.1,170.0
9507924_16_02,9507924,16,134.55,25.0
9507924_16_03,9507924,16,134.65,25.0
9507924_16_04,9507924,16,134.75,25.0
9507924_16_05,9507924,16,134.85,25.0
9507924_16_06,9507924,16,134.95,25.0
9507924_16_07,9507924,16,135.05,83.9
9507924_17_01,9507924,17,0.1,170.0
9507924_17_02,9507924,17,134.55,25.0
9507924_17_03,9507924,17,134.65,25.0
9507924_17_04,9507924,17,134.75,25.0
9507924_17_05,9507924,17,134.85,25.0
9507924_17_06,9507924,17,134.95,25.0
9507924_17_07,9507924,17,135.05,83.9
9507924_18_01,9507924,18,0.1,170.0
9507924_18_02,9507924,18,134.55,25.0
9507924_18_03,9507924,18,134.65,25.0
9507924_18_04,9507924,18,134.75,25.0
9507924_18_05,9507924,18,134.85,25.0
9507924_18_06,9507924,18,134.95,25.0
9507924_18_07,9507924,18,135.05,83.9
9507924_19_01,9507924,19,0.1,170.0
9507924_19_02,9507924,19,134.55,25.0
9507924_19_03,9507924,19,134.65,25.0
9507924_19_04,9507924,19,134.75,25.0
9507924_19_05,9507924,19,134.85,25.0
9507924_19_06,9507924,19,134.95,25.0
9507924_19_07,9507924,19,135.05,83.9
9507924_20_01,9507924,20,0.1,170.0
9507924_20_02,9507924,20,134.55,25.0
9507924_20_03,9507924,20,134.65,25.0
9507924_20_04,9507924,20,134.75,25.0
9507924_20_05,9507924,20,134.85,25.0
9507924_20_06,9507924,20,134.95,25.0
9507924_20_07,9507924,20,135.05,83.9
9507924_21_01,9507924,21,0.1,170.0
9507924_21_02,9507924,21,134.55,25.0
9507924_21_03,9507924,21,134.65,25.0
9507924_21_04,9507924,21,134.75,25.0
9507924_21_05,9507924,21,134.85,25.0
9507924_21_06,9507924,21,134.95,25.0
9507924_21_07,9507924,21,135.05,83.9
9507924_22_01,9507924,22,0.1,170.0
9507924_22_02,9507924,22,134.55,25.0
9507924_22_03,9507924,22,134.65,25.0
9507924_22_04,9507924,22,134.75,25.0
9507924_22_05,9507924,22,134.85,25.0
9507924_22_06,9507924,22,134.95,25.0
9507924_22_07,9507924,22,135.05,83.9
9507924_23_01,9507924,23,0.1,170.0
9507924_23_02,9507924,23,134.55,25.0
9507924_23_03,9507924,23,134.65,25.0
9507924_23_04,9507924,23,134.75,25.0
9507924_23_05,9507924,23,134.85,25.0
9507924_23_06,9507924,23,134.95,25.0
9507924_23_07,9507924,23,135.05,83.9
9507924_24_01,9507924,24,0.1,170.0
9507924_24_02,9507924,24,134.55,25.0
9507924_24_03,9507924,24,134.65,25.0
9507924_24_04,9507924,24,134.75,25.0
9507924_24_05,9507924,24,134.85,25.0
9507924_24_06,9507924,24,134.95,25.0
9507924_24_07,9507924,24,135.05,83.9
