id,t,p,q
1,1,1500.0,393.7
2,1,1500.0,7.1
3,1,1500.0,218.8
4,1,800.0,0.1
5,1,701.0,0.4
6,1,700.05,0.1
7,1,501.0,38.7
8,1,501.0,2375.9
9,1,501.0,261.7
10,1,500.0,36.0
11,1,500.0,9.9
12,1,500.0,0.1
13,1,500.0,0.1
14,1,500.0,698.5
15,1,500.0,416.1
16,1,500.0,85.5
17,1,500.0,913.2
18,1,500.0,16.4
19,1,500.0,262.1
20,1,500.0,223.7
21,1,466.3,0.1
22,1,466.3,0.3
23,1,466.3,40.4
24,1,451.0,134.7
25,1,451.0,38.6
26,1,450.0,2.8
27,1,450.0,845.7
28,1,450.0,18.7
29,1,450.0,169.8
30,1,425.89,4.5
31,1,402.0,24.9
32,1,402.0,45.9
33,1,402.0,35.9
34,1,402.0,0.1
35,1,402.0,10.6
36,1,400.0,27.0
37,1,400.0,71.2
38,1,400.0,421.2
39,1,400.0,1138.3
40,1,400.0,4.3
41,1,400.0,20.2
42,1,400.0,8.0
43,1,400.0,80.2
44,1,400.0,2.3
45,1,400.0,78.3
46,1,400.0,36.7
47,1,400.0,0.9
48,1,400.0,1.1
49,1,400.0,59.7
50,1,400.0,37.9
51,1,400.0,18.6
52,1,400.0,69.6
53,1,400.0,48.0
54,1,400.0,5.7
55,1,400.0,1.5
56,1,400.0,3.1
57,1,400.0,3.8
58,1,400.0,24.8
59,1,400.0,10.5
60,1,400.0,1.9
61,1,400.0,0.8
62,1,350.0,0.1
63,1,350.0,1.4
64,1,350.0,0.6
65,1,350.0,0.8
66,1,350.0,58.2
67,1,350.0,56.3
68,1,350.0,463.2
69,1,350.0,478.9
70,1,320.0,410.1
71,1,301.0,0.8
72,1,301.0,0.2
73,1,301.0,0.4
74,1,301.0,0.6
75,1,301.0,0.8
76,1,301.0,0.2
77,1,301.0,43.1
78,1,301.0,0.8
79,1,301.0,1.4
80,1,301.0,0.1
81,1,301.0,33.7
82,1,301.0,6.2
83,1,300.3,0.1
84,1,300.3,0.1
85,1,300.03,0.8
86,1,300.03,3.2
87,1,300.03,2.1
88,1,300.03,1.2
89,1,300.03,5.4
90,1,300.03,6.5
91,1,300.03,2.5
92,1,300.03,4.3
93,1,300.03,1.0
94,1,300.03,0.2
95,1,300.03,25.9
96,1,300.03,34.4
97,1,300.03,4.2
98,1,300.0,16.8
99,1,300.0,27.3
100,1,300.0,3.8
101,1,300.0,2.0
102,1,300.0,5.9
103,1,300.0,96.6
104,1,300.0,69.3
105,1,300.0,50.0
106,1,300.0,228.9
107,1,300.0,5.6
108,1,300.0,137.6
109,1,300.0,2.0
110,1,300.0,35.7
111,1,300.0,0.1
112,1,300.0,0.5
113,1,300.0,0.4
114,1,300.0,0.4
115,1,300.0,614.6
116,1,300.0,0.1
117,1,300.0,0.5
118,1,300.0,1.1
119,1,300.0,48.1
120,1,300.0,13.5
121,1,300.0,3.7
122,1,300.0,0.5
123,1,300.0,1.1
124,1,300.0,0.1
125,1,300.0,7.3
126,1,300.0,14.4
127,1,300.0,0.4
128,1,300.0,2.1
129,1,300.0,11.6
130,1,300.0,9.9
131,1,300.0,4.2
132,1,300.0,0.7
133,1,300.0,0.3
134,1,300.0,0.9
135,1,300.0,0.9
136,1,300.0,22.5
137,1,300.0,0.8
138,1,300.0,0.3
139,1,300.0,6.0
140,1,300.0,0.1
141,1,300.0,0.1
142,1,300.0,69.3
143,1,300.0,2.4
144,1,300.0,95.8
145,1,300.0,53.2
146,1,300.0,132.8
147,1,300.0,140.4
148,1,300.0,9.7
149,1,300.0,3.0
150,1,300.0,14.5
151,1,299.0,88.1
152,1,290.0,0.2
153,1,281.0,4.2
154,1,281.0,2.9
155,1,281.0,0.7
156,1,280.0,6.5
157,1,280.0,888.9
158,1,280.0,819.6
159,1,280.0,9.2
160,1,280.0,16.0
161,1,280.0,1951.0
162,1,280.0,0.8
163,1,280.0,2.3
164,1,280.0,1.5
165,1,280.0,4.8
166,1,280.0,370.4
167,1,280.0,19.6
168,1,275.0,886.1
169,1,275.0,1.0
170,1,270.0,2.3
171,1,270.0,0.5
172,1,262.92,1.6
173,1,262.92,80.5
174,1,262.0,0.1
175,1,260.0,1.5
176,1,255.0,12.4
177,1,252.0,5.9
178,1,252.0,10.8
179,1,252.0,1.7
180,1,252.0,0.3
181,1,252.0,1.0
182,1,251.0,0.4
183,1,251.0,0.5
184,1,251.0,1.1
185,1,251.0,4.6
186,1,251.0,2.4
187,1,251.0,0.1
188,1,251.0,3.1
189,1,251.0,1.7
190,1,251.0,0.7
191,1,251.0,1.1
192,1,251.0,0.3
193,1,251.0,0.1
194,1,251.0,0.1
195,1,251.0,3.0
196,1,251.0,3.7
197,1,251.0,0.1
198,1,251.0,0.1
199,1,251.0,7.5
200,1,251.0,1.9
201,1,251.0,0.6
202,1,251.0,0.3
203,1,251.0,0.6
204,1,251.0,0.1
205,1,251.0,0.8
206,1,251.0,0.1
207,1,251.0,0.1
208,1,250.0,0.1
209,1,250.0,3.8
210,1,250.0,4.4
211,1,250.0,2.9
212,1,250.0,2.5
213,1,250.0,0.3
214,1,250.0,0.2
215,1,250.0,0.6
216,1,250.0,0.5
217,1,250.0,5.0
218,1,250.0,35.7
219,1,250.0,0.1
220,1,250.0,1.2
221,1,250.0,0.4
222,1,250.0,7.2
223,1,250.0,12.0
224,1,250.0,0.4
225,1,250.0,2.2
226,1,250.0,1.8
227,1,250.0,6.2
228,1,250.0,0.3
229,1,250.0,8.8
230,1,250.0,0.2
231,1,250.0,0.3
232,1,250.0,0.1
233,1,250.0,5.8
234,1,250.0,21.8
235,1,250.0,7.0
236,1,250.0,0.7
237,1,250.0,0.2
238,1,250.0,0.1
239,1,250.0,0.7
240,1,250.0,0.6
241,1,250.0,4.0
242,1,250.0,408.0
243,1,250.0,0.3
244,1,250.0,4.0
245,1,250.0,2.3
246,1,250.0,0.2
