id,block_type,code_prm,p,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,MAR
bDE0 0,normal,,1000000.0,-1114.7156966917971,-1092.4170058789769,-1099.736422849022,-1127.5064403156275,-1190.51179187311,-1364.3297243278666,-1499.09454831861,-1553.248513301779,-1569.005930435611,-1590.866915647212,-1603.609025315351,-1582.89093806249,-1554.780485118894,-1513.5388486487836,-1484.1395936665276,-1458.6796913080943,-1472.4917480014367,-1534.8648603477827,-1511.2287335406113,-1412.453069953956,-1345.9460691610234,-1309.178763253031,-1224.823083018704,-1153.3554121067425,1
bDE0 1,normal,,1000000.0,-1167.4300909568128,-1144.0769052780918,-1151.7424541211285,-1180.8257029828112,-1246.8105487312016,-1428.8482515264516,-1569.9860422619772,-1626.7009234227946,-1643.203501589037,-1666.0982827693194,-1679.4429609621577,-1657.7451248611326,-1628.305341484822,-1585.113406932903,-1554.3238746603645,-1527.6599851912674,-1542.125207713623,-1607.4479159484265,-1582.6940475403171,-1479.2473281054772,-1409.5952417345925,-1371.089226785857,-1282.744405105363,-1207.8970607996953,1
bDE0 10,normal,,1000000.0,-1151.7760949889948,-1128.736050694312,-1136.2988126796092,-1164.9920861038431,-1230.0921452450664,-1409.6889160413714,-1548.9341991019664,-1604.888594022208,-1621.169890165592,-1643.7576766786506,-1656.9234169288738,-1635.5165257345006,-1606.4714985443088,-1563.858721900478,-1533.48204451131,-1507.175689443175,-1521.4469487151464,-1585.8937489026628,-1561.4718035443786,-1459.412194602459,-1390.6940686354096,-1352.7043783963195,-1265.5441668205992,-1191.70044580256,1
bDE0 11,normal,,1000000.0,-961.1686380908052,-941.9414913453404,-948.2526916465432,-972.1975144810558,-1026.524163086311,-1176.3994594592928,-1292.6010368858497,-1339.29553748772,-1352.882441494995,-1371.7321746112652,-1382.7191161538271,-1364.8548519582323,-1340.616487097939,-1305.05570000554,-1279.7060597734692,-1257.753144112189,-1269.6626523038938,-1323.4441497972389,-1303.063792832308,-1217.894031315663,-1160.5480698607744,-1128.845294479812,-1056.1092286590138,-994.4859070158049,1
bDE0 12,normal,,1000000.0,-1698.728800608552,-1664.7475546172918,-1675.9017031123556,-1718.2207703004517,-1814.23539142833,-2079.1186516169273,-2284.488405089874,-2367.01429062021,-2391.027210136713,-2424.341431241551,-2443.7592870571807,-2412.186742044669,-2369.3488810948734,-2306.5002499471098,-2261.6983679039968,-2222.8997132108702,-2243.9480743044223,-2338.999218412987,-2302.9798374521392,-2152.4544030011475,-2051.10357603752,-1995.0734316230737,-1866.522785091183,-1757.6123326315458,1
bDE0 13,normal,,1000000.0,-808.997540473436,-792.8144131730076,-798.1264316042893,-818.2803380183298,-864.0060549862861,-990.1532692610976,-1087.9579484940218,-1127.2598302278907,-1138.6956714413195,-1154.5611367980891,-1163.808638571465,-1148.7726238453602,-1128.3716486366552,-1098.4408038764743,-1077.1044891165932,-1058.6271334555995,-1068.651142202364,-1113.91801574655,-1096.7642531234274,-1025.0784689029426,-976.811453173798,-950.1278242111172,-888.9072474873262,-837.040058245505,1
bDE0 14,normal,,1000000.0,-445.7485378767518,-436.83181690845583,-439.75867926644594,-450.8632548270912,-476.05761013984625,-545.5633051600264,-599.452582425403,-621.1074768375972,-627.4084966123835,-636.1501894256592,-641.2454588032184,-632.9607839502734,-621.7200762650334,-605.2285177351287,-593.4724484863526,-583.291633517624,-588.8147494963438,-613.756287247824,-604.3047571432119,-564.8066970080357,-538.2121146853879,-523.5097355058417,-489.77788689400114,-461.1996494931944,1
bDE0 15,normal,,1000000.0,-1668.650036964129,-1635.270484348614,-1646.2271304547637,-1687.7968695457864,-1782.1113952291894,-2042.3044653334584,-2244.037812411097,-2325.1024425576875,-2348.6901741746915,-2381.4145126671597,-2400.4885436795894,-2369.4750420639657,-2327.395695300825,-2265.6599016589616,-2221.65130999882,-2183.5396487585735,-2204.2153142940065,-2297.583422889928,-2262.2018238081846,-2114.3416876459505,-2014.7854423532249,-1959.7474030177063,-1833.472955318723,-1726.490940027377,1
bDE0 16,normal,,1000000.0,-2250.261387514797,-2205.247324218536,-2220.022931519746,-2276.0818873783287,-2403.2699320406236,-2754.1538238001,-3026.2017376507683,-3135.5216088467205,-3167.3308921002513,-3211.4613650636174,-3237.1836882234934,-3195.36036779602,-3138.614179478897,-3055.360249905614,-2996.0123744745897,-2944.616816506664,-2972.49902714695,-3098.410779128775,-3050.696852014957,-2851.2997658746544,-2717.0429896151104,-2642.8213301792207,-2472.5336679419365,-2328.262854508449,1
bDE0 17,normal,,1000000.0,-1886.682966734003,-1848.9418994270015,-1861.33018763788,-1908.3316061122416,-2014.9696699247183,-2309.160676159361,-2537.2533626558543,-2628.910243076641,-2655.580048296351,-2692.580288408835,-2714.1466136543486,-2679.0807556608834,-2631.503142002749,-2561.700686292011,-2511.94174437139,-2468.8502509467235,-2492.227487112169,-2597.795470944529,-2557.790761242316,-2390.6105891411635,-2278.0459002819525,-2215.816356017729,-2073.042350486372,-1952.0816088534043,1
bDE0 18,normal,,1000000.0,-619.6324985153917,-607.2374155870939,-611.3060302466747,-626.7424373572193,-661.7649668876322,-758.3844368505629,-833.2956136189467,-863.3979587519889,-872.1569703795833,-884.3087476685125,-891.3916525504101,-879.8751733198324,-864.2495297198252,-841.3247083284355,-824.982663560241,-810.8303707764105,-818.5080227767647,-853.1791120581363,-840.0405940017214,-785.1345660321186,-748.165588926664,-727.727895538959,-680.8374452988801,-641.1110005904421,1
bDE0 19,normal,,1000000.0,-464.94084780986776,-455.6402052852033,-458.69308768528634,-470.27578585930183,-496.55491842793015,-569.0532757399444,-625.2628291777909,-647.8501045398081,-654.4224232962767,-663.5405015905047,-668.8551547254457,-660.2137719218023,-648.4890802693005,-631.2874552429498,-619.0252124334205,-608.4060486207848,-614.1669698745708,-640.1823994777553,-630.32392088157,-589.1252180129773,-561.3855697549271,-546.0501596308217,-510.86594037014146,-481.0572280649165,1
bDE0 2,normal,,1000000.0,-641.2668138027968,-628.4389596226251,-632.6496289558055,-648.624994399127,-684.8703268778017,-784.8632417150543,-862.3899236750489,-893.5432847361757,-902.608115086338,-915.184168670976,-922.514371423358,-910.595797171502,-894.4245880935364,-870.6993522386103,-853.7867290230248,-839.140312440235,-847.0860277594768,-882.9676495398185,-869.3704033780787,-812.5473450346342,-774.2876052457041,-753.13633485299,-704.608716151133,-663.495232460509,1
bDE0 20,normal,,1000000.0,-1321.9061257954352,-1295.462812877024,-1304.1426782083088,-1337.0742645414846,-1411.7903203294372,-1617.915514732767,-1777.72886167298,-1841.948337777796,-1860.63456090872,-1886.5588125837448,-1901.6692778583067,-1877.1003527632356,-1843.7650547537933,-1794.857901073745,-1759.994253445743,-1729.8021596323622,-1746.1814412796462,-1820.147744562409,-1792.11840855395,-1674.983469876568,-1596.1149188932343,-1552.5137324624602,-1452.4789964501,-1367.7277435026183,1
bDE0 21,normal,,1000000.0,-1553.9982524568943,-1522.9121857063872,-1533.1160082722752,-1571.8295194768584,-1659.663759639021,-1901.979144702666,-2089.8515336856112,-2165.346269426041,-2187.313304394581,-2217.7891763291327,-2235.5526439251016,-2206.670058454434,-2167.4819543667622,-2109.9879842062846,-2069.003192297867,-2033.510156817926,-2052.7652117417865,-2139.7180624768903,-2106.767508481642,-1969.0667395282,-1876.3509346686387,-1825.0945207703376,-1707.4963026255714,-1607.8649472638824,1
bDE0 22,normal,,1000000.0,-1710.9314139151293,-1676.7060677447475,-1687.940340719246,-1730.5634018186754,-1827.2677323886855,-2094.053749506058,-2300.898751815428,-2384.01745208379,-2408.202865509337,-2441.756395300533,-2461.3137369397245,-2429.5143943608473,-2386.368812807348,-2323.068716103418,-2277.9450051481303,-2238.867645001923,-2260.0672044569023,-2355.80113698672,-2319.5230151501955,-2167.916299408893,-2065.8374310125796,-2009.4048008184395,-1879.9307262329496,-1770.2379286833057,1
bDE0 23,normal,,1000000.0,-481.4933947207765,-471.8616362650935,-475.0232055645508,-487.01826405447184,-514.2329706357283,-589.3123712482479,-647.523063700883,-670.914477775987,-677.7207803070421,-687.1634749893838,-692.6673372371521,-683.7183090740909,-671.5762019385054,-653.7621749119137,-641.063379043444,-630.0661580908704,-636.032176229029,-662.9737916490601,-652.764337374566,-610.0989028451322,-581.3716841654976,-565.4903119116439,-529.0534850502775,-498.1835407386365,1
bDE0 24,normal,,1000000.0,-1652.9154134816513,-1619.8506151170484,-1630.703944951186,-1671.8816999962005,-1765.3068818881052,-2023.0464477223663,-2222.877539569842,-2303.177766513335,-2326.543076371686,-2358.958838989354,-2377.8530104209094,-2347.131952253573,-2305.4493949088483,-2244.295742187386,-2200.7021318621128,-2162.949846540497,-2183.430549797895,-2275.9182388921326,-2240.870272463988,-2094.404391249792,-1995.7869168199245,-1941.2678615775203,-1816.184125439372,-1710.2109027005188,1
bDE0 25,normal,,1000000.0,-1755.3433245504366,-1720.2295657860614,-1731.7554550833054,-1775.4849144668246,-1874.6994707842805,-2148.4106496320414,-2360.6248804699258,-2445.9011542438175,-2470.714366312254,-2505.1388698633946,-2525.2038758672006,-2492.5790942617277,-2448.3135509747085,-2383.3703268986596,-2337.075306443657,-2296.983586392335,-2318.733438472936,-2416.9524074114024,-2379.7325875664624,-2224.1905043075294,-2119.461899315056,-2061.564405650228,-1928.7294768637385,-1816.1893023342277,1
bDE0 26,normal,,1000000.0,-1197.1605235725942,-1173.2126125064058,-1181.073376536293,-1210.897275803707,-1278.562528820491,-1465.236106344694,-1609.9681915990147,-1668.127405885837,-1685.0502480078906,-1708.5280805883433,-1722.2126018765962,-1699.9621964533424,-1669.7726829624216,-1625.4807982638615,-1593.9071624106537,-1566.5642353055764,-1581.397837336739,-1648.3840904728595,-1622.9998261015244,-1516.9186742108957,-1445.4927885552063,-1406.0061577292522,-1315.4114970320402,-1238.6580480751502,1
bDE0 27,normal,,1000000.0,-1130.5490199208743,-1107.93360047467,-1115.3569817964142,-1143.521442136598,-1207.4217161387287,-1383.7085431427713,-1520.3875547819778,-1575.3107178972436,-1591.291951991289,-1613.4634487046012,-1626.3865461722255,-1605.3741810392416,-1576.8644497066423,-1535.037020677348,-1505.2201812758456,-1479.398648714645,-1493.4068906404495,-1556.6659451615706,-1532.694092898364,-1432.5154285166402,-1365.0637681628205,-1327.7742226914747,-1242.2203618310718,-1169.737570438312,1
bDE0 28,normal,,1000000.0,-1464.7160520899524,-1435.415979909163,-1445.03356003276,-1481.522855438638,-1564.3107358530735,-1792.704322274384,-1969.782837937284,-2040.9401581675163,-2061.6451162872386,-2090.3700513078547,-2107.1129505276317,-2079.889762536357,-2042.953141135763,-1988.7623845764865,-1950.1323008521867,-1916.678454477086,-1934.8272445328423,-2016.784374179113,-1985.7269355457092,-1855.9375188894437,-1768.5485353783404,-1720.236967401535,-1609.3951453200182,-1515.487931937362,1
bDE0 29,normal,,1000000.0,-2007.673379583396,-1967.512028956216,-1980.694761242522,-2030.7103167637472,-2144.1869345853625,-2457.2440099627847,-2699.963970248106,-2797.498681760884,-2825.8787853195513,-2865.251800511722,-2888.201144865961,-2850.8865610874254,-2800.257859768893,-2725.9790675017466,-2673.029152305766,-2627.174260010343,-2652.050646539049,-2764.388561606684,-2721.8184042759435,-2543.9171950957502,-2424.133885823107,-2357.9136455147086,-2205.9837371751,-2077.265947682589,1
