id,step_orders,fixed_term,condition,load_gradient,MAP1,MAP2,MAP3,MAP4,MAP5,MAP6,MAP7,MAP8,MAP9,MAP10,MAP11,MAP12,MAP13,MAP14,MAP15,MAP16,MAP17,MAP18,MAP19,MAP20,MAP21,MAP22,MAP23,MAP24
s5MAP,"['s5t22l1', 's5t23l1']",0,MIC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s6MAP,"['s6t1l1', 's6t2l1', 's6t3l1', 's6t4l1', 's6t5l1', 's6t6l1', 's6t7l1', 's6t8l1', 's6t9l1', 's6t10l1', 's6t11l1', 's6t12l1', 's6t13l1', 's6t14l1', 's6t15l1', 's6t16l1', 's6t17l1', 's6t18l1', 's6t19l1', 's6t20l1', 's6t21l1', 's6t22l1', 's6t23l1', 's6t24l1']",0,MIC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s7MAP,"['s7t8l1', 's7t9l1', 's7t10l1', 's7t11l1', 's7t12l1', 's7t13l1', 's7t14l1', 's7t15l1', 's7t16l1']",0,MIC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s11MAP,"['s11t1l1', 's11t2l1', 's11t3l1', 's11t4l1', 's11t5l1', 's11t6l1', 's11t7l1', 's11t8l1', 's11t9l1', 's11t10l1', 's11t11l1', 's11t12l1', 's11t13l1', 's11t14l1', 's11t15l1', 's11t16l1', 's11t17l1', 's11t18l1', 's11t19l1', 's11t20l1', 's11t21l1', 's11t22l1', 's11t23l1']",0,MIC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s12MAP,"['s12t1l1', 's12t2l1', 's12t3l1', 's12t4l1', 's12t5l1', 's12t6l1', 's12t7l1', 's12t8l1', 's12t9l1', 's12t10l1', 's12t11l1', 's12t12l1', 's12t13l1', 's12t14l1', 's12t15l1', 's12t16l1', 's12t17l1', 's12t18l1', 's12t19l1', 's12t20l1', 's12t21l1', 's12t22l1', 's12t23l1', 's12t24l1']",0,MIC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s13MAP,"['s13t8l1', 's13t9l1', 's13t10l1', 's13t11l1', 's13t12l1', 's13t13l1', 's13t14l1', 's13t15l1', 's13t16l1']",0,MIC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s16MAP,"['s16t14l1', 's16t15l1', 's16t16l1', 's16t17l1', 's16t18l1', 's16t19l1', 's16t20l1', 's16t21l1', 's16t22l1', 's16t23l1', 's16t24l1']",0,MIC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s17MAP,"['s17t1l1', 's17t2l1', 's17t3l1', 's17t4l1', 's17t5l1', 's17t6l1', 's17t7l1', 's17t8l1', 's17t9l1', 's17t10l1', 's17t11l1', 's17t12l1', 's17t13l1', 's17t14l1', 's17t15l1', 's17t16l1', 's17t17l1', 's17t18l1', 's17t19l1', 's17t20l1', 's17t21l1', 's17t22l1', 's17t23l1', 's17t24l1']",0,MIC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s18MAP,"['s18t8l1', 's18t9l1', 's18t10l1', 's18t11l1', 's18t12l1', 's18t13l1', 's18t14l1', 's18t15l1', 's18t16l1', 's18t17l1']",0,MIC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s23MAP,"['s23t1l1', 's23t2l1', 's23t3l1', 's23t4l1', 's23t5l1', 's23t6l1', 's23t7l1', 's23t8l1', 's23t9l1', 's23t10l1', 's23t11l1', 's23t12l1', 's23t13l1', 's23t14l1', 's23t15l1', 's23t16l1', 's23t17l1', 's23t18l1', 's23t19l1', 's23t20l1', 's23t21l1', 's23t22l1', 's23t23l1', 's23t24l1']",0,MIC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s24MAP,"['s24t1l1', 's24t2l1', 's24t3l1', 's24t4l1', 's24t5l1', 's24t6l1', 's24t7l1', 's24t8l1', 's24t9l1', 's24t10l1', 's24t11l1', 's24t12l1', 's24t13l1', 's24t14l1', 's24t15l1', 's24t16l1', 's24t17l1', 's24t18l1', 's24t19l1', 's24t20l1', 's24t21l1', 's24t22l1', 's24t23l1', 's24t24l1']",0,MIC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
