id,scalable_order_id,t,p,q
1,1,1,1,50
2,1,1,4,70
3,1,1,10,100
4,2,5,5,100
5,2,5,7,120
6,2,5,10,150
7,3,10,2,60
8,3,10,5,80
9,3,10,8,120
10,3,10,15,200
11,4,12,5,60
12,4,13,8,80
13,4,14,15,120
14,5,19,15,-120
15,5,20,10,-70
16,5,21,8,-50
17,6,8,10,-100
18,6,8,8,-80
19,6,8,6,-50
20,7,13,15,-120
21,7,13,10,-70
22,7,13,8,-50
23,8,16,25,-80
24,8,16,20,-50
25,8,16,15,-30
26,9,12,2,50
27,9,13,3,70
28,9,14,5,100
29,10,16,7,60
30,10,17,9,80
31,10,18,10,120
32,11,4,3575,38
33,11,22,3408,29
34,11,5,1467,14
35,11,15,3030,279
36,11,9,2225,80
37,12,23,1952,132
38,12,8,-148,65
39,12,13,2306,224
40,12,3,1513,39
41,12,23,914,31
42,12,24,3629,168
43,13,24,2302,-73
44,13,23,484,-11
45,13,21,3211,-138
46,13,17,13,-186
47,13,23,3908,-246
48,14,15,-235,234
49,14,8,-315,160
50,14,11,3938,69
51,14,17,2734,226
52,14,1,730,145
53,15,5,673,183
54,15,19,1982,65
55,15,20,1654,299
56,15,18,2286,153
57,15,16,716,158
58,15,17,3806,85
59,16,11,3230,-110
60,16,8,2393,-128
61,16,7,1098,-208
62,16,16,481,-180
63,16,18,3801,-221
64,16,6,-137,-164
65,17,4,3913,257
66,17,7,2117,220
67,17,7,2866,85
68,17,2,274,220
69,17,7,860,193
70,18,1,1564,-243
71,18,8,652,-234
72,18,3,983,-40
73,18,19,3760,-147
74,19,9,3605,-108
75,19,13,1729,-124
76,19,20,279,-42
77,19,18,302,-265
78,19,21,2013,-129
79,20,15,2263,74
80,20,22,590,77
81,20,6,2726,87
82,20,22,3538,299
83,20,14,784,173
84,21,7,816,-86
85,21,1,1011,-240
86,21,24,2565,-134
87,21,20,3510,-42
88,21,8,899,-240
89,22,17,2586,-187
90,22,9,2765,-252
91,22,2,3504,-213
92,23,5,-186,-214
93,23,13,2962,-173
94,23,18,540,-218
95,23,24,764,-232
96,23,13,1873,-264
97,23,5,-245,-217
98,24,14,3689,-297
99,24,17,1172,-242
100,24,23,3294,-198
101,24,3,63,-256
102,24,9,-153,-171
103,24,24,-227,-57
104,25,22,3966,176
105,25,19,518,213
106,25,12,711,52
107,25,9,3845,122
108,25,24,3683,186
109,25,11,-460,131
110,26,16,791,-102
111,26,18,2815,-18
112,26,1,1124,-10
