period,generator,seller,carrier,node,min_prod,max_prod,size1,cost1,no_load_cost,min_uptime
1,DE0 0 onwind,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
2,DE0 0 onwind,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
3,DE0 0 onwind,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
4,DE0 0 onwind,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
5,DE0 0 onwind,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
6,DE0 0 onwind,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
7,DE0 0 onwind,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
8,DE0 0 onwind,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
9,DE0 0 onwind,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
10,DE0 0 onwind,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
11,DE0 0 onwind,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
12,DE0 0 onwind,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
13,DE0 0 onwind,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
14,DE0 0 onwind,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
15,DE0 0 onwind,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
16,DE0 0 onwind,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
17,DE0 0 onwind,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
18,DE0 0 onwind,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
19,DE0 0 onwind,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
20,DE0 0 onwind,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
21,DE0 0 onwind,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
22,DE0 0 onwind,5,onwind,DE0 0,0.0,0.6639220984176796,0.6639220984176796,0.024961863802968727,0.0,0
23,DE0 0 onwind,5,onwind,DE0 0,0.0,0.6539036283970061,0.6539036283970061,0.024961863802968727,0.0,0
24,DE0 0 onwind,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
1,DE0 0 ror,6,ror,DE0 0,0.0,339.3736455241104,339.3736455241104,0.0097842350363883,0.0,0
2,DE0 0 ror,6,ror,DE0 0,0.0,339.28331238616454,339.28331238616454,0.0097842350363883,0.0,0
3,DE0 0 ror,6,ror,DE0 0,0.0,339.19325390362275,339.19325390362275,0.0097842350363883,0.0,0
4,DE0 0 ror,6,ror,DE0 0,0.0,339.1036386939735,339.1036386939735,0.0097842350363883,0.0,0
5,DE0 0 ror,6,ror,DE0 0,0.0,339.0128925386401,339.0128925386401,0.0097842350363883,0.0,0
6,DE0 0 ror,6,ror,DE0 0,0.0,338.92152932044934,338.92152932044934,0.0097842350363883,0.0,0
7,DE0 0 ror,6,ror,DE0 0,0.0,338.83079802818946,338.83079802818946,0.0097842350363883,0.0,0
8,DE0 0 ror,6,ror,DE0 0,0.0,338.73975424045176,338.73975424045176,0.0097842350363883,0.0,0
9,DE0 0 ror,6,ror,DE0 0,0.0,338.6504147411582,338.6504147411582,0.0097842350363883,0.0,0
10,DE0 0 ror,6,ror,DE0 0,0.0,338.57156914767705,338.57156914767705,0.0097842350363883,0.0,0
11,DE0 0 ror,6,ror,DE0 0,0.0,338.52067493118636,338.52067493118636,0.0097842350363883,0.0,0
12,DE0 0 ror,6,ror,DE0 0,0.0,338.52507425338166,338.52507425338166,0.0097842350363883,0.0,0
13,DE0 0 ror,6,ror,DE0 0,0.0,338.65717653669594,338.65717653669594,0.0097842350363883,0.0,0
14,DE0 0 ror,6,ror,DE0 0,0.0,338.8355315131853,338.8355315131853,0.0097842350363883,0.0,0
15,DE0 0 ror,6,ror,DE0 0,0.0,339.0180111530092,339.0180111530092,0.0097842350363883,0.0,0
16,DE0 0 ror,6,ror,DE0 0,0.0,339.1301428265807,339.1301428265807,0.0097842350363883,0.0,0
17,DE0 0 ror,6,ror,DE0 0,0.0,339.1376030927392,339.1376030927392,0.0097842350363883,0.0,0
18,DE0 0 ror,6,ror,DE0 0,0.0,339.0498868431933,339.0498868431933,0.0097842350363883,0.0,0
19,DE0 0 ror,6,ror,DE0 0,0.0,338.9553820374161,338.9553820374161,0.0097842350363883,0.0,0
20,DE0 0 ror,6,ror,DE0 0,0.0,338.86042768207494,338.86042768207494,0.0097842350363883,0.0,0
21,DE0 0 ror,6,ror,DE0 0,0.0,338.7665387489533,338.7665387489533,0.0097842350363883,0.0,0
22,DE0 0 ror,6,ror,DE0 0,0.0,338.6725884897868,338.6725884897868,0.0097842350363883,0.0,0
23,DE0 0 ror,6,ror,DE0 0,0.0,338.57649926387296,338.57649926387296,0.0097842350363883,0.0,0
