id,block_type,code_prm,p,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,MAR
b1,normal,,1000000.0,-35.818200000000004,-33.6798,-32.076,-31.5414,-31.5414,-32.076,-39.560399999999994,-45.9756,-50.78699999999999,-51.3216,-51.3216,-50.78699999999999,-50.78699999999999,-50.78699999999999,-49.717800000000004,-50.2524,-52.925399999999996,-53.46,-53.46,-51.3216,-48.6486,-44.3718,-39.0258,-33.6798,1
b2,normal,,1000000.0,-32.17041884222475,-30.249796821793417,-28.809330306469917,-28.329174801362086,-28.329174801362086,-28.809330306469917,-35.531507377979565,-41.29337343927355,-45.61477298524404,-46.09492849035187,-46.09492849035187,-45.61477298524404,-45.61477298524404,-45.61477298524404,-44.654461975028376,-45.13461748013621,-47.53539500567536,-48.0155505107832,-48.0155505107832,-46.09492849035187,-43.694150964812714,-39.85290692395005,-35.051351872871734,-30.249796821793417,1
b3,normal,,1000000.0,-59.697,-56.132999999999996,-53.46,-52.568999999999996,-52.568999999999996,-53.46,-65.93400000000001,-76.626,-84.645,-85.536,-85.536,-84.645,-84.645,-84.645,-82.86300000000001,-83.75399999999999,-88.209,-89.10000000000001,-89.10000000000001,-85.536,-81.081,-73.953,-65.04299999999999,-56.132999999999996,1
b4,normal,,1000000.0,-24.544126613066688,-23.07880562124181,-21.97981487737315,-21.613484629416934,-21.613484629416934,-21.97981487737315,-27.10843834876022,-31.504401324234852,-34.80137355584082,-35.167703803797046,-35.167703803797046,-34.80137355584082,-34.80137355584082,-34.80137355584082,-34.06871305992839,-34.435043307884605,-36.2666945476657,-36.63302479562192,-36.63302479562192,-35.167703803797046,-33.33605256401595,-30.40541058036619,-26.742108100804003,-23.07880562124181,1
b5,normal,,1000000.0,-23.549176607281176,-22.143255615801703,-21.088814872192096,-20.73733462432223,-20.73733462432223,-21.088814872192096,-26.009538342370256,-30.227301316808674,-33.39062354763749,-33.742103795507354,-33.742103795507354,-33.39062354763749,-33.39062354763749,-33.39062354763749,-32.68766305189775,-33.039143299767616,-34.79654453911696,-35.14802478698683,-35.14802478698683,-33.742103795507354,-31.984702556158016,-29.172860573199067,-25.658058094500383,-22.143255615801703,1
b6,normal,,1000000.0,-45.10845320197045,-42.41541121976325,-40.39562973310786,-39.72236923755606,-39.72236923755606,-40.39562973310786,-49.82127667083303,-57.9004026174546,-63.95974707742077,-64.63300757297257,-64.63300757297257,-63.95974707742077,-63.95974707742077,-63.95974707742077,-62.61322608631719,-63.28648658186898,-66.65278905962796,-67.32604955517976,-67.32604955517976,-64.63300757297257,-61.26670509521359,-55.880621130799206,-49.14801617528123,-42.41541121976325,1
b7,normal,,1000000.0,-41.45827666893324,-38.98315567377305,-37.1268149274029,-36.50803467861285,-36.50803467861285,-37.1268149274029,-45.78973841046358,-53.21510139594416,-58.78412363505459,-59.402903883844644,-59.402903883844644,-58.78412363505459,-58.78412363505459,-58.78412363505459,-57.54656313747449,-58.165343386264546,-61.25924463021479,-61.87802487900483,-61.87802487900483,-59.402903883844644,-56.3090026398944,-51.35876064957401,-45.17095816167353,-38.98315567377305,1
b8,normal,,1000000.0,-56.71215,-53.32635,-50.787,-49.940549999999995,-49.940549999999995,-50.787,-62.637299999999996,-72.79469999999999,-80.41275,-81.25919999999999,-81.25919999999999,-80.41275,-80.41275,-80.41275,-78.71985,-79.5663,-83.79855,-84.645,-84.645,-81.25919999999999,-77.02695,-70.25534999999999,-61.79085,-53.32635,1
b9,normal,,1000000.0,-58.04280326838467,-54.57756128221245,-51.978629792583284,-51.112319296040226,-51.112319296040226,-51.978629792583284,-64.10697674418604,-74.50270270270272,-82.2994971715902,-83.16580766813325,-83.16580766813325,-82.2994971715902,-82.2994971715902,-82.2994971715902,-80.56687617850409,-81.43318667504714,-85.76473915776242,-86.63104965430547,-86.63104965430547,-83.16580766813325,-78.83425518541799,-71.90377121307355,-63.240666247643,-54.57756128221245,1
b10,normal,,1000000.0,-64.67175,-60.81075,-57.915,-56.949749999999995,-56.949749999999995,-57.915,-71.4285,-83.0115,-91.69874999999999,-92.664,-92.664,-91.69874999999999,-91.69874999999999,-91.69874999999999,-89.76825000000001,-90.7335,-95.55975,-96.525,-96.525,-92.664,-87.83775,-80.11575,-70.46325,-60.81075,1
