id,scalable_order_id,t,p,q
s5t22l1,s5MAP,22,0.0249618638029687,0.6639220984176796
s5t23l1,s5MAP,23,0.0249618638029687,0.6539036283970061
s6t1l1,s6MAP,1,0.0097842350363883,339.3736455241104
s6t2l1,s6MAP,2,0.0097842350363883,339.28331238616454
s6t3l1,s6MAP,3,0.0097842350363883,339.19325390362275
s6t4l1,s6MAP,4,0.0097842350363883,339.1036386939735
s6t5l1,s6MAP,5,0.0097842350363883,339.0128925386401
s6t6l1,s6MAP,6,0.0097842350363883,338.92152932044934
s6t7l1,s6MAP,7,0.0097842350363883,338.83079802818946
s6t8l1,s6MAP,8,0.0097842350363883,338.73975424045176
s6t9l1,s6MAP,9,0.0097842350363883,338.6504147411582
s6t10l1,s6MAP,10,0.0097842350363883,338.57156914767705
s6t11l1,s6MAP,11,0.0097842350363883,338.52067493118636
s6t12l1,s6MAP,12,0.0097842350363883,338.52507425338166
s6t13l1,s6MAP,13,0.0097842350363883,338.65717653669594
s6t14l1,s6MAP,14,0.0097842350363883,338.8355315131853
s6t15l1,s6MAP,15,0.0097842350363883,339.0180111530092
s6t16l1,s6MAP,16,0.0097842350363883,339.1301428265807
s6t17l1,s6MAP,17,0.0097842350363883,339.1376030927392
s6t18l1,s6MAP,18,0.0097842350363883,339.0498868431933
s6t19l1,s6MAP,19,0.0097842350363883,338.9553820374161
s6t20l1,s6MAP,20,0.0097842350363883,338.86042768207494
s6t21l1,s6MAP,21,0.0097842350363883,338.7665387489533
s6t22l1,s6MAP,22,0.0097842350363883,338.6725884897868
s6t23l1,s6MAP,23,0.0097842350363883,338.57649926387296
s6t24l1,s6MAP,24,0.0097842350363883,338.48014556435066
s7t8l1,s7MAP,8,0.0196863560323017,73.38040212460001
s7t9l1,s7MAP,9,0.0196863560323017,121.28211560829962
s7t10l1,s7MAP,10,0.0196863560323017,134.95213866762273
s7t11l1,s7MAP,11,0.0196863560323017,148.69322984800036
s7t12l1,s7MAP,12,0.0196863560323017,136.26420209547828
s7t13l1,s7MAP,13,0.0196863560323017,103.0386129437367
s7t14l1,s7MAP,14,0.0196863560323017,103.73573043908088
s7t15l1,s7MAP,15,0.0196863560323017,80.06820599468973
s7t16l1,s7MAP,16,0.0196863560323017,59.404910852154714
s11t1l1,s11MAP,1,0.0250636551741937,31.91632361224953
s11t2l1,s11MAP,2,0.0250636551741937,50.90410044516075
s11t3l1,s11MAP,3,0.0250636551741937,62.709180146036296
s11t4l1,s11MAP,4,0.0250636551741937,65.40363564626398
s11t5l1,s11MAP,5,0.0250636551741937,71.1241754308867
s11t6l1,s11MAP,6,0.0250636551741937,79.64413129267739
s11t7l1,s11MAP,7,0.0250636551741937,107.9673622576924
s11t8l1,s11MAP,8,0.0250636551741937,113.6565011214512
s11t9l1,s11MAP,9,0.0250636551741937,103.87597954658617
s11t10l1,s11MAP,10,0.0250636551741937,163.96610674884408
s11t11l1,s11MAP,11,0.0250636551741937,111.10769354502932
s11t12l1,s11MAP,12,0.0250636551741937,91.86154934193613
s11t13l1,s11MAP,13,0.0250636551741937,97.57006409412352
s11t14l1,s11MAP,14,0.0250636551741937,88.18754556755087
s11t15l1,s11MAP,15,0.0250636551741937,78.63403526731521
s11t16l1,s11MAP,16,0.0250636551741937,105.10326130521102
s11t17l1,s11MAP,17,0.0250636551741937,90.73864632243613
s11t18l1,s11MAP,18,0.0250636551741937,40.171401389461415
s11t19l1,s11MAP,19,0.0250636551741937,60.78687041483079
s11t20l1,s11MAP,20,0.0250636551741937,63.937333409028305
s11t21l1,s11MAP,21,0.0250636551741937,36.13216808768145
s11t22l1,s11MAP,22,0.0250636551741937,18.470815429627745
s11t23l1,s11MAP,23,0.0250636551741937,17.245834380559486
s12t1l1,s12MAP,1,0.0102688019171026,0.7114359198843766
s12t2l1,s12MAP,2,0.0102688019171026,0.7112465526782363
s12t3l1,s12MAP,3,0.0102688019171026,0.7110577612378416
s12t4l1,s12MAP,4,0.0102688019171026,0.710869899039485
s12t5l1,s12MAP,5,0.0102688019171026,0.7106796660165409
s12t6l1,s12MAP,6,0.0102688019171026,0.7104881394320982
s12t7l1,s12MAP,7,0.0102688019171026,0.7102979375669193
s12t8l1,s12MAP,8,0.0102688019171026,0.7101070806110737
s12t9l1,s12MAP,9,0.0102688019171026,0.7099197963899796
s12t10l1,s12MAP,10,0.0102688019171026,0.7097545107584435
s12t11l1,s12MAP,11,0.0102688019171026,0.7096478201706405
s12t12l1,s12MAP,12,0.0102688019171026,0.7096570425598101
s12t13l1,s12MAP,13,0.0102688019171026,0.7099339712803752
s12t14l1,s12MAP,14,0.0102688019171026,0.7103078604684077
s12t15l1,s12MAP,15,0.0102688019171026,0.7106903962726178
s12t16l1,s12MAP,16,0.0102688019171026,0.710925460195193
s12t17l1,s12MAP,17,0.0102688019171026,0.7109410993038482
s12t18l1,s12MAP,18,0.0102688019171026,0.7107572179344268
s12t19l1,s12MAP,19,0.0102688019171026,0.71055910557562
s12t20l1,s12MAP,20,0.0102688019171026,0.7103600508168604
s12t21l1,s12MAP,21,0.0102688019171026,0.7101632295245082
s12t22l1,s12MAP,22,0.0102688019171026,0.7099662796731129
s12t23l1,s12MAP,23,0.0102688019171026,0.7097648458619416
s12t24l1,s12MAP,24,0.0102688019171026,0.7095628576293312
s13t8l1,s13MAP,8,0.0206988635881555,42.30163370702876
s13t9l1,s13MAP,9,0.0206988635881555,76.29571876952252
s13t10l1,s13MAP,10,0.0206988635881555,70.23601241766474
s13t11l1,s13MAP,11,0.0206988635881555,80.24187695555378
s13t12l1,s13MAP,12,0.0206988635881555,83.27602455519785
s13t13l1,s13MAP,13,0.0206988635881555,56.45531197188811
s13t14l1,s13MAP,14,0.0206988635881555,81.29341498129085
s13t15l1,s13MAP,15,0.0206988635881555,63.76428188536307
s13t16l1,s13MAP,16,0.0206988635881555,57.72852043774424
s16t14l1,s16MAP,14,0.0241842098798901,2.576502236896435
s16t15l1,s16MAP,15,0.0241842098798901,10.646872180299624
s16t16l1,s16MAP,16,0.0241842098798901,11.89730373277508
s16t17l1,s16MAP,17,0.0241842098798901,11.222284940639774
s16t18l1,s16MAP,18,0.0241842098798901,17.678377943957937
s16t19l1,s16MAP,19,0.0241842098798901,19.81727501562385
s16t20l1,s16MAP,20,0.0241842098798901,21.09172118416774
s16t21l1,s16MAP,21,0.0241842098798901,25.02828817412395
s16t22l1,s16MAP,22,0.0241842098798901,27.2419267311202
s16t23l1,s16MAP,23,0.0241842098798901,14.723915345308466
s16t24l1,s16MAP,24,0.0241842098798901,23.09882860074002
s17t1l1,s17MAP,1,0.009867402345359,355.94971262951503
s17t2l1,s17MAP,2,0.009867402345359,355.8549673394289
s17t3l1,s17MAP,3,0.009867402345359,355.76051011977336
s17t4l1,s17MAP,4,0.009867402345359,355.66651782384054
s17t5l1,s17MAP,5,0.009867402345359,355.5713393433098
s17t6l1,s17MAP,6,0.009867402345359,355.4755136606477
s17t7l1,s17MAP,7,0.009867402345359,355.38035076914923
s17t8l1,s17MAP,8,0.009867402345359,355.2848601189196
s17t9l1,s17MAP,9,0.009867402345359,355.191156999896
s17t10l1,s17MAP,10,0.009867402345359,355.1084603417675
s17t11l1,s17MAP,11,0.009867402345359,355.05508029304167
s17t12l1,s17MAP,12,0.009867402345359,355.05969449185125
s17t13l1,s17MAP,13,0.009867402345359,355.1982490626129
s17t14l1,s17MAP,14,0.009867402345359,355.38531545231257
s17t15l1,s17MAP,15,0.009867402345359,355.5767079667659
s17t16l1,s17MAP,16,0.009867402345359,355.69431650093134
s17t17l1,s17MAP,17,0.009867402345359,355.70214114975215
s17t18l1,s17MAP,18,0.009867402345359,355.6101405650556
s17t19l1,s17MAP,19,0.009867402345359,355.5110198498729
s17t20l1,s17MAP,20,0.009867402345359,355.4114276277237
s17t21l1,s17MAP,21,0.009867402345359,355.3129528663375
s17t22l1,s17MAP,22,0.009867402345359,355.2144137835513
s17t23l1,s17MAP,23,0.009867402345359,355.11363126021183
s17t24l1,s17MAP,24,0.009867402345359,355.01257134554817
s18t8l1,s18MAP,8,0.0198617255266592,70.20475865043805
s18t9l1,s18MAP,9,0.0198617255266592,144.94881793027267
s18t10l1,s18MAP,10,0.0198617255266592,179.18119963906713
s18t11l1,s18MAP,11,0.0198617255266592,229.63867114092469
s18t12l1,s18MAP,12,0.0198617255266592,267.63790027898455
s18t13l1,s18MAP,13,0.0198617255266592,256.15417489466586
s18t14l1,s18MAP,14,0.0198617255266592,213.765323588108
s18t15l1,s18MAP,15,0.0198617255266592,140.16465175282093
s18t16l1,s18MAP,16,0.0198617255266592,100.68136703130278
s18t17l1,s18MAP,17,0.0198617255266592,31.58146227897396
s23t1l1,s23MAP,1,0.0242312367901585,104.01924366772434
s23t2l1,s23MAP,2,0.0242312367901585,110.36452645609236
s23t3l1,s23MAP,3,0.0242312367901585,110.28306156373576
s23t4l1,s23MAP,4,0.0242312367901585,114.58793125775698
s23t5l1,s23MAP,5,0.0242312367901585,110.00143188861604
s23t6l1,s23MAP,6,0.0242312367901585,113.76955299308328
s23t7l1,s23MAP,7,0.0242312367901585,128.1725779113491
s23t8l1,s23MAP,8,0.0242312367901585,116.5250059502368
s23t9l1,s23MAP,9,0.0242312367901585,88.35563364752859
s23t10l1,s23MAP,10,0.0242312367901585,85.15738965711579
s23t11l1,s23MAP,11,0.0242312367901585,98.84158289031052
s23t12l1,s23MAP,12,0.0242312367901585,90.01217206688258
s23t13l1,s23MAP,13,0.0242312367901585,100.32945403629591
s23t14l1,s23MAP,14,0.0242312367901585,105.65153607923816
s23t15l1,s23MAP,15,0.0242312367901585,99.09717749940708
s23t16l1,s23MAP,16,0.0242312367901585,89.99390223437089
s23t17l1,s23MAP,17,0.0242312367901585,82.31361702708018
s23t18l1,s23MAP,18,0.0242312367901585,82.42450385932072
s23t19l1,s23MAP,19,0.0242312367901585,87.71142090249427
s23t20l1,s23MAP,20,0.0242312367901585,92.6545277314506
s23t21l1,s23MAP,21,0.0242312367901585,81.2727805402534
s23t22l1,s23MAP,22,0.0242312367901585,64.32711384462785
s23t23l1,s23MAP,23,0.0242312367901585,81.71721398794163
s23t24l1,s23MAP,24,0.0242312367901585,91.03333159432874
s24t1l1,s24MAP,1,0.0096345709636406,59.41698397528595
s24t2l1,s24MAP,2,0.0096345709636406,59.401168596924805
s24t3l1,s24MAP,3,0.0096345709636406,59.38540130478353
s24t4l1,s24MAP,4,0.0096345709636406,59.36971162013685
s24t5l1,s24MAP,5,0.0096345709636406,59.35382393136556
s24t6l1,s24MAP,6,0.0096345709636406,59.33782820823632
s24t7l1,s24MAP,7,0.0096345709636406,59.321943121667665
s24t8l1,s24MAP,8,0.0096345709636406,59.3060033239008
s24t9l1,s24MAP,9,0.0096345709636406,59.29036191017321
s24t10l1,s24MAP,10,0.0096345709636406,59.27655775234841
s24t11l1,s24MAP,11,0.0096345709636406,59.26764727598837
s24t12l1,s24MAP,12,0.0096345709636406,59.268417502138306
s24t13l1,s24MAP,13,0.0096345709636406,59.29154575430021
s24t14l1,s24MAP,14,0.0096345709636406,59.32277185249533
s24t15l1,s24MAP,15,0.0096345709636406,59.354720090015334
s24t16l1,s24MAP,16,0.0096345709636406,59.374351920417
s24t17l1,s24MAP,17,0.0096345709636406,59.375658051640315
s24t18l1,s24MAP,18,0.0096345709636406,59.36030083382928
s24t19l1,s24MAP,19,0.0096345709636406,59.34375508667269
s24t20l1,s24MAP,20,0.0096345709636406,59.327130633112134
s24t21l1,s24MAP,21,0.0096345709636406,59.310692711934934
s24t22l1,s24MAP,22,0.0096345709636406,59.29424405389389
s24t23l1,s24MAP,23,0.0096345709636406,59.277420909045674
s24t24l1,s24MAP,24,0.0096345709636406,59.26055146058972
s25t8l1,s25MAP,8,0.0198296524239072,73.13633423408392
s25t9l1,s25MAP,9,0.0198296524239072,96.24757967940003
s25t10l1,s25MAP,10,0.0198296524239072,79.07040900076528
s25t11l1,s25MAP,11,0.0198296524239072,83.81342321116348
s25t12l1,s25MAP,12,0.0198296524239072,77.6606540305827
s25t13l1,s25MAP,13,0.0198296524239072,48.593314842555586
s25t14l1,s25MAP,14,0.0198296524239072,68.05658212641363
s25t15l1,s25MAP,15,0.0198296524239072,53.901819941022175
s25t16l1,s25MAP,16,0.0198296524239072,55.049672300494606
s29t1l1,s29MAP,1,0.0256526816010136,369.0559650352107
s29t2l1,s29MAP,2,0.0256526816010136,429.9832099109653
s29t3l1,s29MAP,3,0.0256526816010136,490.5985376607654
s29t4l1,s29MAP,4,0.0256526816010136,522.1322252528603
s29t5l1,s29MAP,5,0.0256526816010136,575.4558080438355
s29t6l1,s29MAP,6,0.0256526816010136,596.4099630393687
s29t7l1,s29MAP,7,0.0256526816010136,589.6023022485033
s29t8l1,s29MAP,8,0.0256526816010136,597.7687573025244
s29t9l1,s29MAP,9,0.0256526816010136,613.1342106446164
s29t10l1,s29MAP,10,0.0256526816010136,707.1898426623981
s29t11l1,s29MAP,11,0.0256526816010136,632.4416067554299
s29t12l1,s29MAP,12,0.0256526816010136,596.9452164397129
s29t13l1,s29MAP,13,0.0256526816010136,420.26892151669574
s29t14l1,s29MAP,14,0.0256526816010136,338.65374465592515
s29t15l1,s29MAP,15,0.0256526816010136,395.6580109189627
s29t16l1,s29MAP,16,0.0256526816010136,322.5616335886911
s29t17l1,s29MAP,17,0.0256526816010136,236.67235477576875
s29t18l1,s29MAP,18,0.0256526816010136,188.32905805047204
s29t19l1,s29MAP,19,0.0256526816010136,125.39743765243244
s29t20l1,s29MAP,20,0.0256526816010136,68.84176392553451
s29t21l1,s29MAP,21,0.0256526816010136,66.58573585399988
s29t22l1,s29MAP,22,0.0256526816010136,59.10671875493184
s29t23l1,s29MAP,23,0.0256526816010136,38.27054599247019
s29t24l1,s29MAP,24,0.0256526816010136,16.208046080335865
s31t1l1,s31MAP,1,0.0250901360129329,1243.7198005445573
s31t2l1,s31MAP,2,0.0250901360129329,1512.970024426575
s31t3l1,s31MAP,3,0.0250901360129329,1723.0818010102028
s31t4l1,s31MAP,4,0.0250901360129329,1876.367832504937
s31t5l1,s31MAP,5,0.0250901360129329,2048.222330848637
s31t6l1,s31MAP,6,0.0250901360129329,2148.0390988666973
s31t7l1,s31MAP,7,0.0250901360129329,2178.202646604538
s31t8l1,s31MAP,8,0.0250901360129329,2155.6723541733695
s31t9l1,s31MAP,9,0.0250901360129329,2077.6631465830596
s31t10l1,s31MAP,10,0.0250901360129329,2529.650349257328
s31t11l1,s31MAP,11,0.0250901360129329,2144.6732855694468
s31t12l1,s31MAP,12,0.0250901360129329,1707.794567866965
s31t13l1,s31MAP,13,0.0250901360129329,1090.9790644915938
s31t14l1,s31MAP,14,0.0250901360129329,806.3866922685415
s31t15l1,s31MAP,15,0.0250901360129329,948.8897040197584
s31t16l1,s31MAP,16,0.0250901360129329,708.3264713606045
s31t17l1,s31MAP,17,0.0250901360129329,505.4045165895105
s31t18l1,s31MAP,18,0.0250901360129329,449.9473548420181
s31t19l1,s31MAP,19,0.0250901360129329,307.01165205799197
s31t20l1,s31MAP,20,0.0250901360129329,167.83303686199838
s31t21l1,s31MAP,21,0.0250901360129329,187.60289731751436
