id,t,p0,p1,q
1,1,-300,-400,-248
2,1,250,300,457
3,1,1070,1050,-646
4,1,3400,3250,-429
5,2,-300,-400,-638
6,2,700,770,300
7,2,2300,2200,-420
8,2,3400,3250,-617
9,5,250,300,229
10,5,1050,1070,3
11,5,2700,2500,-287
12,7,-300,-400,-161
13,7,50,80,690
14,7,700,770,448
15,7,3050,3000,-452
16,10,-300,-400,-657
17,10,300,250,-225
18,10,400,450,633
19,10,2200,2300,121
20,10,3250,3400,539
21,13,700,770,413
22,13,1100,1000,-330
23,13,2300,2200,-178
24,16,250,300,307
25,16,450,400,-274
26,16,1050,1070,36
27,16,2500,2700,502
28,20,-400,-300,359
29,20,600,250,-531
30,20,950,1050,463
31,20,3250,3400,649
32,20,3400,3250,-122
33,23,-50,-100,-473
34,23,1050,1070,629
35,23,2700,2500,-422
