id,block_type,code_prm,p,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,MAR
9525031,exclusive,1,142.26,145.0,145.0,145.0,145.0,145.0,145.0,145.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,350.0,145.0,1.0
9525032,exclusive,1,142.26,145.0,145.0,145.0,145.0,145.0,145.0,145.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,350.0,145.0,1.0
9525065,exclusive,1,161.89,415.0,415.0,415.0,415.0,415.0,415.0,415.0,415.0,415.0,413.0,410.0,408.0,406.0,405.0,404.0,403.0,403.0,405.0,410.0,412.0,415.0,415.0,415.0,415.0,1.0
9525066,exclusive,1,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.0,408.0,412.0,414.0,415.0,415.0,1.0
9525075,exclusive,1,35.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,65.0,65.0,65.0,65.0,65.0,65.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,1.0
9526345,exclusive,1,150.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,45.0,50.0,140.0,250.0,374.0,374.0,374.0,374.0,374.0,374.0,18.0,45.0,374.0,374.0,374.0,374.0,374.0,1.0
9526346,exclusive,1,152.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,281.0,390.0,390.0,180.0,390.0,390.0,390.0,390.0,390.0,390.0,17.0,281.0,390.0,390.0,390.0,390.0,390.0,1.0
9526347,exclusive,1,145.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,281.0,390.0,390.0,180.0,390.0,390.0,390.0,390.0,390.0,390.0,17.0,281.0,390.0,390.0,390.0,390.0,390.0,1.0
9526348,exclusive,1,136.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,390.0,390.0,390.0,180.0,390.0,390.0,390.0,390.0,390.0,390.0,281.0,390.0,390.0,390.0,390.0,390.0,390.0,1.0
9526378,normal,0,178.03,764.5,765.0,766.4,767.2,766.8,767.2,767.8,767.1,765.7,764.0,762.2,759.5,757.3,754.4,752.5,745.4,731.6,718.4,611.3,386.9,388.0,388.6,735.9,764.8,1.0
9526535,normal,0,250.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,400.0,400.0,400.0,400.0,421.0,1.0
9526591,normal,0,207.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,70.0,240.0,339.3,340.4,341.4,100.0,0.0,1.0
9526595,normal,0,214.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,70.0,240.0,374.4,374.4,374.4,100.0,0.0,1.0
9527120,normal,0,159.7,0.0,0.0,0.0,0.0,0.0,0.0,100.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,1.0
9527124,normal,0,146.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,234.0,365.0,360.0,360.0,360.0,360.0,0.0
