id,step_orders,fixed_term,variable_term,condition,load_gradient
9513253,"9513253_1_1, 9513253_2_1, 9513253_3_1, 9513253_4_1, 9513253_5_1, 9513253_6_1, 9513253_7_1, 9513253_8_1, 9513253_9_1, 9513253_10_1, 9513253_11_1, 9513253_12_1, 9513253_13_1, 9513253_14_1, 9513253_15_1, 9513253_16_1, 9513253_17_1, 9513253_18_1, 9513253_19_1, 9513253_20_1, 9513253_21_1, 9513253_22_1, 9513253_23_1, 9513253_24_1",1400.0,0.0,MIC,
9517506,"9517506_1_1, 9517506_2_1, 9517506_3_1, 9517506_4_1, 9517506_5_1, 9517506_6_1, 9517506_7_1, 9517506_8_1, 9517506_9_1, 9517506_10_1, 9517506_11_1, 9517506_12_1, 9517506_13_1, 9517506_14_1, 9517506_15_1, 9517506_16_1, 9517506_17_1, 9517506_18_1, 9517506_19_1, 9517506_20_2, 9517506_21_2, 9517506_22_2, 9517506_23_1, 9517506_24_1",69894.0,0.0,MIC,
9525037,"9525037_1_15, 9525037_2_15, 9525037_3_15, 9525037_4_15, 9525037_5_15, 9525037_6_15, 9525037_7_15, 9525037_8_15, 9525037_9_15, 9525037_10_15, 9525037_11_15, 9525037_12_15, 9525037_13_15, 9525037_14_15, 9525037_15_15, 9525037_16_15, 9525037_17_15, 9525037_18_15, 9525037_19_15, 9525037_20_2, 9525037_20_15, 9525037_21_2, 9525037_21_3, 9525037_21_4, 9525037_21_5, 9525037_21_6, 9525037_21_7, 9525037_21_8, 9525037_21_9, 9525037_21_10, 9525037_21_11, 9525037_21_12, 9525037_21_13, 9525037_21_14, 9525037_21_15, 9525037_22_2, 9525037_22_3, 9525037_22_4, 9525037_22_5, 9525037_22_6, 9525037_22_7, 9525037_22_8, 9525037_22_9, 9525037_22_10, 9525037_22_11, 9525037_22_12, 9525037_22_13, 9525037_22_14, 9525037_22_15, 9525037_23_2, 9525037_23_3, 9525037_23_4, 9525037_23_5, 9525037_23_6, 9525037_23_7, 9525037_23_8, 9525037_23_9, 9525037_23_10, 9525037_23_11, 9525037_23_12, 9525037_23_13, 9525037_23_14, 9525037_23_15, 9525037_24_15",109007.0,0.0,MIC,
9525038,"9525038_1_15, 9525038_2_15, 9525038_3_15, 9525038_4_15, 9525038_5_15, 9525038_6_15, 9525038_7_15, 9525038_8_15, 9525038_9_15, 9525038_10_15, 9525038_11_15, 9525038_12_15, 9525038_13_15, 9525038_14_15, 9525038_15_15, 9525038_16_15, 9525038_17_15, 9525038_18_15, 9525038_19_15, 9525038_20_2, 9525038_20_15, 9525038_21_2, 9525038_21_3, 9525038_21_4, 9525038_21_5, 9525038_21_6, 9525038_21_7, 9525038_21_8, 9525038_21_9, 9525038_21_10, 9525038_21_11, 9525038_21_12, 9525038_21_13, 9525038_21_14, 9525038_21_15, 9525038_22_2, 9525038_22_3, 9525038_22_4, 9525038_22_5, 9525038_22_6, 9525038_22_7, 9525038_22_8, 9525038_22_9, 9525038_22_10, 9525038_22_11, 9525038_22_12, 9525038_22_13, 9525038_22_14, 9525038_22_15, 9525038_23_2, 9525038_23_3, 9525038_23_4, 9525038_23_5, 9525038_23_6, 9525038_23_7, 9525038_23_8, 9525038_23_9, 9525038_23_10, 9525038_23_11, 9525038_23_12, 9525038_23_13, 9525038_23_14, 9525038_23_15, 9525038_24_15",160178.0,0.0,MIC,
9525039,"9525039_1_15, 9525039_2_15, 9525039_3_15, 9525039_4_15, 9525039_5_15, 9525039_6_15, 9525039_7_15, 9525039_8_15, 9525039_9_15, 9525039_10_15, 9525039_11_15, 9525039_12_15, 9525039_13_15, 9525039_14_15, 9525039_15_15, 9525039_16_15, 9525039_17_15, 9525039_18_15, 9525039_19_15, 9525039_20_2, 9525039_20_3, 9525039_20_15, 9525039_21_2, 9525039_21_3, 9525039_21_4, 9525039_21_5, 9525039_21_6, 9525039_21_7, 9525039_21_8, 9525039_21_9, 9525039_21_10, 9525039_21_11, 9525039_21_12, 9525039_21_13, 9525039_21_14, 9525039_21_15, 9525039_22_2, 9525039_22_3, 9525039_22_4, 9525039_22_5, 9525039_22_6, 9525039_22_7, 9525039_22_8, 9525039_22_9, 9525039_22_10, 9525039_22_11, 9525039_22_12, 9525039_22_13, 9525039_22_14, 9525039_22_15, 9525039_23_2, 9525039_23_3, 9525039_23_4, 9525039_23_5, 9525039_23_6, 9525039_23_7, 9525039_23_8, 9525039_23_9, 9525039_23_10, 9525039_23_11, 9525039_23_12, 9525039_23_13, 9525039_23_14, 9525039_23_15, 9525039_24_15",161750.0,0.0,MIC,
9525042,"9525042_1_15, 9525042_2_15, 9525042_3_15, 9525042_4_15, 9525042_5_15, 9525042_6_15, 9525042_7_15, 9525042_8_15, 9525042_9_15, 9525042_10_15, 9525042_11_15, 9525042_12_15, 9525042_13_15, 9525042_14_15, 9525042_15_15, 9525042_16_15, 9525042_17_15, 9525042_18_15, 9525042_19_15, 9525042_20_2, 9525042_20_3, 9525042_20_15, 9525042_21_2, 9525042_21_3, 9525042_21_4, 9525042_21_5, 9525042_21_6, 9525042_21_7, 9525042_21_8, 9525042_21_9, 9525042_21_10, 9525042_21_11, 9525042_21_12, 9525042_21_13, 9525042_21_15, 9525042_22_2, 9525042_22_3, 9525042_22_4, 9525042_22_5, 9525042_22_6, 9525042_22_7, 9525042_22_8, 9525042_22_9, 9525042_22_10, 9525042_22_11, 9525042_22_12, 9525042_22_13, 9525042_22_15, 9525042_23_2, 9525042_23_3, 9525042_23_4, 9525042_23_5, 9525042_23_6, 9525042_23_7, 9525042_23_8, 9525042_23_9, 9525042_23_10, 9525042_23_11, 9525042_23_12, 9525042_23_13, 9525042_23_15, 9525042_24_15",156001.0,0.0,MIC,
9525043,"9525043_1_15, 9525043_2_15, 9525043_3_15, 9525043_4_15, 9525043_5_15, 9525043_6_15, 9525043_7_15, 9525043_8_15, 9525043_9_15, 9525043_10_15, 9525043_11_15, 9525043_12_15, 9525043_13_15, 9525043_14_15, 9525043_15_15, 9525043_16_15, 9525043_17_15, 9525043_18_15, 9525043_19_15, 9525043_20_2, 9525043_20_15, 9525043_21_2, 9525043_21_3, 9525043_21_4, 9525043_21_5, 9525043_21_6, 9525043_21_7, 9525043_21_8, 9525043_21_9, 9525043_21_10, 9525043_21_11, 9525043_21_12, 9525043_21_13, 9525043_21_14, 9525043_21_15, 9525043_22_2, 9525043_22_3, 9525043_22_4, 9525043_22_5, 9525043_22_6, 9525043_22_7, 9525043_22_8, 9525043_22_9, 9525043_22_10, 9525043_22_11, 9525043_22_12, 9525043_22_13, 9525043_22_14, 9525043_22_15, 9525043_23_2, 9525043_23_3, 9525043_23_4, 9525043_23_5, 9525043_23_6, 9525043_23_7, 9525043_23_8, 9525043_23_9, 9525043_23_10, 9525043_23_11, 9525043_23_12, 9525043_23_13, 9525043_23_14, 9525043_23_15, 9525043_24_15",158812.0,0.0,MIC,
9525045,"9525045_1_15, 9525045_2_15, 9525045_3_15, 9525045_4_15, 9525045_5_15, 9525045_6_15, 9525045_7_15, 9525045_8_15, 9525045_9_15, 9525045_10_15, 9525045_11_15, 9525045_12_15, 9525045_13_15, 9525045_14_15, 9525045_15_15, 9525045_16_15, 9525045_17_15, 9525045_18_15, 9525045_19_15, 9525045_20_2, 9525045_20_15, 9525045_21_2, 9525045_21_3, 9525045_21_4, 9525045_21_5, 9525045_21_6, 9525045_21_7, 9525045_21_8, 9525045_21_9, 9525045_21_10, 9525045_21_11, 9525045_21_12, 9525045_21_15, 9525045_22_2, 9525045_22_3, 9525045_22_4, 9525045_22_5, 9525045_22_6, 9525045_22_7, 9525045_22_8, 9525045_22_9, 9525045_22_10, 9525045_22_11, 9525045_22_12, 9525045_22_15, 9525045_23_2, 9525045_23_3, 9525045_23_4, 9525045_23_5, 9525045_23_6, 9525045_23_7, 9525045_23_8, 9525045_23_9, 9525045_23_10, 9525045_23_11, 9525045_23_12, 9525045_23_15, 9525045_24_15",153053.0,0.0,MIC,
9525046,"9525046_1_15, 9525046_2_15, 9525046_3_15, 9525046_4_15, 9525046_5_15, 9525046_6_15, 9525046_7_15, 9525046_8_15, 9525046_9_15, 9525046_10_15, 9525046_11_15, 9525046_12_15, 9525046_13_15, 9525046_14_15, 9525046_15_15, 9525046_16_15, 9525046_17_15, 9525046_18_15, 9525046_19_15, 9525046_20_2, 9525046_20_3, 9525046_20_4, 9525046_20_5, 9525046_20_6, 9525046_20_7, 9525046_20_8, 9525046_20_9, 9525046_20_10, 9525046_20_11, 9525046_20_15, 9525046_21_2, 9525046_21_3, 9525046_21_4, 9525046_21_5, 9525046_21_6, 9525046_21_7, 9525046_21_8, 9525046_21_9, 9525046_21_10, 9525046_21_11, 9525046_21_15, 9525046_22_2, 9525046_22_3, 9525046_22_4, 9525046_22_5, 9525046_22_6, 9525046_22_7, 9525046_22_8, 9525046_22_9, 9525046_22_10, 9525046_22_11, 9525046_22_15, 9525046_23_2, 9525046_23_3, 9525046_23_4, 9525046_23_5, 9525046_23_6, 9525046_23_7, 9525046_23_8, 9525046_23_9, 9525046_23_10, 9525046_23_11, 9525046_23_15, 9525046_24_15",266226.0,0.0,MIC,
9525048,"9525048_1_15, 9525048_2_15, 9525048_3_15, 9525048_4_15, 9525048_5_15, 9525048_6_15, 9525048_7_15, 9525048_8_15, 9525048_9_15, 9525048_10_15, 9525048_11_15, 9525048_12_15, 9525048_13_15, 9525048_14_15, 9525048_15_15, 9525048_16_15, 9525048_17_15, 9525048_18_15, 9525048_19_15, 9525048_20_2, 9525048_20_15, 9525048_21_2, 9525048_21_3, 9525048_21_4, 9525048_21_5, 9525048_21_6, 9525048_21_7, 9525048_21_8, 9525048_21_9, 9525048_21_10, 9525048_21_11, 9525048_21_12, 9525048_21_13, 9525048_21_14, 9525048_21_15, 9525048_22_2, 9525048_22_3, 9525048_22_4, 9525048_22_5, 9525048_22_6, 9525048_22_7, 9525048_22_8, 9525048_22_9, 9525048_22_10, 9525048_22_11, 9525048_22_12, 9525048_22_13, 9525048_22_14, 9525048_22_15, 9525048_23_2, 9525048_23_3, 9525048_23_4, 9525048_23_5, 9525048_23_6, 9525048_23_7, 9525048_23_8, 9525048_23_9, 9525048_23_10, 9525048_23_11, 9525048_23_12, 9525048_23_13, 9525048_23_14, 9525048_23_15, 9525048_24_15",155848.0,0.0,MIC,
