id,complex_order_id,t,p,q
9513253_1_1,9513253,1,31.0,4.8
9513253_2_1,9513253,2,25.0,4.8
9513253_3_1,9513253,3,35.0,4.8
9513253_4_1,9513253,4,25.0,4.8
9513253_5_1,9513253,5,31.0,4.8
9513253_6_1,9513253,6,28.0,4.8
9513253_7_1,9513253,7,37.0,4.8
9513253_8_1,9513253,8,37.0,4.8
9513253_9_1,9513253,9,37.0,4.8
9513253_10_1,9513253,10,36.0,4.8
9513253_11_1,9513253,11,37.0,4.8
9513253_12_1,9513253,12,35.0,4.8
9513253_13_1,9513253,13,33.0,4.8
9513253_14_1,9513253,14,32.0,4.8
9513253_15_1,9513253,15,32.0,4.8
9513253_16_1,9513253,16,31.0,4.8
9513253_17_1,9513253,17,32.0,4.8
9513253_18_1,9513253,18,30.0,4.8
9513253_19_1,9513253,19,30.0,4.8
9513253_20_1,9513253,20,30.0,4.8
9513253_21_1,9513253,21,30.0,4.8
9513253_22_1,9513253,22,33.0,4.8
9513253_23_1,9513253,23,33.0,4.8
9513253_24_1,9513253,24,25.0,4.8
9517506_1_1,9517506,1,434.94,785.3
9517506_2_1,9517506,2,434.94,785.3
9517506_3_1,9517506,3,434.94,785.3
9517506_4_1,9517506,4,434.94,785.3
9517506_5_1,9517506,5,434.94,785.3
9517506_6_1,9517506,6,434.94,785.3
9517506_7_1,9517506,7,434.94,785.3
9517506_8_1,9517506,8,434.94,785.3
9517506_9_1,9517506,9,434.94,785.3
9517506_10_1,9517506,10,434.94,785.3
9517506_11_1,9517506,11,434.94,785.3
9517506_12_1,9517506,12,434.94,785.3
9517506_13_1,9517506,13,434.94,785.3
9517506_14_1,9517506,14,434.94,785.3
9517506_15_1,9517506,15,434.94,785.3
9517506_16_1,9517506,16,434.94,785.3
9517506_17_1,9517506,17,434.94,785.3
9517506_18_1,9517506,18,434.94,785.3
9517506_19_1,9517506,19,434.94,785.3
9517506_20_2,9517506,20,434.94,410.3
9517506_21_2,9517506,21,434.94,410.3
9517506_22_2,9517506,22,434.94,410.3
9517506_23_1,9517506,23,434.94,785.3
9517506_24_1,9517506,24,434.94,785.3
9525037_1_15,9525037,1,1000.0,379.3
9525037_2_15,9525037,2,1000.0,379.3
9525037_3_15,9525037,3,1000.0,379.3
