id,step_orders,fixed_term,condition,load_gradient,MAP1,MAP2,MAP3,MAP4,MAP5,MAP6,MAP7,MAP8,MAP9,MAP10,MAP11,MAP12,MAP13,MAP14,MAP15,MAP16,MAP17,MAP18,MAP19,MAP20,MAP21,MAP22,MAP23,MAP24
9517506,"9517506_20_1, 9517506_21_1, 9517506_22_1",69894.0,MIC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,173.0,173.0,0.0,0.0
9525037,"9525037_19_1, 9525037_20_1, 9525037_21_1, 9525037_22_1, 9525037_23_1, 9525037_24_1",109007.0,MIC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,116.6,116.6,116.6,116.6,50.0
9525038,"9525038_19_1, 9525038_20_1, 9525038_21_1, 9525038_22_1, 9525038_23_1, 9525038_24_1",160178.0,MIC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,165.0,165.0,165.0,165.0,50.0
9525039,"9525039_19_1, 9525039_20_1, 9525039_21_1, 9525039_22_1, 9525039_23_1, 9525039_24_1",161750.0,MIC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.4,151.7,151.7,151.7,151.7,50.0
9525042,"9525042_19_1, 9525042_20_1, 9525042_21_1, 9525042_22_1, 9525042_23_1, 9525042_24_1",156001.0,MIC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.1,165.0,165.0,165.0,165.0,50.0
9525043,"9525043_19_1, 9525043_20_1, 9525043_21_1, 9525043_22_1, 9525043_23_1, 9525043_24_1",158812.0,MIC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.1,165.0,165.0,165.0,165.0,50.0
9525045,"9525045_19_1, 9525045_20_1, 9525045_21_1, 9525045_22_1, 9525045_23_1, 9525045_24_1",153053.0,MIC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,150.3,150.3,150.3,150.3,50.0
9525046,"9525046_15_1, 9525046_16_1, 9525046_17_1, 9525046_18_1, 9525046_19_1, 9525046_20_1, 9525046_21_1, 9525046_22_1, 9525046_23_1, 9525046_24_1",266226.0,MIC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.7,74.0,75.1,75.6,189.5,190.0,190.0,190.0,190.0,50.0
9525048,"9525048_19_1, 9525048_20_1, 9525048_21_1, 9525048_22_1, 9525048_23_1, 9525048_24_1",155848.0,MIC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2,170.0,170.0,170.0,170.0,50.0
9525050,"9525050_19_1, 9525050_20_1, 9525050_21_1, 9525050_22_1, 9525050_23_1, 9525050_24_1",150547.0,MIC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.7,155.0,155.0,155.0,155.0,50.0
9525051,"9525051_19_1, 9525051_20_1, 9525051_21_1, 9525051_22_1, 9525051_23_1, 9525051_24_1",154252.0,MIC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.2,155.0,155.0,155.0,155.0,50.0
9525052,"9525052_19_1, 9525052_20_1, 9525052_21_1, 9525052_22_1, 9525052_23_1, 9525052_24_1",150240.0,MIC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,160.0,160.0,160.0,160.0,50.0
9525053,"9525053_19_1, 9525053_20_1, 9525053_21_1, 9525053_22_1, 9525053_23_1, 9525053_24_1",121395.0,MIC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,134.0,134.0,134.0,134.0,50.0
9525054,"9525054_17_1, 9525054_18_1, 9525054_19_1, 9525054_20_1, 9525054_21_1, 9525054_22_1, 9525054_23_1, 9525054_24_1",203259.0,MIC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,25.7,30.0,113.0,113.0,113.0,113.0,50.0
