id,scalable_order_id,t,p,q
9517506_20_1,9517506,20,101.82,375.0
9517506_21_1,9517506,21,101.82,375.0
9517506_22_1,9517506,22,101.82,375.0
9525037_19_1,9525037,19,1.0,1.0
9525037_20_1,9525037,20,1.0,116.6
9525037_21_1,9525037,21,1.0,116.6
9525037_22_1,9525037,22,1.0,116.6
9525037_23_1,9525037,23,1.0,116.6
9525037_24_1,9525037,24,1.0,50.0
9525038_19_1,9525038,19,1.0,19.8
9525038_20_1,9525038,20,1.0,165.0
9525038_21_1,9525038,21,1.0,165.0
9525038_22_1,9525038,22,1.0,165.0
9525038_23_1,9525038,23,1.0,165.0
9525038_24_1,9525038,24,1.0,50.0
9525039_19_1,9525039,19,1.0,41.4
9525039_20_1,9525039,20,1.0,151.7
9525039_21_1,9525039,21,1.0,151.7
9525039_22_1,9525039,22,1.0,151.7
9525039_23_1,9525039,23,1.0,151.7
9525039_24_1,9525039,24,1.0,50.0
9525042_19_1,9525042,19,1.0,31.1
9525042_20_1,9525042,20,1.0,165.0
9525042_21_1,9525042,21,1.0,165.0
9525042_22_1,9525042,22,1.0,165.0
9525042_23_1,9525042,23,1.0,165.0
9525042_24_1,9525042,24,1.0,50.0
9525043_19_1,9525043,19,1.0,32.1
9525043_20_1,9525043,20,1.0,165.0
9525043_21_1,9525043,21,1.0,165.0
9525043_22_1,9525043,22,1.0,165.0
9525043_23_1,9525043,23,1.0,165.0
9525043_24_1,9525043,24,1.0,50.0
9525045_19_1,9525045,19,1.0,4.2
9525045_20_1,9525045,20,1.0,150.3
9525045_21_1,9525045,21,1.0,150.3
9525045_22_1,9525045,22,1.0,150.3
9525045_23_1,9525045,23,1.0,150.3
9525045_24_1,9525045,24,1.0,50.0
9525046_15_1,9525046,15,1.0,26.7
9525046_16_1,9525046,16,1.0,74.0
9525046_17_1,9525046,17,1.0,75.1
9525046_18_1,9525046,18,1.0,75.6
9525046_19_1,9525046,19,1.0,189.5
9525046_20_1,9525046,20,1.0,190.0
9525046_21_1,9525046,21,1.0,190.0
9525046_22_1,9525046,22,1.0,190.0
9525046_23_1,9525046,23,1.0,190.0
9525046_24_1,9525046,24,1.0,50.0
9525048_19_1,9525048,19,1.0,25.2
9525048_20_1,9525048,20,1.0,170.0
9525048_21_1,9525048,21,1.0,170.0
9525048_22_1,9525048,22,1.0,170.0
9525048_23_1,9525048,23,1.0,170.0
9525048_24_1,9525048,24,1.0,50.0
9525050_19_1,9525050,19,1.0,33.7
9525050_20_1,9525050,20,1.0,155.0
9525050_21_1,9525050,21,1.0,155.0
9525050_22_1,9525050,22,1.0,155.0
9525050_23_1,9525050,23,1.0,155.0
9525050_24_1,9525050,24,1.0,50.0
9525051_19_1,9525051,19,1.0,33.2
9525051_20_1,9525051,20,1.0,155.0
9525051_21_1,9525051,21,1.0,155.0
9525051_22_1,9525051,22,1.0,155.0
9525051_23_1,9525051,23,1.0,155.0
9525051_24_1,9525051,24,1.0,50.0
9525052_19_1,9525052,19,1.0,15.7
9525052_20_1,9525052,20,1.0,160.0
