id,t,p,q
1,1,4000,29.5
2,1,3000,1.9
3,1,853,0.4
4,1,400,1
5,1,324,6.2
6,1,263.7,30
7,1,262,543.1
8,1,261.5,406
9,1,261,2998
10,1,260,368
11,1,259,378
12,1,258,2816
13,1,257,1229
14,1,256.9,386.8
15,1,256,400.8
16,1,255,1133.2
17,1,254.2,1970
18,1,254.06,386
19,1,253.79,103
20,1,253.7,10
21,1,253.15,103
22,1,248.61,88.2
23,1,245.2,211.8
24,1,243.97,75
25,1,243.7,10
26,1,240.13,474.9
27,1,240,128.5
28,1,233.7,10
29,1,232.29,10.3
30,1,231.6,44.7
31,1,229,45
32,1,228,58
33,1,221,1908
34,1,220,73.2
35,1,213.7,10
36,1,210,320.5
37,1,207.72,2
38,1,203.7,10
39,1,201.2,38
40,1,201.1,60
41,1,200,121.1
42,1,199,30
43,1,195,139
44,1,193.7,10
45,1,190,159.4
46,1,187.17,182
47,1,185,1072.9
48,1,184.89,59
49,1,183.7,10
50,1,182.15,15.8
51,1,180,363.8
52,1,179.32,370
53,1,176.85,380
54,1,173.7,10
55,1,173.47,400
56,1,172.94,400
57,1,170,475.2
58,1,169,52.6
59,1,168.57,345
60,1,167.12,131
61,1,165,23
62,1,164.55,194
63,1,164.29,217
64,1,164.22,22
65,1,163.83,175
66,1,163.7,50.2
67,1,160,214
68,1,159.49,206
69,1,158.71,194
70,1,155,50
71,1,150,121.5
72,1,146.15,1.7
73,1,145.1,369
74,1,145,64
75,1,144.93,47
76,1,144,27
77,1,141.97,89.9
78,1,141.87,60
79,1,140,152
80,1,139.08,50
81,1,139,20
82,1,138.5,20.5
83,1,138.1,63
84,1,137.75,20
85,1,137.4,7.9
86,1,135.25,85
87,1,135,58
88,1,133.85,390
89,1,133.25,66
90,1,133.06,60
91,1,132.49,102
92,1,132.08,15
93,1,131.5,43.1
94,1,131.09,400
95,1,130.22,9.6
96,1,130,69
97,1,128.5,137
98,1,128,57.9
99,1,127.5,10
100,1,127.17,720
101,1,126.22,71
102,1,125.5,25
103,1,125,113
104,1,123.5,13
105,1,123,1
106,1,121.32,40.1
107,1,121.29,35.7
108,1,120.94,28.6
109,1,120.5,46.9
110,1,120.36,418.8
111,1,120,58
112,1,119.97,25
113,1,119.48,50
114,1,119.12,1.7
115,1,118.94,30
116,1,117.6,19.5
117,1,117.22,60
118,1,116.67,227
119,1,116.25,98.5
120,1,116,56
121,1,115,11.3
122,1,114.13,96.2
123,1,113.33,27.9
124,1,113.25,98.5
125,1,112.48,97
126,1,112.47,4
127,1,112.32,18.4
128,1,112,78
129,1,111.36,11.6
130,1,111.13,96.2
131,1,111.1,485
132,1,110.78,30
133,1,110.25,98.5
134,1,110,129.5
135,1,109.84,0.4
136,1,109.48,97
137,1,109.11,198
138,1,109.08,114
139,1,108.13,96.3
140,1,108,26.2
141,1,107.25,98.5
142,1,106.98,97
143,1,106.97,5.1
144,1,106.66,225.4
145,1,105.7,180
146,1,105.25,142
147,1,105.13,96.3
148,1,105,5
149,1,104.48,97
150,1,103.4,1.2
151,1,103.09,166
152,1,102.12,3.9
153,1,101.97,52.1
154,1,101.32,27
155,1,100.9,1.1
156,1,100.08,25.1
157,1,100,395.3
158,1,99.77,205
159,1,99.55,205
160,1,98.7,1.2
161,1,98.48,173
162,1,98,173
163,1,97.6,173.4
164,1,97.34,161
165,1,95,155
166,1,94.69,0.5
167,1,94.1,9.4
168,1,92.67,2.4
169,1,90,17.6
170,1,89.75,9.2
171,1,89.02,11.9
172,1,88.5,10
173,1,88.49,7
174,1,86.19,9.1
175,1,86.16,0.8
176,1,83.4,1.2
177,1,83.19,12
178,1,81.16,0.6
179,1,76.16,4
180,1,75,295
181,1,74,6.2
182,1,73.7,99.9
183,1,72.3,6.9
184,1,72.17,3.4
185,1,71.92,4.2
186,1,71.9,2.6
187,1,69.65,2.7
188,1,66.5,14.3
189,1,66.46,7.5
190,1,66.16,5
191,1,66.15,9.8
192,1,61.29,0.5
193,1,55.63,0.5
194,1,50,34.3
195,1,49.84,2.1
196,1,45.58,1.5
197,1,45.44,0.5
198,1,44.61,6.1
199,1,44.34,29.3
200,1,44.26,2.7
201,1,43.27,1.2
202,1,39.47,271
203,1,38.86,2.3
204,1,38.78,1
205,1,38.73,48.1
206,1,37.75,0.4
207,1,37.7,1
208,1,35.4,6
209,1,33.3,22.9
210,1,33.29,1
211,1,32.31,0.1
212,1,31.08,4
213,1,31,22.9
214,1,30,20
215,1,27.8,0.2
216,1,27.75,4.8
217,1,27.74,61.4
218,1,27.68,1.6
219,1,27.67,20
220,1,25.7,8.9
221,1,24.35,0.9
222,1,22.14,5
223,1,20,32
224,1,19,47
225,1,18.7,41.5
226,1,16.66,2.5
227,1,16.6,0.9
228,1,11.61,20.1
229,1,10,17.1
230,1,6,0.1
231,1,5,329.6
232,1,3,66
233,1,1.1,3
234,1,1,904.1
235,1,0.2,52.7
236,1,0.1,8.4
237,1,0.01,148.8
238,1,0,11077.8
239,1,-0.01,312.5
240,1,-0.99,1.1
241,1,-1,266.9
242,1,-2,38.1
243,1,-5,30.2
244,1,-5.5,463.1
245,1,-5.54,1
246,1,-5.58,2.1
247,1,-10,86.4
248,1,-50,100
249,1,-100,268
250,1,-500,1213.3
251,1,4000,-16078.4
252,1,3999,-3.1
253,1,3950,-14.6
254,1,3500,-0.1
255,1,3000,-2727.4
256,1,2000,-8
257,1,1100,-1328
258,1,1000,-193.2
259,1,999,-10.6
260,1,900,-2.1
261,1,853,-100.3
262,1,837.44,-352.8
263,1,802,-14
264,1,800,-1654.2
265,1,777,-2.1
266,1,700,-102.5
267,1,650,-31.5
268,1,600,-0.1
269,1,501,-81.8
270,1,500.13,-0.5
271,1,500,-808.9
272,1,400,-254.8
273,1,375,-361
274,1,350,-482.6
275,1,320,-388.9
276,1,315.5,-157.2
277,1,300,-441
278,1,297.41,-2.8
279,1,293.73,-0.3
280,1,288,-1.9
281,1,280,-1.3
282,1,275,-268.6
283,1,274.22,-4.5
284,1,250,-47.9
285,1,225,-4.3
286,1,206.91,-21.3
287,1,205.3,-3
288,1,201.7,-0.1
289,1,200.02,-20
290,1,200.01,-63
291,1,200,-21.9
292,1,197.41,-0.3
293,1,190,-15.4
294,1,187.08,-5
295,1,181.96,-4.6
296,1,177.62,-10
297,1,176.44,-22.6
298,1,174.22,-4.5
299,1,173.18,-41.6
300,1,143.18,-15.2
301,1,141.97,-87.4
302,1,137,-46
303,1,135,-25.4
304,1,122,-30
305,1,119.5,-46.9
306,1,119.18,-23
307,1,118.94,-18.8
308,1,117.5,-25
309,1,117.18,-19.2
310,1,117,-2
311,1,116.97,-10
312,1,115.53,-0.6
313,1,114.33,-25
314,1,113.5,-25
315,1,111.97,-1
316,1,110.5,-25
317,1,110.41,-1.9
318,1,110.1,-21
319,1,108.6,-101
320,1,107.2,-199
321,1,106.5,-25
322,1,105,-200
323,1,104.33,-25
324,1,103,-200
325,1,102.12,-21
326,1,100.99,-1
327,1,100.98,-1
328,1,100,-192
329,1,96,-108
330,1,94.52,-40
331,1,91.2,-3
332,1,90.3,-0.2
333,1,90,-34
334,1,85,-48.4
335,1,79,-178.8
336,1,75,-39
337,1,72,-14
338,1,69,-100
339,1,65.3,-2.3
340,1,65.26,-18
341,1,60.37,-25
342,1,60,-20.1
343,1,58.74,-19.5
344,1,56.22,-26.2
345,1,49,-60
346,1,47.37,-25
347,1,34.84,-2.4
348,1,24.5,-50
349,1,20.5,-50
350,1,5,-4
351,1,1,-0.2
352,1,-275.5,-150
353,1,-279.5,-133
354,1,-499,-1.9
355,1,-500,-5.5
356,2,4000,29.4
357,2,3000,2
358,2,853,0.4
359,2,700,7.5
360,2,400,1
361,2,335.63,11.9
362,2,317.5,6.2
363,2,262,543.1
364,2,261.5,406
365,2,261,3016
366,2,260,368
367,2,259.3,30
368,2,259,378
369,2,258,2817
370,2,257,1229
371,2,256.9,386.8
372,2,256,444.7
373,2,255,1302.2
374,2,254.2,1970
375,2,254.13,386.4
376,2,253.79,103
377,2,253.15,103
378,2,249.3,10
379,2,248.61,88.4
380,2,245.2,227.4
381,2,243.97,75
382,2,240.13,475.9
383,2,240,128.5
384,2,239.3,10
385,2,231.6,44.7
386,2,229.3,10
387,2,229,45
388,2,228,58
389,2,224.43,10.5
390,2,221,1900
391,2,220,73.2
392,2,219.3,10
393,2,210,320.5
394,2,209.3,10
395,2,207.72,2
396,2,201.31,38
397,2,201.21,60
398,2,200,121
399,2,199.3,10
400,2,195,139
401,2,192.5,30
402,2,190,159.5
403,2,189.3,10
404,2,187.17,182
405,2,185,1076.3
406,2,184.89,59
407,2,182.15,15.8
408,2,180,363.9
409,2,179.32,370
410,2,179.3,10
411,2,176.85,380
412,2,173.47,400
413,2,172.94,400
414,2,170,510
415,2,169.3,10
416,2,168.57,345
417,2,167.12,131
418,2,165,23
419,2,164.69,194
420,2,164.29,218
421,2,163.84,175
422,2,162.5,52.6
423,2,160,204
424,2,159.5,207
425,2,159.3,49.8
426,2,158.65,195
427,2,155,50
428,2,152.14,12.7
429,2,150,121.5
430,2,145.1,369
431,2,145,64
432,2,144.93,47
433,2,144,27
434,2,142.22,1.5
435,2,141.87,60
436,2,140,152
437,2,139.09,50
438,2,139,20
439,2,138.13,20
440,2,138.1,63
441,2,137.4,7.9
442,2,135.25,85
443,2,135,58
444,2,133.85,390
445,2,133.25,66
446,2,133.06,60
447,2,132.5,53
448,2,132.49,102
449,2,132.08,15
450,2,132,1.4
451,2,131.09,400
452,2,130.22,9.6
453,2,130,69
454,2,128.5,159
455,2,128,57.9
456,2,127.4,5
457,2,127.17,720
458,2,126.22,30.7
459,2,125.5,25
460,2,125,155.2
461,2,123.5,13
462,2,120.4,25
463,2,120.26,419.6
464,2,120,58
465,2,119.53,3.1
466,2,116.7,229
467,2,116.62,28.5
468,2,116.39,40.1
469,2,116.24,35.7
470,2,116,56
471,2,115.84,186
472,2,115.16,30
473,2,115,46.1
474,2,114.24,12.5
475,2,113.52,156
476,2,113.33,39.7
477,2,112.24,12.5
478,2,112.14,203
479,2,112,78
480,2,111.8,50
481,2,111.1,503.4
482,2,110.24,12.5
483,2,110,132.8
484,2,109.26,198
485,2,109.09,114
486,2,108.24,12.5
487,2,108.21,18.4
488,2,108,26.4
489,2,107.62,89
490,2,107.19,11.6
491,2,106.73,4
492,2,106.66,210.3
493,2,105.7,180
494,2,105.61,110
495,2,105.25,143
496,2,105,5
497,2,104.74,0.4
498,2,104.62,60
499,2,104.1,1.1
500,2,104.04,70
501,2,103.09,166
502,2,103.06,5
503,2,102.61,60
504,2,102.27,45
505,2,101.9,1
506,2,101.62,60
507,2,101.54,60
508,2,100.08,25.3
509,2,100,396
510,2,99.9,1.1
511,2,99.77,206
512,2,99.61,60
513,2,99.55,206
514,2,99.04,60
515,2,98.48,174
516,2,98.34,3.8
517,2,98.06,52.4
518,2,98.02,173.8
519,2,97.81,174
520,2,97.34,162
521,2,96.38,27
522,2,95,155
523,2,92.67,2.4
524,2,90.5,0.6
525,2,90.3,8.8
526,2,90,13.1
527,2,89.02,11.9
528,2,88.49,7
529,2,86.34,9.2
530,2,86.23,90.8
531,2,85.73,10
532,2,82.23,0.8
533,2,82.12,9.1
534,2,79.76,1
535,2,79.75,5.9
536,2,79.7,3.6
537,2,77.23,0.4
538,2,75,295
539,2,72.8,2.8
540,2,72.23,3.6
541,2,71.22,2.7
542,2,69.54,4.2
543,2,69.35,3.5
544,2,69.3,99.5
545,2,69.22,6.9
546,2,69.13,2.7
547,2,69.1,2.1
548,2,67.5,6.2
549,2,66.1,3.3
550,2,66.05,1.7
551,2,64.03,14.2
552,2,63.99,7.4
553,2,58.86,0.5
554,2,53.54,0.5
555,2,50,34.3
556,2,47.89,1.9
557,2,43.75,0.5
558,2,43.72,1.3
559,2,42.78,28.8
560,2,42.75,5.8
561,2,42.6,2.7
562,2,41.59,1
563,2,37.35,1
564,2,37.31,48
565,2,37.24,2
566,2,36.22,1
567,2,36.13,0.3
568,2,34.28,6
569,2,32,25.2
570,2,31.94,1
571,2,31.79,233
572,2,31,22
573,2,30.96,0.1
574,2,30,32
575,2,29.82,4
576,2,26.7,60.7
577,2,26.69,1.5
578,2,26.67,0.2
579,2,26.64,3.7
580,2,26.62,19.6
581,2,23.42,1
582,2,21.41,5
583,2,20,32
584,2,19.47,7.7
585,2,16.07,0.6
586,2,15.97,2.5
587,2,14.3,27.8
588,2,11.22,20.6
589,2,10,17.3
590,2,6,0.1
591,2,5,143.9
592,2,3,66
593,2,1,911.7
594,2,0.2,39.5
595,2,0.1,8.4
596,2,0.01,150.6
597,2,0,11041.6
598,2,-0.01,301.6
599,2,-0.99,1.2
600,2,-1,251.8
601,2,-2,37.4
602,2,-5,31.4
603,2,-5.35,2.3
604,2,-5.36,1
605,2,-5.5,463.3
606,2,-10,87.1
607,2,-50,100
608,2,-100,371
609,2,-500,1340.4
610,2,4000,-15180.1
611,2,3999,-2.8
612,2,3950,-13.3
613,2,3500,-0.1
614,2,3000,-2628.7
615,2,2000,-8
616,2,1100,-1283.3
617,2,1000,-153.5
618,2,999,-10
619,2,900,-2.1
620,2,853,-90.6
621,2,802,-18
622,2,800,-1561
623,2,785.74,-334.7
624,2,777,-2.1
625,2,700,-93.7
626,2,650,-27.4
627,2,600,-0.1
628,2,501,-72.6
629,2,500.13,-0.5
630,2,500,-761.7
631,2,400,-234.8
632,2,375,-344.1
633,2,350,-458.5
634,2,335.63,-41.9
635,2,320,-383.9
636,2,312.64,-156.7
637,2,300,-470.3
638,2,288,-1.8
639,2,285.08,-2.5
640,2,283.82,-0.3
641,2,280,-1.2
642,2,275,-0.2
643,2,268.5,-258.8
644,2,268.32,-4.3
645,2,250,-44.3
646,2,204.45,-21.1
647,2,200.44,-2.8
648,2,200.01,-41
649,2,200,-21.1
650,2,190,-13.8
651,2,185.08,-0.3
652,2,180.87,-5.1
653,2,180,-5
654,2,174.34,-4.6
655,2,170.29,-21.7
656,2,168.32,-4.3
657,2,164.67,-40.7
658,2,161.99,-10
659,2,142,-50
660,2,137,-29
661,2,135,-25.4
662,2,134.67,-14.9
663,2,122,-30
664,2,115.16,-18.5
665,2,111.23,-10
666,2,111,-25
667,2,110.67,-22.3
668,2,110.52,-0.5
669,2,110.1,-21
670,2,108.67,-18.7
671,2,107.28,-274
672,2,106.65,-25
673,2,106.4,-25
674,2,106.23,-1
675,2,105.48,-1.6
676,2,105,-235.1
677,2,104,-25
678,2,103.9,-26
679,2,103,-200
680,2,100,-192
681,2,99.4,-25
682,2,98.34,-21
683,2,96.76,-1
684,2,96.75,-1
685,2,96.65,-25
686,2,96,-108
687,2,94.52,-40
688,2,91.2,-3
689,2,90,-34
690,2,86.23,-81.8
691,2,85.44,-0.3
692,2,85,-48.4
693,2,75,-39
694,2,72.5,-179.3
695,2,72,-14
696,2,69.99,-23
697,2,69.98,-12
698,2,69,-100
699,2,65.26,-18
700,2,60.44,-2.3
701,2,60,-15.6
702,2,58.74,-19.5
703,2,58,-25
704,2,45,-25
705,2,42.5,-60
706,2,33.66,-2.1
707,2,18,-50
708,2,13.4,-50
709,2,1,-0.2
710,2,-282,-150
