id,block_type,code_prm,p,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,MAR
1,normal,,3684,0,0,0,0,-16,24,42,0,-12,81,49,0,32,-17,7,-23,0,0,-94,0,29,0,0,87,0.8
2,normal,,1823,0,94,0,0,-97,-9,-54,0,0,-85,36,0,0,0,54,0,0,69,-60,0,-96,0,0,0,1
3,normal,,3328,0,155,28,0,60,0,0,91,54,0,193,114,140,189,0,0,33,0,0,0,59,0,0,35,0.5
4,exclusive,16,120,0,-97,0,-41,-69,-188,-8,-51,-186,-10,0,-128,0,-67,0,-175,-178,0,0,0,-194,-107,-102,0,1
5,exclusive,9,3154,184,0,0,92,165,0,0,116,0,119,0,0,82,0,0,0,136,136,134,33,181,0,105,0,0.5
6,normal,,1771,0,0,0,0,0,0,0,-3,0,44,-56,-25,76,0,-67,0,0,-47,0,83,90,0,65,0,0
7,normal,,837,16,95,30,100,134,0,121,0,0,0,150,0,78,197,0,84,0,150,0,0,168,0,155,0,0.8
8,normal,,1749,-109,-27,0,-24,0,0,-198,-22,-144,0,-120,0,-173,-160,-109,-139,-147,-35,0,-20,-152,-195,0,-20,1
9,normal,,202,0,0,43,0,-17,0,-1,31,-19,0,2,0,-75,0,0,0,-30,0,0,37,-45,0,0,0,1
10,normal,,3394,0,-41,-23,0,-109,-119,-178,-171,-16,-90,0,0,0,-187,0,0,0,-177,0,0,-195,-72,-116,0,1
11,normal,,2666,0,0,0,0,0,0,45,67,0,77,0,0,44,58,-1,0,11,17,0,0,-69,56,0,5,0.5
12,normal,,3463,-88,-1,-11,-146,-143,0,0,-195,0,0,-50,-193,0,-133,0,-71,0,0,-64,0,0,-61,0,-197,0.8
13,exclusive,18,1304,0,0,-12,11,83,20,-60,0,-27,43,-25,0,-42,0,0,-23,-30,21,0,44,53,68,97,0,1
14,normal,,2822,0,21,0,-93,0,0,0,0,0,-17,-66,27,85,0,0,-66,0,0,-89,20,24,-48,47,74,0
15,normal,,876,125,0,0,10,176,0,9,111,0,0,0,0,0,89,0,176,0,151,182,0,0,69,174,133,0
16,normal,,-198,56,0,14,8,0,186,0,147,0,0,0,0,190,0,138,104,0,0,137,102,0,0,0,80,0.5
17,exclusive,1,610,115,0,6,0,0,0,0,105,0,0,0,0,0,180,154,122,196,0,0,21,0,44,0,89,0.5
18,exclusive,10,219,0,7,187,1,166,0,0,2,79,0,6,194,0,0,27,26,73,29,0,0,0,0,100,0,0.8
19,exclusive,3,1383,0,0,0,75,54,0,0,0,174,45,0,0,39,16,0,148,0,0,0,197,0,0,21,0,0.8
20,normal,,1862,-83,-102,-157,-193,0,0,-160,0,0,0,-164,-51,-12,0,-161,0,0,-123,0,-87,-72,0,-15,0,0.8
21,exclusive,12,1861,-19,-86,37,-13,93,0,28,-61,34,-81,64,0,-91,0,0,0,0,0,-33,-8,-99,25,0,-12,0.5
22,normal,,2313,-73,53,52,-1,-32,-57,-72,-98,0,0,-26,-79,79,6,36,0,10,98,0,0,-11,0,0,-44,1
23,exclusive,1,1764,0,-17,0,0,0,-84,-86,0,-46,0,0,0,0,-38,-58,-180,0,-100,-192,-111,0,0,-24,0,0
24,exclusive,19,3901,128,83,38,41,0,0,0,0,0,0,0,94,55,154,157,0,64,0,93,0,0,78,61,63,0.5
25,normal,,1066,0,0,-96,-7,-147,-151,-41,0,-61,-17,0,-54,-74,0,0,0,0,0,0,0,0,-124,-81,0,0
26,exclusive,6,1519,23,0,124,131,0,0,0,113,52,38,0,174,0,95,102,0,91,0,0,0,75,100,0,77,1
27,exclusive,18,3949,67,0,0,0,0,0,0,145,110,0,185,174,0,156,33,0,0,0,0,64,0,0,0,0,1
28,normal,,-47,-36,-87,0,90,0,0,-12,-11,0,0,-41,0,68,0,0,81,0,0,0,-20,0,-97,-74,-19,0.8
29,exclusive,2,-238,0,13,-36,-92,0,0,76,0,95,-81,-16,0,0,-6,87,0,61,73,-92,-43,0,0,0,32,0.8
30,exclusive,8,3579,21,-13,-29,0,0,49,0,-61,-48,0,95,0,-63,0,49,0,-31,0,0,94,0,2,72,0,0.5
31,normal,,703,0,0,-139,-130,-37,-136,0,0,0,0,-193,0,-6,0,-156,-169,-47,-123,0,-126,-11,-191,-141,-92,0.8
32,normal,,2460,95,-55,45,-18,78,0,0,0,0,95,0,3,-86,0,-6,-85,37,63,0,-1,52,0,0,34,1
33,normal,,407,161,104,190,118,0,0,0,77,0,24,90,0,0,197,0,124,0,0,198,158,0,192,76,0,0.8
34,normal,,2887,55,0,30,-3,41,0,-43,0,0,0,0,0,-18,0,-62,0,0,0,64,-58,0,-21,-1,0,0.8
35,exclusive,13,2866,-13,0,0,-107,-156,-62,-109,0,-19,0,0,-37,0,-21,-181,-113,-155,0,-129,0,0,0,-48,-197,0
36,normal,,40,0,136,155,0,0,0,0,0,0,161,0,0,74,16,0,172,0,0,139,104,127,0,0,0,0.5
37,exclusive,6,3315,0,79,42,146,0,38,169,145,0,172,0,0,0,108,41,0,58,99,0,0,2,111,0,0,0.5
38,normal,,2704,-96,0,-145,0,0,0,-124,0,0,-52,0,0,0,0,0,-71,-142,0,-36,-140,0,-76,-99,-110,0
39,exclusive,13,1356,100,10,0,0,60,117,0,0,56,153,0,65,34,0,23,152,189,0,0,0,0,0,0,163,0.8
40,exclusive,4,1602,0,0,-77,-62,0,0,-138,-16,-40,0,-193,-107,-175,0,0,-132,0,-69,0,0,0,-179,0,0,0
41,exclusive,17,3904,-161,0,-97,0,0,0,-130,0,0,0,-174,0,0,-181,0,0,-13,-51,0,-198,0,0,0,0,1
42,exclusive,13,2415,-99,22,0,-48,25,0,-59,20,0,0,-100,2,-74,0,27,8,0,0,0,51,-93,0,0,0,0.5
43,normal,,509,-7,0,-29,-10,0,-151,0,0,-170,0,0,0,0,-125,-168,-12,0,0,-118,-148,-140,-161,-145,0,0.5
44,exclusive,11,3873,-87,0,0,-194,0,0,-27,0,0,-40,0,-131,0,0,0,0,-126,-194,-122,-118,-129,-128,0,-73,1
45,normal,,2882,192,184,0,0,157,0,73,149,138,0,179,0,62,0,0,94,0,0,102,25,0,56,0,0,0.5
46,exclusive,5,220,0,0,-105,-6,-105,0,-97,-128,-19,-180,-27,0,-48,-120,0,-160,-185,0,-67,-102,0,-119,-133,0,1
47,normal,,1565,0,0,0,0,2,-57,-51,34,-80,0,0,-43,39,71,-20,0,0,0,43,0,0,41,0,0,0
48,exclusive,6,1950,0,12,77,45,-86,0,0,0,51,2,0,0,39,0,56,45,0,0,-36,0,-94,0,91,0,0.8
49,exclusive,15,2731,-53,0,0,0,77,0,0,13,-1,56,87,0,-53,-55,41,-60,-44,0,24,20,-30,0,90,0,0
50,exclusive,12,2468,-102,-79,0,0,-148,0,-13,-128,-144,0,-164,-107,0,-89,0,-19,0,-190,0,0,0,0,0,0,0.5
51,exclusive,11,1173,0,67,83,-83,77,7,73,0,0,95,-65,94,48,-34,3,-58,0,-71,99,87,0,-8,0,-83,0
52,exclusive,18,84,142,60,0,97,151,0,0,1,66,88,103,80,173,186,0,0,0,0,70,141,0,0,38,98,1
53,normal,,1256,0,-103,0,-39,0,0,0,0,-198,0,-41,0,-21,0,-64,-64,-63,0,-157,0,-42,-118,-4,0,0.5
54,normal,,1622,155,7,130,0,114,0,0,0,89,7,180,0,81,0,0,0,31,56,0,0,80,9,24,71,1
55,exclusive,5,537,0,0,0,0,0,-7,0,0,-15,-127,0,0,0,0,0,0,0,-141,0,0,-130,0,0,-139,1
56,exclusive,7,1804,96,122,43,145,0,0,0,0,178,170,72,126,0,0,0,4,122,0,0,0,40,0,0,180,0.8
57,exclusive,17,629,-89,70,35,-68,0,-2,40,5,0,-80,-77,42,-12,-73,-94,0,0,0,-49,8,0,0,-70,-71,0.8
58,exclusive,1,-99,37,0,87,-11,55,0,0,0,94,0,-62,21,0,0,0,61,38,0,43,72,50,-24,-96,8,1
59,exclusive,15,3708,-176,-153,0,0,-18,-166,0,-19,-23,0,0,-60,-103,-148,-58,0,0,-166,-52,0,0,0,0,-156,0
60,exclusive,14,2372,0,0,85,34,97,0,-82,56,10,0,0,0,0,0,91,0,0,0,0,97,18,0,-1,80,0.5
61,normal,,-79,-9,0,-27,0,0,0,0,-156,0,-41,-60,-194,0,0,-102,0,-103,0,-109,-107,0,-11,-192,-147,0
62,normal,,1915,0,0,0,56,111,176,0,0,56,40,0,135,0,45,0,0,22,124,0,21,0,177,165,4,0
63,exclusive,10,-395,-10,93,0,0,0,21,0,-96,0,-2,0,0,0,-66,-63,-77,0,0,0,0,-67,0,0,-62,0.8
64,exclusive,13,-370,0,0,7,0,196,0,27,0,0,191,164,0,0,0,0,83,121,0,0,0,0,0,0,0,1
65,normal,,545,0,0,0,23,0,0,75,35,56,62,0,0,0,143,112,0,0,0,125,144,0,0,0,167,0.8
66,exclusive,12,187,0,0,143,0,0,54,19,0,20,0,33,0,123,83,0,0,0,0,129,161,54,0,126,180,0.8
67,normal,,1627,-7,-68,-64,-30,-20,-69,55,0,-96,55,0,39,0,0,0,0,-6,0,-51,0,63,0,71,-13,0.8
68,normal,,1339,0,0,0,49,-49,0,75,0,99,0,-76,0,0,0,0,0,55,0,49,68,0,-18,-29,-93,1
69,normal,,3653,148,105,0,39,152,0,0,0,0,179,0,157,110,39,94,36,58,0,0,0,0,0,0,0,0
70,exclusive,15,1790,0,30,0,0,-58,-76,-67,0,-79,0,0,0,0,0,44,-42,0,0,0,0,0,0,0,-40,0.5
71,normal,,1773,0,178,0,93,136,193,0,0,117,0,0,130,92,0,138,0,0,96,78,29,184,0,0,124,1
72,exclusive,13,1193,-76,-21,-40,0,0,-87,-99,-65,0,90,0,0,22,51,28,-96,-65,40,99,19,-11,0,54,63,0
73,exclusive,1,3298,0,105,0,115,0,0,0,192,0,0,0,14,27,186,36,0,175,81,0,25,104,88,107,58,0
74,normal,,1784,-195,-145,-113,0,0,-95,0,0,-28,0,0,-169,0,0,0,-2,-142,-72,0,-18,-168,-174,-135,0,0.8
75,exclusive,3,95,110,0,0,0,0,41,86,0,0,196,0,108,101,191,73,0,64,0,189,0,0,0,0,53,0.8
76,exclusive,1,1462,-126,0,0,-154,0,0,-119,0,-138,0,-199,0,-197,-47,0,-121,0,-133,0,-196,-186,-25,0,0,1
77,normal,,2957,-13,-108,0,0,0,-168,-56,-38,-25,-52,-52,0,0,0,0,0,-58,-36,0,0,-165,-68,0,0,0
78,exclusive,9,203,0,82,0,7,-6,-66,-59,0,0,7,48,-78,-63,64,68,0,0,0,100,0,0,0,78,0,0
79,exclusive,18,3045,155,0,34,6,0,0,103,109,0,0,38,76,179,14,114,0,111,33,0,0,0,182,0,30,1
80,normal,,2506,0,0,-61,-35,0,0,-158,-139,-107,0,-9,-96,0,0,0,-65,0,0,0,0,0,0,0,0,0.8
81,exclusive,11,2562,0,-58,-24,0,0,0,-157,0,-198,-45,-121,-122,0,-151,0,-133,-144,-162,-188,0,-15,-106,-161,0,1
