id,block_type,code_prm,p,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,MAR
1,normal,,5,0,0,0,100,110,0,0,25,0,50,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0.8
2,normal,,20,0,0,0,0,0,-20,-30,-100,-150,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0
3,normal,,40,0,0,0,0,0,0,-80,-80,-100,-90,-95,0,0,0,0,0,0,0,0,0.0,-80,-80,0,0,1.0
4,exclusive,1.0,10,0,0,0,0,0,0,0,0,0,100,120,130,90,90,0,0,0,70,80,0.0,0,0,0,0,0.0
5,exclusive,1.0,20,0,0,50,50,75,75,0,0,0,0,0,0,0,0,0,50,50,0,0,0.0,0,0,0,0,0.0
6,linked,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,30,30,35.0,35,0,0,0,0.0
7,linked,1.0,5,150,160,170,200,200,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0
8,linked,1.0,2,0,0,0,0,0,0,0,0,0,0,25,50,60,70,80,80,80,80,0,0.0,0,0,0,0,1.0
9,flexible,,1,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0
10,flexible,,30,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0
