id,t,p,q
1,1,1,100
2,1,5,200
3,1,15,300
4,1,25,500
5,2,1,100
6,2,5,200
7,2,15,300
8,2,25,500
9,3,2,100
10,3,7,200
11,3,50,700
12,4,1,100
13,4,5,200
14,4,15,300
15,4,25,700
16,5,2,100
17,5,6,150
18,5,9,200
19,5,12,250
20,5,50,600
21,6,5,200
22,6,15,300
23,6,25,500
24,7,1,50
25,7,15,150
26,7,25,250
27,7,30,400
28,8,2,100
29,8,6,150
30,8,9,200
31,8,12,250
32,8,50,600
33,9,5,50
34,9,10,100
35,9,20,150
36,9,25,200
37,9,40,250
38,9,50,600
39,10,5,50
40,10,10,150
41,10,20,250
42,10,25,400
43,11,10,50
44,11,20,150
45,11,25,250
46,11,30,400
47,11,35,500
48,12,10,50
49,12,20,150
50,12,25,250
51,12,40,400
52,12,50,500
53,13,5,250
54,13,10,400
55,13,15,600
56,14,10,200
57,14,20,250
58,14,25,300
59,14,30,350
60,14,35,400
61,14,40,600
62,15,2,100
63,15,6,200
64,15,9,300
65,15,20,400
66,16,5,100
67,16,10,200
68,16,15,300
69,16,20,400
70,17,2,100
71,17,10,150
72,17,15,200
73,17,30,500
74,18,2,100
75,18,5,150
76,18,7,200
77,18,15,500
78,19,5,100
79,19,10,200
80,19,15,300
81,20,5,100
82,20,10,200
83,20,15,300
84,21,2,100
85,21,5,200
86,21,8,300
87,21,15,400
88,22,2,100
89,22,5,200
90,22,8,300
91,22,15,400
92,23,2,100
93,23,4,150
94,23,10,200
95,23,15,300
96,24,2,100
97,24,4,150
98,24,10,200
99,24,15,300
100,24,20,400
101,1,50,-200
102,1,30,-150
103,1,20,-100
104,1,10,-80
105,2,50,-200
106,2,30,-150
107,2,20,-100
108,3,60,-400
109,3,40,-350
110,3,35,-200
111,3,30,-100
112,4,20,-80
113,4,15,-70
114,4,10,-50
115,5,50,-200
116,5,30,-150
117,5,20,-100
118,6,50,-300
119,6,45,-280
120,6,40,-250
121,6,35,-200
122,7,50,-400
123,7,40,-300
124,7,30,-250
125,7,25,-200
126,7,20,-100
127,8,50,-200
128,8,40,-150
129,8,30,-100
130,8,25,-80
131,8,20,-60
132,9,50,-200
133,9,40,-150
134,9,30,-100
135,9,25,-80
136,10,60,-400
137,10,40,-350
138,10,35,-200
139,10,30,-100
140,10,25,-80
141,11,60,-400
142,11,40,-350
143,11,35,-200
144,11,30,-100
145,11,25,-80
146,12,50,-200
147,12,40,-150
148,12,30,-100
149,12,25,-80
150,12,20,-60
151,13,50,-200
152,13,40,-150
153,13,30,-100
154,13,25,-80
155,13,20,-60
156,14,60,-400
157,14,40,-350
158,14,35,-200
159,14,30,-100
160,15,50,-450
161,15,40,-350
162,15,35,-200
163,15,30,-100
164,15,25,-80
165,16,50,-450
166,16,40,-350
167,16,35,-200
168,16,30,-100
169,16,25,-80
170,17,50,-200
171,17,40,-150
172,17,30,-100
173,17,25,-80
174,18,20,-60
175,18,40,-150
176,18,30,-100
177,18,25,-80
178,19,40,-150
179,19,30,-100
180,19,25,-80
181,20,50,-200
182,20,40,-150
183,20,30,-100
184,20,25,-80
185,21,40,-150
186,21,30,-100
187,21,25,-80
188,21,20,-70
189,22,40,-150
190,22,30,-100
191,22,25,-80
192,22,20,-70
193,23,40,-150
194,23,30,-100
195,23,25,-70
196,24,30,-100
197,24,28,-90
198,24,26,-80
199,24,24,-70
200,24,20,-65
