bid_datetime_beginning_utc,bid_datetime_beginning_ept,unit_code,bid_slope_flag,mw1,mw2,mw3,mw4,mw5,mw6,mw7,mw8,mw9,mw10,mw11,mw12,mw13,mw14,mw15,mw16,mw17,mw18,mw19,mw20,bid1,bid2,bid3,bid4,bid5,bid6,bid7,bid8,bid9,bid10,bid11,bid12,bid13,bid14,bid15,bid16,bid17,bid18,bid19,bid20,no_load_cost,cold_start_cost,inter_start_cost,hot_start_cost,max_daily_starts,min_runtime,max_ecomax,min_ecomax,avg_ecomax,max_ecomin,min_ecomin,avg_ecomin
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAAABg8LDwQOMS45NjYyMjEwNA,True,1.00,515.00,794.00,795.00,834.00,1216.00,1217.00,1256.00,1499.00,,,,,,,,,,,,14.29,16.04,18.45,18.46,18.88,24.04,27.40,27.40,27.40,,,,,,,,,,,,6877.43,24815.86,24815.86,11275.36,1,24.00,1224.00,1224.00,1224.00,801.00,801.00,801.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAAADQYJAg8BLjUxMzM5MDA3,True,1.50,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,3,2.00,0.00,0.00,0.00,0.00,0.00,0.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAAADQYJAgAJLjEwNTAyMjEw,True,,25.00,49.00,51.10,,,,,,,,,,,,,,,,,,38.54,48.70,48.70,,,,,,,,,,,,,,,,,385.43,48.61,48.61,48.61,6,1.00,46.90,46.90,46.90,25.00,25.00,25.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAAADQYJAgALLjEwNTAyMjEy,True,,25.00,48.90,51.10,,,,,,,,,,,,,,,,,,38.62,46.94,46.94,,,,,,,,,,,,,,,,,379.40,62.39,62.39,62.39,6,1.00,46.90,46.90,46.90,25.00,25.00,25.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAAADQYJAgANLjEwNTAyMjEz,True,,25.00,48.90,51.10,,,,,,,,,,,,,,,,,,38.62,46.94,46.94,,,,,,,,,,,,,,,,,379.40,62.39,62.39,62.39,6,1.00,46.90,46.90,46.90,25.00,25.00,25.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAAADQYJAgAPLjEwNTAyMjE0,True,,25.00,48.90,51.10,,,,,,,,,,,,,,,,,,38.62,46.94,46.94,,,,,,,,,,,,,,,,,379.40,62.39,62.39,62.39,6,1.00,46.90,46.90,46.90,25.00,25.00,25.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAAADQYJAgMBLjEwNTAyMjEx,True,,25.00,49.00,51.10,,,,,,,,,,,,,,,,,,38.54,48.70,48.70,,,,,,,,,,,,,,,,,385.43,48.61,48.61,48.61,6,1.00,46.90,46.90,46.90,25.00,25.00,25.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAAADQYNDg4PLjU0MDYwMTAx,True,2.50,,,,,,,,,,,,,,,,,,,,280.46,,,,,,,,,,,,,,,,,,,,0.00,112.30,112.30,112.30,12,1.00,2.50,2.50,2.50,2.50,2.50,2.50
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAACDA8JAgYMMS41MTUxMDEwMg,True,,162.00,275.40,275.50,324.00,324.10,368.60,,,,,,,,,,,,,,,19.65,20.13,20.13,20.34,28.33,28.33,,,,,,,,,,,,,,0.00,1403.55,1039.70,675.85,2,6.00,368.60,368.60,368.60,162.00,162.00,162.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAACDA8JAgYMMy41MTUxMDEwMQ,True,,162.00,275.40,275.50,324.00,324.10,368.60,,,,,,,,,,,,,,,19.65,20.13,20.13,20.34,28.33,28.33,,,,,,,,,,,,,,0.00,1403.55,1039.70,675.85,2,6.00,368.60,368.60,368.60,162.00,162.00,162.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAADAQQOAQMLOS43MDA0MjEwMw,True,350.00,351.00,400.00,500.00,600.00,700.70,701.70,750.00,751.00,,,,,,,,,,,,21.61,21.77,22.28,23.34,24.39,25.45,31.14,31.15,231.15,,,,,,,,,,,,3535.91,5037.47,2991.86,2315.09,4,8.00,750.00,750.00,750.00,350.00,350.00,350.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAAEBAANBAcIMC44NjQwMDEwMQ,True,,180.00,180.10,279.00,279.10,292.00,292.10,300.00,,,,,,,,,,,,,,12.53,17.67,17.67,134.07,134.07,184.07,184.07,,,,,,,,,,,,,0.00,479.55,382.42,310.85,3,8.00,300.00,300.00,300.00,180.00,180.00,180.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAAEBAANBAcIMS44NjQwMDEwMg,True,,180.00,180.10,279.00,279.10,292.00,292.10,300.00,,,,,,,,,,,,,,87.53,92.67,92.67,134.07,134.07,184.07,184.07,,,,,,,,,,,,,1526.61,479.55,382.42,310.85,3,8.00,279.00,279.00,279.00,180.00,180.00,180.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAAGBAcLAwMONy44NjMyMjEzMQ,True,100.80,,,,,,,,,,,,,,,,,,,,388.84,,,,,,,,,,,,,,,,,,,,13456.16,5714.59,5714.59,5714.59,6,1.00,100.80,100.80,100.80,100.80,100.80,100.80
