period,node,buyer,inelastic_dem,max_dem
1,3371,3371,309.3215016291952,309.3215016291952
2,3371,3371,303.1338570602197,303.1338570602197
3,3371,3371,305.16491579110846,305.16491579110846
4,3371,3371,312.8707940958027,312.8707940958027
5,3371,3371,330.35409500586803,330.35409500586803
6,3371,3371,378.5866838503155,378.5866838503155
7,3371,3371,415.9824591563633,415.9824591563633
8,3371,3371,431.0095964053331,431.0095964053331
9,3371,3371,435.3821085571757,435.3821085571757
10,3371,3371,441.4482945746635,441.4482945746635
11,3371,3371,444.98409164666117,444.98409164666117
12,3371,3371,439.2350474025023,439.2350474025023
13,3371,3371,431.43470194958087,431.43470194958087
14,3371,3371,419.99059565374296,419.99059565374296
15,3371,3371,411.8326216296225,411.8326216296225
16,3371,3371,404.76777518293187,404.76777518293187
17,3371,3371,408.6004709363438,408.6004709363438
18,3371,3371,425.9083323305236,425.9083323305236
19,3371,3371,419.3495637957393,419.3495637957393
20,3371,3371,391.9403897115136,391.9403897115136
21,3371,3371,373.485419161465,373.485419161465
22,3371,3371,363.2828910118461,363.2828910118461
23,3371,3371,339.8751057276952,339.8751057276952
24,3371,3371,320.0436030853301,320.0436030853301
1,3372,3372,269.80488742757296,269.80488742757296
2,3372,3372,264.4077303027652,264.4077303027652
3,3372,3372,266.1793160779536,266.1793160779536
4,3372,3372,272.9007486895829,272.9007486895829
5,3372,3372,288.1505131225683,288.1505131225683
6,3372,3372,330.22126518789554,330.22126518789554
7,3372,3372,362.83963440430415,362.83963440430415
8,3372,3372,375.9470163756916,375.9470163756916
9,3372,3372,379.7609288993602,379.7609288993602
10,3372,3372,385.0521441137653,385.0521441137653
11,3372,3372,388.13623405239707,388.13623405239707
12,3372,3372,383.12164493737697,383.12164493737697
13,3372,3372,376.31781359769684,376.31781359769684
14,3372,3372,366.3357211967646,366.3357211967646
15,3372,3372,359.21994925196964,359.21994925196964
16,3372,3372,353.057655036395,353.057655036395
17,3372,3372,356.4007140893446,356.4007140893446
18,3372,3372,371.49745185401076,371.49745185401076
19,3372,3372,365.77658280070995,365.77658280070995
20,3372,3372,341.86900091801783,341.86900091801783
21,3372,3372,325.771700130619,325.771700130619
22,3372,3372,316.8725710872575,316.8725710872575
23,3372,3372,296.4551903353368,296.4551903353368
24,3372,3372,279.1572129565864,279.1572129565864
1,3373,3373,1073.789024424883,1073.789024424883
2,3373,3373,1052.3090277540634,1052.3090277540634
3,3373,3373,1059.359713082124,1059.359713082124
4,3373,3373,1086.1101572108148,1086.1101572108148
5,3373,3373,1146.8022737596689,1146.8022737596689
6,3373,3373,1314.2384986841553,1314.2384986841553
7,3373,3373,1444.0554460091746,1444.0554460091746
8,3373,3373,1496.2211537323108,1496.2211537323108
9,3373,3373,1511.4000389151497,1511.4000389151497
10,3373,3373,1532.4584003009247,1532.4584003009247
11,3373,3373,1544.732684721851,1544.732684721851
12,3373,3373,1524.7752599136938,1524.7752599136938
13,3373,3373,1497.6968793615706,1497.6968793615706
14,3373,3373,1457.9694253368789,1457.9694253368789
15,3373,3373,1429.6495609805208,1429.6495609805208
16,3373,3373,1405.1244163211704,1405.1244163211704
17,3373,3373,1418.4293647722066,1418.4293647722066
18,3373,3373,1478.5124547075984,1478.5124547075984
19,3373,3373,1455.7441258675387,1455.7441258675387
20,3373,3373,1360.5950006202602,1360.5950006202602
21,3373,3373,1296.5297975278404,1296.5297975278404
22,3373,3373,1261.1123994784168,1261.1123994784168
23,3373,3373,1179.8538293763402,1179.8538293763402
24,3373,3373,1111.0100866586022,1111.0100866586022
1,3374,3374,107.04328375994254,107.04328375994254
2,3374,3374,104.90199778430252,104.90199778430252
3,3374,3374,105.6048625865181,105.6048625865181
4,3374,3374,108.27154600052076,108.27154600052076
5,3374,3374,114.32178799960441,114.32178799960441
6,3374,3374,131.0130773763838,131.0130773763838
7,3374,3374,143.95419710593612,143.95419710593612
8,3374,3374,149.15446319855764,149.15446319855764
9,3374,3374,150.66760747255177,150.66760747255177
10,3374,3374,152.76686170412134,152.76686170412134
11,3374,3374,153.99045375091393,153.99045375091393
12,3374,3374,152.00094907330606,152.00094907330606
13,3374,3374,149.3015745152982,149.3015745152982
14,3374,3374,145.3412461477189,145.3412461477189
15,3374,3374,142.5181112418985,142.5181112418985
16,3374,3374,140.07326224520608,140.07326224520608
17,3374,3374,141.39959855528198,141.39959855528198
18,3374,3374,147.38912824764682,147.38912824764682
19,3374,3374,145.11941173040864,145.11941173040864
20,3374,3374,135.63423858961423,135.63423858961423
21,3374,3374,129.24774221297898,129.24774221297898
22,3374,3374,125.71707231115738,125.71707231115738
23,3374,3374,117.61661311525297,117.61661311525297
24,3374,3374,110.75375633500394,110.75375633500394
1,3375,3375,1169.3060959730958,1169.3060959730958
2,3375,3375,1145.915382828003,1145.915382828003
3,3375,3375,1153.5932498459724,1153.5932498459724
4,3375,3375,1182.7232341149204,1182.7232341149204
5,3375,3375,1248.814114393842,1248.814114393842
6,3375,3375,1431.144343179506,1431.144343179506
7,3375,3375,1572.5089356785445,1572.5089356785445
8,3375,3375,1629.3149549746386,1629.3149549746386
9,3375,3375,1645.844052004547,1645.844052004547
10,3375,3375,1668.7756240168228,1668.7756240168228
11,3375,3375,1682.141746477223,1682.141746477223
12,3375,3375,1660.4090429784128,1660.4090429784128
13,3375,3375,1630.9219512607121,1630.9219512607121
14,3375,3375,1587.660609310003,1587.660609310003
15,3375,3375,1556.821599713349,1556.821599713349
16,3375,3375,1530.1148626332601,1530.1148626332601
17,3375,3375,1544.60333008499,1544.60333008499
18,3375,3375,1610.0310088266142,1610.0310088266142
19,3375,3375,1585.237362121144,1585.237362121144
20,3375,3375,1481.6244086941524,1481.6244086941524
21,3375,3375,1411.8603947102665,1411.8603947102665
22,3375,3375,1373.292502414219,1373.292502414219
23,3375,3375,1284.8057147779741,1284.8057147779741
24,3375,3375,1209.8380943251857,1209.8380943251857
1,3378,3378,571.5002426079208,571.5002426079208
2,3378,3378,560.0679937868214,560.0679937868214
3,3378,3378,563.8205636901102,563.8205636901102
4,3378,3378,578.0578905407963,578.0578905407963
5,3378,3378,610.3599150009883,610.3599150009883
6,3378,3378,699.4741087477064,699.4741087477064
7,3378,3378,768.5662816078307,768.5662816078307
8,3378,3378,796.330315269428,796.330315269428
