seller,node
1,3371
2,3371
3,3371
4,3371
5,3372
6,3372
7,3372
8,3372
9,3372
10,3372
11,3373
12,3373
13,3373
14,3373
15,3373
16,3374
17,3374
18,3374
19,3374
20,3374
21,3374
22,3375
23,3375
24,3375
25,3375
26,3375
27,3378
28,3378
29,3378
30,3378
31,3378
32,3378
33,3379
34,3379
35,3379
36,3379
37,3379
38,3379
39,3381
40,3381
41,3381
42,3381
43,3381
44,3394
45,3394
46,3394
47,3394
48,3394
49,3566
50,3566
51,3566
52,3566
53,3566
54,3571
55,3571
56,3571
57,3571
58,3572
59,3572
60,3572
61,3572
62,3573
63,3573
64,3573
65,3573
66,3573
67,3600
68,3600
69,3600
70,3600
71,3600
72,3602
73,3602
74,3602
75,3602
76,3741
77,3741
78,3741
79,3741
80,3743
81,3743
82,3743
83,3743
84,3743
85,3745
86,3745
87,3745
88,3745
89,3745
90,3745
91,3747
92,3747
93,3747
94,3747
95,3748
96,3748
97,3748
98,3748
99,3748
100,3748
101,3749
102,3749
103,3749
104,3749
105,3749
106,3750
107,3750
108,3750
109,3750
110,3751
111,3751
112,3751
113,3752
114,3752
115,3752
116,3752
117,3752
118,3754
119,3754
120,3754
121,3754
122,3755
123,3755
124,3755
125,3755
126,3778
127,3778
128,3778
129,3778
130,3779
131,3779
132,3779
133,3779
134,3792
135,3792
136,3792
137,3792
138,3793
139,3793
140,3793
141,3793
142,3794
143,3794
144,3794
145,3794
146,3794
147,3796
148,3796
149,3796
150,3796
151,3796
152,3796
153,3798
154,3798
155,3798
156,3798
157,3799
158,3799
159,3799
160,3799
161,3803
162,3803
163,3803
164,3803
165,3806
166,3806
167,3806
168,3806
169,3806
170,4548
171,4548
172,4548
173,4548
174,4553
175,4553
176,4553
177,4554
178,4554
179,4554
180,4554
181,4554
182,4554
183,4554
184,4557
185,4557
186,4557
187,4557
188,4559
189,4559
190,4559
191,4559
192,4559
193,4559
194,4562
195,4562
196,4562
197,4562
198,4562
199,4562
200,4562
201,4565
202,4565
203,4565
204,4565
205,4566
206,4566
207,4566
208,4567
209,4567
210,4567
211,4567
212,4568
213,4568
214,4568
215,4568
216,4571
217,4571
218,4571
219,4571
220,4571
221,4571
222,4573
223,4573
224,4573
225,4573
226,4573
227,4573
228,4577
229,4577
230,4577
231,4577
232,4577
233,4584
234,4584
235,4584
236,4584
237,4585
238,4585
239,4585
240,4585
241,4589
242,4589
243,4589
244,4589
245,4589
246,4590
247,4590
248,4590
249,4590
250,4592
251,4592
252,4592
253,4592
254,4592
255,4620
256,4620
257,4620
258,4620
259,4625
260,4625
261,4625
262,4625
263,4625
264,4626
265,4626
266,4626
267,4626
268,4626
269,4627
270,4627
271,4627
272,4627
273,4627
274,4666
275,4666
276,4666
277,4685
278,4685
279,4685
280,4685
281,4691
282,4691
283,4691
284,4691
285,4691
286,4693
287,4693
288,4693
289,4695
290,4695
291,4695
292,4695
293,4698
294,4698
295,4698
296,4698
297,4698
298,4700
299,4700
300,4700
301,4700
302,4701
303,4701
304,4701
305,4701
306,4703
307,4703
308,4703
309,4705
310,4705
311,4705
312,4705
313,4705
314,4709
315,4709
316,4709
317,4709
318,4709
319,4709
320,4710
321,4710
322,4710
323,4713
324,4713
325,4713
326,4713
327,4713
328,4715
329,4715
330,4715
331,4716
332,4716
333,4716
334,4716
335,4716
336,4717
337,4717
338,4717
339,4719
340,4719
341,4719
342,4719
343,4719
344,4719
345,4720
346,4720
347,4720
348,4720
349,4720
350,4722
351,4722
352,4722
353,4722
354,4722
355,4723
356,4723
357,4723
358,4723
359,4724
360,4724
361,4724
362,4728
363,4728
364,4728
365,4730
366,4730
367,4730
368,4730
369,4731
370,4731
371,4731
372,4733
373,4733
374,4733
375,4733
376,4733
377,4736
378,4736
379,4736
380,4736
381,4736
382,4738
383,4738
384,4738
385,4740
386,4740
387,4740
388,4742
389,4742
390,4742
391,4742
392,4744
393,4744
394,4744
395,4744
396,4744
397,4746
398,4746
399,4746
400,4748
401,4748
402,4748
403,4748
404,4749
405,4749
406,4749
407,4750
408,4750
409,4752
410,4752
411,4752
412,4754
