node,period,price
1,1,11.09
1,2,11.06
1,3,11.06
1,4,11.09
1,5,11.45
1,6,14.9
1,7,28.21
1,8,28.21
1,9,28.21
1,10,28.21
1,11,28.21
1,12,28.21
1,13,28.21
1,14,28.21
1,15,28.21
1,16,28.21
1,17,28.21
1,18,28.21
1,19,28.21
1,20,28.21
1,21,28.21
1,22,28.21
1,23,28.21
1,24,14.9
2,1,11.09
2,2,11.06
2,3,11.06
2,4,11.09
2,5,11.45
2,6,14.9
2,7,28.21
2,8,28.21
2,9,28.21
2,10,28.21
2,11,28.21
2,12,28.21
2,13,28.21
2,14,28.21
2,15,28.21
2,16,28.21
2,17,28.21
2,18,28.21
2,19,28.21
2,20,28.21
2,21,28.21
2,22,28.21
2,23,28.21
2,24,14.9
