variable,value
"p_gen[3371 onwind,1]",0.0
"p_gen[3371 onwind,2]",0.0
"p_gen[3371 onwind,3]",0.0
"p_gen[3371 onwind,4]",0.0
"p_gen[3371 onwind,5]",0.0
"p_gen[3371 onwind,6]",0.0
"p_gen[3371 onwind,7]",0.0
"p_gen[3371 onwind,8]",0.0
"p_gen[3371 onwind,9]",0.0
"p_gen[3371 onwind,10]",0.0
"p_gen[3371 onwind,11]",0.0
"p_gen[3371 onwind,12]",0.0
"p_gen[3371 onwind,13]",0.0
"p_gen[3371 onwind,14]",0.0
"p_gen[3371 onwind,15]",0.0
"p_gen[3371 onwind,16]",0.0
"p_gen[3371 onwind,17]",0.0
"p_gen[3371 onwind,18]",0.0
"p_gen[3371 onwind,19]",4.860466230534168
"p_gen[3371 onwind,20]",4.893391337116378
"p_gen[3371 onwind,21]",6.10638637925367
"p_gen[3371 onwind,22]",8.711503114594414
"p_gen[3371 onwind,23]",5.823080019962126
"p_gen[3371 onwind,24]",3.8821812572188863
"p_gen[3371 ror,1]",42.93954332891182
"p_gen[3371 ror,2]",42.928113850689165
"p_gen[3371 ror,3]",42.916719123478494
"p_gen[3371 ror,4]",42.905380481745745
"p_gen[3371 ror,5]",42.89389874614902
"p_gen[3371 ror,6]",42.88233893613458
"p_gen[3371 ror,7]",42.87085908109378
"p_gen[3371 ror,8]",42.85933968729302
"p_gen[3371 ror,9]",42.84803593001456
"p_gen[3371 ror,10]",42.838059923310986
"p_gen[3371 ror,11]",42.831620488655375
"p_gen[3371 ror,12]",42.832177116670266
"p_gen[3371 ror,13]",42.848891472058504
"p_gen[3371 ror,14]",42.87145798936717
"p_gen[3371 ror,15]",42.89454638324868
"p_gen[3371 ror,16]",42.908733940000275
"p_gen[3371 ror,17]",42.90967785661308
"p_gen[3371 ror,18]",42.89857948244593
"p_gen[3371 ror,19]",42.88662218035866
"p_gen[3371 ror,20]",42.87460799861763
"p_gen[3371 ror,21]",42.86272862034224
"p_gen[3371 ror,22]",42.85084148273609
"p_gen[3371 ror,23]",42.838683710516634
"p_gen[3371 ror,24]",42.82649247554566
"p_gen[3371 solar,1]",0.0
"p_gen[3371 solar,2]",0.0
"p_gen[3371 solar,3]",0.0
"p_gen[3371 solar,4]",0.0
"p_gen[3371 solar,5]",0.0
"p_gen[3371 solar,6]",0.0
"p_gen[3371 solar,7]",0.0
"p_gen[3371 solar,8]",12.070735383762615
"p_gen[3371 solar,9]",17.168080344830372
"p_gen[3371 solar,10]",15.684951934156718
"p_gen[3371 solar,11]",16.677430892039197
"p_gen[3371 solar,12]",16.80877840540299
"p_gen[3371 solar,13]",11.74585068058659
"p_gen[3371 solar,14]",15.26999562428222
"p_gen[3371 solar,15]",12.079520802057765
"p_gen[3371 solar,16]",11.147709946218908
"p_gen[3371 solar,17]",0.0
"p_gen[3371 solar,18]",0.0
"p_gen[3371 solar,19]",0.0
"p_gen[3371 solar,20]",0.0
"p_gen[3371 solar,21]",0.0
"p_gen[3371 solar,22]",0.0
"p_gen[3371 solar,23]",0.0
"p_gen[3371 solar,24]",0.0
"p_gen[3372 onwind,1]",0.0
"p_gen[3372 onwind,2]",0.0
"p_gen[3372 onwind,3]",0.0
"p_gen[3372 onwind,4]",0.0
"p_gen[3372 onwind,5]",0.0
"p_gen[3372 onwind,6]",0.0
"p_gen[3372 onwind,7]",0.0
"p_gen[3372 onwind,8]",0.0
"p_gen[3372 onwind,9]",0.0
"p_gen[3372 onwind,10]",0.0
"p_gen[3372 onwind,11]",0.0
"p_gen[3372 onwind,12]",0.0
"p_gen[3372 onwind,13]",0.0
"p_gen[3372 onwind,14]",0.0
"p_gen[3372 onwind,15]",0.0
"p_gen[3372 onwind,16]",0.0
"p_gen[3372 onwind,17]",0.0
"p_gen[3372 onwind,18]",0.2817163772698557
"p_gen[3372 onwind,19]",0.6127579227232336
"p_gen[3372 onwind,20]",0.613046203785846
"p_gen[3372 onwind,21]",0.8016438342142712
"p_gen[3372 onwind,22]",1.0831415892488028
"p_gen[3372 onwind,23]",0.6892313565676662
"p_gen[3372 onwind,24]",0.4483412101109171
"p_gen[3372 ror,1]",42.00395636577621
"p_gen[3372 ror,2]",41.99277591839998
"p_gen[3372 ror,3]",41.98162946486435
"p_gen[3372 ror,4]",41.97053787479699
"p_gen[3372 ror,5]",41.959306308647825
"p_gen[3372 ror,6]",41.94799836921019
"p_gen[3372 ror,7]",41.936768642649625
"p_gen[3372 ror,8]",41.9255002388182
"p_gen[3372 ror,9]",41.91444277316182
"p_gen[3372 ror,10]",41.90468412834099
"p_gen[3372 ror,11]",41.898384999115905
"p_gen[3372 ror,12]",41.8989294990792
"p_gen[3372 ror,13]",41.9152796742249
"p_gen[3372 ror,14]",41.93735450162791
"p_gen[3372 ror,15]",41.95993983472579
"p_gen[3372 ror,16]",41.97381826631893
"p_gen[3372 ror,17]",41.97474161643269
"p_gen[3372 ror,18]",41.96388505886822
"p_gen[3372 ror,19]",41.95218828809483
"p_gen[3372 ror,20]",41.940435876995465
"p_gen[3372 ror,21]",41.92881533220042
"p_gen[3372 ror,22]",41.91718719713859
"p_gen[3372 ror,23]",41.905294324177646
"p_gen[3372 ror,24]",41.89336871756738
"p_gen[3372 solar,1]",0.0
"p_gen[3372 solar,2]",0.0
"p_gen[3372 solar,3]",0.0
"p_gen[3372 solar,4]",0.0
"p_gen[3372 solar,5]",0.0
"p_gen[3372 solar,6]",0.0
"p_gen[3372 solar,7]",0.0
"p_gen[3372 solar,8]",8.91692868363515
"p_gen[3372 solar,9]",12.288594832858095
"p_gen[3372 solar,10]",11.689493928455478
"p_gen[3372 solar,11]",12.423269425122925
"p_gen[3372 solar,12]",11.89154069869434
"p_gen[3372 solar,13]",8.655212551838602
"p_gen[3372 solar,14]",11.39356254088479
"p_gen[3372 solar,15]",8.960932310760576
"p_gen[3372 solar,16]",8.212520092092676
"p_gen[3372 solar,17]",0.0
"p_gen[3372 solar,18]",0.0
"p_gen[3372 solar,19]",0.0
"p_gen[3372 solar,20]",0.0
"p_gen[3372 solar,21]",0.0
"p_gen[3372 solar,22]",0.0
"p_gen[3372 solar,23]",0.0
"p_gen[3372 solar,24]",0.0
"p_gen[3373 onwind,1]",0.8543178589304233
"p_gen[3373 onwind,2]",1.2586369747506378
"p_gen[3373 onwind,3]",1.015384915300751
"p_gen[3373 onwind,4]",0.9707863246138987
"p_gen[3373 onwind,5]",0.957252925865266
"p_gen[3373 onwind,6]",1.1484552411894533
"p_gen[3373 onwind,7]",0.8798098725227161
"p_gen[3373 onwind,8]",0.0
"p_gen[3373 onwind,9]",0.0
"p_gen[3373 onwind,10]",0.0
"p_gen[3373 onwind,11]",0.0
"p_gen[3373 onwind,12]",0.0
"p_gen[3373 onwind,13]",0.0
"p_gen[3373 onwind,14]",0.0
"p_gen[3373 onwind,15]",0.0
"p_gen[3373 onwind,16]",0.0
"p_gen[3373 onwind,17]",0.0
"p_gen[3373 onwind,18]",1.2318359917045691
"p_gen[3373 onwind,19]",2.3519506566888415
"p_gen[3373 onwind,20]",2.5737523859546023
"p_gen[3373 onwind,21]",3.1259784886774185
"p_gen[3373 onwind,22]",3.6085980578799495
"p_gen[3373 onwind,23]",2.5460163835845413
"p_gen[3373 onwind,24]",0.7738205196864136
"p_gen[3373 ror,1]",613.2666315250874
"p_gen[3373 ror,2]",613.1033946327894
"p_gen[3373 ror,3]",612.9406540577418
"p_gen[3373 ror,4]",612.7787145009145
"p_gen[3373 ror,5]",612.6147312637387
"p_gen[3373 ror,6]",612.4496329604259
"p_gen[3373 ror,7]",612.2856765816322
"p_gen[3373 ror,8]",612.1211555065175
"p_gen[3373 ror,9]",611.9597141732955
"p_gen[3373 ror,10]",611.8172358985015
"p_gen[3373 ror,11]",611.7252672818368
"p_gen[3373 ror,12]",611.7332170962649
"p_gen[3373 ror,13]",611.9719331055172
"p_gen[3373 ror,14]",612.2942302464115
"p_gen[3373 ror,15]",612.6239808782377
"p_gen[3373 ror,16]",612.8266089097465
"p_gen[3373 ror,17]",612.8400900163605
"p_gen[3373 ror,18]",612.6815819836994
"p_gen[3373 ror,19]",612.5108066607884
"p_gen[3373 ror,20]",612.3392189773698
"p_gen[3373 ror,21]",612.1695565698366
"p_gen[3373 ror,22]",611.9997833428054
"p_gen[3373 ror,23]",611.8261448865517
"p_gen[3373 ror,24]",611.6520285121061
"p_gen[3373 solar,1]",0.0
"p_gen[3373 solar,2]",0.0
"p_gen[3373 solar,3]",0.0
"p_gen[3373 solar,4]",0.0
"p_gen[3373 solar,5]",0.0
"p_gen[3373 solar,6]",0.0
"p_gen[3373 solar,7]",0.0
"p_gen[3373 solar,8]",115.76704132414568
"p_gen[3373 solar,9]",165.61116906040436
"p_gen[3373 solar,10]",162.13570806387455
"p_gen[3373 solar,11]",170.06251661050277
"p_gen[3373 solar,12]",167.22930981962836
"p_gen[3373 solar,13]",120.96992169084083
"p_gen[3373 solar,14]",139.54323242698572
"p_gen[3373 solar,15]",105.90990524652064
"p_gen[3373 solar,16]",88.035216372799
"p_gen[3373 solar,17]",0.0
"p_gen[3373 solar,18]",0.0
"p_gen[3373 solar,19]",0.0
"p_gen[3373 solar,20]",0.0
"p_gen[3373 solar,21]",0.0
