node,zone
3371,4
3372,4
3373,4
3374,4
3375,4
3378,4
3379,4
3381,4
3394,4
3566,4
3571,4
3572,4
3573,4
3600,4
3602,4
3741,4
3743,4
3745,4
3747,4
3748,4
3749,4
3750,4
3751,4
3752,4
3754,4
3755,4
3778,4
3779,4
3792,4
3793,4
3794,4
3796,4
3798,4
3799,4
3803,4
3806,4
4548,3
4553,3
4554,3
4557,3
4559,3
4562,3
4565,3
4566,3
4567,3
4568,3
4571,3
4573,3
4577,3
4584,4
4585,4
4589,4
4590,4
4592,4
4620,3
4625,3
4626,3
4627,3
4666,2
4685,2
4691,2
4693,2
4695,2
4698,2
4700,2
4701,2
4703,2
4705,2
4709,2
4710,2
4713,2
4715,2
4716,2
4717,2
4719,2
4720,2
4722,2
4723,1
4724,1
4728,2
4730,2
4731,2
4733,2
4736,1
4738,1
4740,1
4742,1
4744,1
4746,1
4748,1
4749,1
4750,2
4752,2
4754,2
4755,2
4757,2
4759,2
4761,2
4763,2
4765,2
4766,2
4768,2
4773,2
4775,2
4777,2
4778,1
4779,2
4795,2
4796,2
4798,2
4800,2
4831,2
4832,2
4834,2
4836,2
4845,2
4846,2
4847,2
4848,2
4849,2
4850,2
4852,2
4853,2
4854,2
4859,4
4861,4
4863,1
4864,1
4867,1
4869,1
4870,1
4871,1
4876,1
4877,1
4883,1
4884,1
4885,1
4886,1
4887,1
4888,1
4890,1
4891,1
4896,1
4898,3
4900,3
4901,2
4902,2
4905,2
4907,2
4909,2
4911,2
4913,2
4915,4
4917,4
4918,4
4920,4
4923,4
4924,4
4925,4
4930,4
4931,4
4932,4
4937,4
4938,4
4941,4
4942,4
4944,4
4945,4
4946,4
4947,4
4948,4
4949,4
5622,3
5679,3
5685,3
5687,3
5689,3
5691,3
5693,3
5695,3
5696,3
5699,3
5701,3
5703,3
5704,3
5706,3
5709,3
5711,3
5783,1
5786,1
5787,1
5789,1
5792,1
5796,1
5833,3
5853,1
5856,3
5858,3
5861,3
5863,3
5864,3
5865,1
5867,1
5870,1
5871,1
5873,1
5875,1
5878,3
5879,3
5880,3
5882,1
5883,1
5886,1
5887,1
7023,2
7074,3
7208,4
7317,2
7328,2
7330,1
7373,3
7420,4
7459,2
7468,4
7812,1
7888,2
7897,2
7900,4
7902,3
7903,2
7914,4
7949,4
8038,3
8039,3
8040,3
8042,3
8099,3
8101,1
8121,1
8225,3
8312,2
8351,3
8414,1
8593,4
8596,4
8599,2
8610,1
8685,4
8737,3
8806,3
8834,3
8848,1
5678,3
3396,4
4697,2
4865,1
4892,1
5793,1
5860,3
7315,4
7316,2
7318,3
7319,4
7320,1
7321,1
7322,4
7326,4
7327,2
7329,1
7362,4
7363,4
7372,4
7374,3
7375,3
7424,1
7460,1
7474,3
7476,3
7623,4
7630,1
7636,1
7677,4
7703,4
7713,4
7761,2
7808,4
7810,4
7871,2
7889,2
7895,4
7898,4
7901,4
8028,2
8041,3
8100,3
8102,4
8115,1
8116,1
8128,4
8151,2
8168,2
8175,4
8181,2
8291,2
8297,3
8309,2
8331,2
8357,2
8391,4
8443,4
8480,1
8490,4
8496,1
8513,4
8581,2
8588,3
8653,2
8707,1
8725,4
8728,2
8745,3
8752,3
8791,4
8807,3
8828,1
8832,1
8847,4
8863,1
