period,generator,seller,carrier,node,min_prod,max_prod,size1,cost1,no_load_cost,min_uptime
1,3371 onwind,2,onwind,3371,0.0,0.0,0.0,0.02496186380296872,0.0,0
2,3371 onwind,2,onwind,3371,0.0,0.0,0.0,0.02496186380296872,0.0,0
3,3371 onwind,2,onwind,3371,0.0,0.0,0.0,0.02496186380296872,0.0,0
4,3371 onwind,2,onwind,3371,0.0,0.0,0.0,0.02496186380296872,0.0,0
5,3371 onwind,2,onwind,3371,0.0,0.0,0.0,0.02496186380296872,0.0,0
6,3371 onwind,2,onwind,3371,0.0,0.0,0.0,0.02496186380296872,0.0,0
7,3371 onwind,2,onwind,3371,0.0,0.0,0.0,0.02496186380296872,0.0,0
8,3371 onwind,2,onwind,3371,0.0,0.0,0.0,0.02496186380296872,0.0,0
9,3371 onwind,2,onwind,3371,0.0,0.0,0.0,0.02496186380296872,0.0,0
10,3371 onwind,2,onwind,3371,0.0,0.0,0.0,0.02496186380296872,0.0,0
11,3371 onwind,2,onwind,3371,0.0,0.0,0.0,0.02496186380296872,0.0,0
12,3371 onwind,2,onwind,3371,0.0,0.0,0.0,0.02496186380296872,0.0,0
13,3371 onwind,2,onwind,3371,0.0,0.0,0.0,0.02496186380296872,0.0,0
14,3371 onwind,2,onwind,3371,0.0,0.0,0.0,0.02496186380296872,0.0,0
15,3371 onwind,2,onwind,3371,0.0,0.0,0.0,0.02496186380296872,0.0,0
16,3371 onwind,2,onwind,3371,0.0,0.0,0.0,0.02496186380296872,0.0,0
17,3371 onwind,2,onwind,3371,0.0,0.0,0.0,0.02496186380296872,0.0,0
18,3371 onwind,2,onwind,3371,0.0,0.0,0.0,0.02496186380296872,0.0,0
19,3371 onwind,2,onwind,3371,0.0,4.860466230534168,4.860466230534168,0.02496186380296872,0.0,0
20,3371 onwind,2,onwind,3371,0.0,4.893391337116378,4.893391337116378,0.02496186380296872,0.0,0
21,3371 onwind,2,onwind,3371,0.0,6.106386379275498,6.106386379275498,0.02496186380296872,0.0,0
22,3371 onwind,2,onwind,3371,0.0,8.711503114623518,8.711503114623518,0.02496186380296872,0.0,0
23,3371 onwind,2,onwind,3371,0.0,5.823080019962126,5.823080019962126,0.02496186380296872,0.0,0
24,3371 onwind,2,onwind,3371,0.0,3.8821812572188863,3.8821812572188863,0.02496186380296872,0.0,0
1,3371 ror,3,ror,3371,0.0,42.93954332891182,42.93954332891182,0.0097842350363883,0.0,0
2,3371 ror,3,ror,3371,0.0,42.928113850689165,42.928113850689165,0.0097842350363883,0.0,0
3,3371 ror,3,ror,3371,0.0,42.916719123478494,42.916719123478494,0.0097842350363883,0.0,0
4,3371 ror,3,ror,3371,0.0,42.90538048175302,42.90538048175302,0.0097842350363883,0.0,0
5,3371 ror,3,ror,3371,0.0,42.89389874614902,42.89389874614902,0.0097842350363883,0.0,0
6,3371 ror,3,ror,3371,0.0,42.88233893613458,42.88233893613458,0.0097842350363883,0.0,0
7,3371 ror,3,ror,3371,0.0,42.87085908109378,42.87085908109378,0.0097842350363883,0.0,0
8,3371 ror,3,ror,3371,0.0,42.85933968729302,42.85933968729302,0.0097842350363883,0.0,0
9,3371 ror,3,ror,3371,0.0,42.84803593005822,42.84803593005822,0.0097842350363883,0.0,0
10,3371 ror,3,ror,3371,0.0,42.838059923310986,42.838059923310986,0.0097842350363883,0.0,0
11,3371 ror,3,ror,3371,0.0,42.831620488655375,42.831620488655375,0.0097842350363883,0.0,0
12,3371 ror,3,ror,3371,0.0,42.832177116692094,42.832177116692094,0.0097842350363883,0.0,0
13,3371 ror,3,ror,3371,0.0,42.848891472073056,42.848891472073056,0.0097842350363883,0.0,0
14,3371 ror,3,ror,3371,0.0,42.87145798936717,42.87145798936717,0.0097842350363883,0.0,0
15,3371 ror,3,ror,3371,0.0,42.89454638324868,42.89454638324868,0.0097842350363883,0.0,0
16,3371 ror,3,ror,3371,0.0,42.908733940000275,42.908733940000275,0.0097842350363883,0.0,0
17,3371 ror,3,ror,3371,0.0,42.90967785661308,42.90967785661308,0.0097842350363883,0.0,0
18,3371 ror,3,ror,3371,0.0,42.89857948245321,42.89857948245321,0.0097842350363883,0.0,0
19,3371 ror,3,ror,3371,0.0,42.88662218035866,42.88662218035866,0.0097842350363883,0.0,0
20,3371 ror,3,ror,3371,0.0,42.87460799861763,42.87460799861763,0.0097842350363883,0.0,0
21,3371 ror,3,ror,3371,0.0,42.86272862034224,42.86272862034224,0.0097842350363883,0.0,0
22,3371 ror,3,ror,3371,0.0,42.85084148273609,42.85084148273609,0.0097842350363883,0.0,0
23,3371 ror,3,ror,3371,0.0,42.838683710516634,42.838683710516634,0.0097842350363883,0.0,0
24,3371 ror,3,ror,3371,0.0,42.82649247554566,42.82649247554566,0.0097842350363883,0.0,0
1,3371 solar,4,solar,3371,0.0,0.0,0.0,0.01968635603230174,0.0,0
2,3371 solar,4,solar,3371,0.0,0.0,0.0,0.01968635603230174,0.0,0
3,3371 solar,4,solar,3371,0.0,0.0,0.0,0.01968635603230174,0.0,0
4,3371 solar,4,solar,3371,0.0,0.0,0.0,0.01968635603230174,0.0,0
5,3371 solar,4,solar,3371,0.0,0.0,0.0,0.01968635603230174,0.0,0
6,3371 solar,4,solar,3371,0.0,0.0,0.0,0.01968635603230174,0.0,0
7,3371 solar,4,solar,3371,0.0,0.0,0.0,0.01968635603230174,0.0,0
8,3371 solar,4,solar,3371,0.0,12.070735383762615,12.070735383762615,0.01968635603230174,0.0,0
9,3371 solar,4,solar,3371,0.0,17.168080344830372,17.168080344830372,0.01968635603230174,0.0,0
10,3371 solar,4,solar,3371,0.0,15.684951934156718,15.684951934156718,0.01968635603230174,0.0,0
11,3371 solar,4,solar,3371,0.0,16.677430892039197,16.677430892039197,0.01968635603230174,0.0,0
12,3371 solar,4,solar,3371,0.0,16.80877840540299,16.80877840540299,0.01968635603230174,0.0,0
13,3371 solar,4,solar,3371,0.0,11.74585068058659,11.74585068058659,0.01968635603230174,0.0,0
14,3371 solar,4,solar,3371,0.0,15.26999562428222,15.26999562428222,0.01968635603230174,0.0,0
15,3371 solar,4,solar,3371,0.0,12.079520802057766,12.079520802057766,0.01968635603230174,0.0,0
16,3371 solar,4,solar,3371,0.0,11.147709946218907,11.147709946218907,0.01968635603230174,0.0,0
17,3371 solar,4,solar,3371,0.0,0.0,0.0,0.01968635603230174,0.0,0
18,3371 solar,4,solar,3371,0.0,0.0,0.0,0.01968635603230174,0.0,0
19,3371 solar,4,solar,3371,0.0,0.0,0.0,0.01968635603230174,0.0,0
20,3371 solar,4,solar,3371,0.0,0.0,0.0,0.01968635603230174,0.0,0
21,3371 solar,4,solar,3371,0.0,0.0,0.0,0.01968635603230174,0.0,0
22,3371 solar,4,solar,3371,0.0,0.0,0.0,0.01968635603230174,0.0,0
23,3371 solar,4,solar,3371,0.0,0.0,0.0,0.01968635603230174,0.0,0
24,3371 solar,4,solar,3371,0.0,0.0,0.0,0.01968635603230174,0.0,0
1,3372 onwind,8,onwind,3372,0.0,0.0,0.0,0.025063655174193733,0.0,0
2,3372 onwind,8,onwind,3372,0.0,0.0,0.0,0.025063655174193733,0.0,0
3,3372 onwind,8,onwind,3372,0.0,0.0,0.0,0.025063655174193733,0.0,0
4,3372 onwind,8,onwind,3372,0.0,0.0,0.0,0.025063655174193733,0.0,0
5,3372 onwind,8,onwind,3372,0.0,0.0,0.0,0.025063655174193733,0.0,0
6,3372 onwind,8,onwind,3372,0.0,0.0,0.0,0.025063655174193733,0.0,0
7,3372 onwind,8,onwind,3372,0.0,0.0,0.0,0.025063655174193733,0.0,0
8,3372 onwind,8,onwind,3372,0.0,0.0,0.0,0.025063655174193733,0.0,0
9,3372 onwind,8,onwind,3372,0.0,0.0,0.0,0.025063655174193733,0.0,0
10,3372 onwind,8,onwind,3372,0.0,0.0,0.0,0.025063655174193733,0.0,0
11,3372 onwind,8,onwind,3372,0.0,0.0,0.0,0.025063655174193733,0.0,0
12,3372 onwind,8,onwind,3372,0.0,0.0,0.0,0.025063655174193733,0.0,0
13,3372 onwind,8,onwind,3372,0.0,0.0,0.0,0.025063655174193733,0.0,0
14,3372 onwind,8,onwind,3372,0.0,0.0,0.0,0.025063655174193733,0.0,0
15,3372 onwind,8,onwind,3372,0.0,0.0,0.0,0.025063655174193733,0.0,0
16,3372 onwind,8,onwind,3372,0.0,0.0,0.0,0.025063655174193733,0.0,0
17,3372 onwind,8,onwind,3372,0.0,0.0,0.0,0.025063655174193733,0.0,0
18,3372 onwind,8,onwind,3372,0.0,0.28171637726985577,0.28171637726985577,0.025063655174193733,0.0,0
19,3372 onwind,8,onwind,3372,0.0,0.6127579227232336,0.6127579227232336,0.025063655174193733,0.0,0
20,3372 onwind,8,onwind,3372,0.0,0.613046203785846,0.613046203785846,0.025063655174193733,0.0,0
21,3372 onwind,8,onwind,3372,0.0,0.8016438342142712,0.8016438342142712,0.025063655174193733,0.0,0
22,3372 onwind,8,onwind,3372,0.0,1.0831415892488028,1.0831415892488028,0.025063655174193733,0.0,0
23,3372 onwind,8,onwind,3372,0.0,0.6892313565676663,0.6892313565676663,0.025063655174193733,0.0,0
24,3372 onwind,8,onwind,3372,0.0,0.44834121011091715,0.44834121011091715,0.025063655174193733,0.0,0
1,3372 ror,9,ror,3372,0.0,42.00395636577621,42.00395636577621,0.010268801917102643,0.0,0
2,3372 ror,9,ror,3372,0.0,41.99277591839998,41.99277591839998,0.010268801917102643,0.0,0
3,3372 ror,9,ror,3372,0.0,41.98162946486435,41.98162946486435,0.010268801917102643,0.0,0
4,3372 ror,9,ror,3372,0.0,41.970537874796996,41.970537874796996,0.010268801917102643,0.0,0
5,3372 ror,9,ror,3372,0.0,41.959306308647825,41.959306308647825,0.010268801917102643,0.0,0
6,3372 ror,9,ror,3372,0.0,41.94799836921019,41.94799836921019,0.010268801917102643,0.0,0
7,3372 ror,9,ror,3372,0.0,41.936768642649625,41.936768642649625,0.010268801917102643,0.0,0
8,3372 ror,9,ror,3372,0.0,41.9255002388182,41.9255002388182,0.010268801917102643,0.0,0
9,3372 ror,9,ror,3372,0.0,41.91444277316182,41.91444277316182,0.010268801917102643,0.0,0
10,3372 ror,9,ror,3372,0.0,41.90468412834099,41.90468412834099,0.010268801917102643,0.0,0
11,3372 ror,9,ror,3372,0.0,41.898384999115905,41.898384999115905,0.010268801917102643,0.0,0
12,3372 ror,9,ror,3372,0.0,41.8989294990792,41.8989294990792,0.010268801917102643,0.0,0
13,3372 ror,9,ror,3372,0.0,41.9152796742249,41.9152796742249,0.010268801917102643,0.0,0
14,3372 ror,9,ror,3372,0.0,41.93735450162791,41.93735450162791,0.010268801917102643,0.0,0
15,3372 ror,9,ror,3372,0.0,41.95993983472579,41.95993983472579,0.010268801917102643,0.0,0
16,3372 ror,9,ror,3372,0.0,41.97381826631893,41.97381826631893,0.010268801917102643,0.0,0
17,3372 ror,9,ror,3372,0.0,41.97474161643269,41.97474161643269,0.010268801917102643,0.0,0
18,3372 ror,9,ror,3372,0.0,41.96388505886822,41.96388505886822,0.010268801917102643,0.0,0
19,3372 ror,9,ror,3372,0.0,41.95218828809483,41.95218828809483,0.010268801917102643,0.0,0
20,3372 ror,9,ror,3372,0.0,41.940435876995465,41.940435876995465,0.010268801917102643,0.0,0
21,3372 ror,9,ror,3372,0.0,41.92881533220042,41.92881533220042,0.010268801917102643,0.0,0
22,3372 ror,9,ror,3372,0.0,41.91718719713859,41.91718719713859,0.010268801917102643,0.0,0
