seller,node
1,DE0 0
2,DE0 0
3,DE0 0
4,DE0 0
5,DE0 0
6,DE0 0
7,DE0 0
8,DE0 1
9,DE0 1
10,DE0 1
11,DE0 1
12,DE0 1
13,DE0 1
14,DE0 10
15,DE0 10
16,DE0 10
17,DE0 10
18,DE0 10
19,DE0 11
20,DE0 11
21,DE0 11
22,DE0 11
23,DE0 11
24,DE0 11
25,DE0 11
26,DE0 12
27,DE0 12
28,DE0 12
29,DE0 12
30,DE0 12
31,DE0 12
32,DE0 12
33,DE0 12
34,DE0 13
35,DE0 13
36,DE0 13
37,DE0 13
38,DE0 13
39,DE0 13
40,DE0 14
41,DE0 14
42,DE0 14
43,DE0 14
44,DE0 14
45,DE0 14
46,DE0 15
47,DE0 15
48,DE0 15
49,DE0 15
50,DE0 15
51,DE0 16
52,DE0 16
53,DE0 16
54,DE0 16
55,DE0 16
56,DE0 16
57,DE0 16
58,DE0 17
59,DE0 17
60,DE0 17
61,DE0 17
62,DE0 17
63,DE0 18
64,DE0 18
65,DE0 18
66,DE0 18
67,DE0 18
68,DE0 18
69,DE0 18
70,DE0 19
71,DE0 19
72,DE0 19
73,DE0 19
74,DE0 19
75,DE0 19
76,DE0 2
77,DE0 2
78,DE0 2
79,DE0 2
80,DE0 20
81,DE0 20
82,DE0 20
83,DE0 20
84,DE0 20
85,DE0 20
86,DE0 21
87,DE0 21
88,DE0 21
89,DE0 21
90,DE0 21
91,DE0 21
92,DE0 21
93,DE0 21
94,DE0 22
95,DE0 22
96,DE0 22
97,DE0 22
98,DE0 22
99,DE0 22
100,DE0 23
101,DE0 23
102,DE0 23
103,DE0 23
104,DE0 23
105,DE0 24
106,DE0 24
107,DE0 24
108,DE0 24
109,DE0 24
110,DE0 24
111,DE0 25
112,DE0 25
113,DE0 25
114,DE0 25
115,DE0 25
116,DE0 26
117,DE0 26
118,DE0 26
119,DE0 26
120,DE0 26
121,DE0 26
122,DE0 27
123,DE0 27
124,DE0 27
125,DE0 27
126,DE0 27
127,DE0 27
128,DE0 27
129,DE0 28
130,DE0 28
131,DE0 28
132,DE0 28
133,DE0 28
134,DE0 28
135,DE0 28
136,DE0 29
137,DE0 29
138,DE0 29
139,DE0 29
140,DE0 29
141,DE0 29
142,DE0 29
143,DE0 3
144,DE0 3
145,DE0 3
146,DE0 3
147,DE0 3
148,DE0 30
149,DE0 30
150,DE0 30
151,DE0 30
152,DE0 30
153,DE0 31
154,DE0 31
155,DE0 31
156,DE0 31
157,DE0 31
158,DE0 31
159,DE0 31
160,DE0 32
161,DE0 32
162,DE0 32
163,DE0 32
164,DE0 33
165,DE0 33
166,DE0 33
167,DE0 33
168,DE0 33
169,DE0 34
170,DE0 34
171,DE0 34
172,DE0 34
173,DE0 34
174,DE0 35
175,DE0 35
176,DE0 35
177,DE0 35
178,DE0 36
179,DE0 36
180,DE0 36
181,DE0 36
182,DE0 36
183,DE0 36
184,DE0 36
185,DE0 37
186,DE0 37
187,DE0 37
188,DE0 37
189,DE0 37
190,DE0 37
191,DE0 37
192,DE0 37
193,DE0 38
194,DE0 38
195,DE0 38
196,DE0 38
197,DE0 38
198,DE0 38
199,DE0 38
200,DE0 39
201,DE0 39
202,DE0 39
203,DE0 39
204,DE0 39
205,DE0 39
206,DE0 39
207,DE0 4
208,DE0 4
209,DE0 4
210,DE0 4
211,DE0 4
212,DE0 4
213,DE0 4
214,DE0 5
215,DE0 5
216,DE0 5
217,DE0 5
218,DE0 5
219,DE0 5
220,DE0 5
221,DE0 6
222,DE0 6
223,DE0 6
224,DE0 6
225,DE0 6
226,DE0 6
227,DE0 6
228,DE0 7
229,DE0 7
230,DE0 7
231,DE0 7
232,DE0 7
233,DE0 7
234,DE0 7
235,DE0 8
236,DE0 8
237,DE0 8
238,DE0 8
239,DE0 8
240,DE0 8
241,DE0 9
242,DE0 9
243,DE0 9
244,DE0 9
245,DE0 9
246,DE0 9
